Reaction,Flux_Normalized
24_25DHVITD3t,0.000106046522186252
2HBO,0.0242575668527179
3DSPHR,0.000545291402612998
3MOBt2im,0.000144674031145264
3SALAASPm,-0.000239719418330084
4HOXPACDOX_NADP_,-0
4MPTNLte,6.75253779453775e-05
4MPTNLtm,-6.75253779453775e-05
ACACT10m,-0.0246283177903966
ACACT1rm,0.000765709383832018
ACACT1x,0.000152131880840118
ACACT8p,6.94849589649141e-05
ACACT9p,6.94849589649141e-05
ACGALK,0.0189728980661961
ACGALtly,0.00139687923453243
ACITL,0.00126157179787253
ACNAMlt,-0.000698439617266214
ADCim,0.000136124948823312
ADK1m,-0.0517319092206297
ADK3m,0.082856165219837
ADRNCOAtx,8.16650630677887e-06
ADRNCPT1,0.000141724754175253
ADRNCPT2,0.000141724754175253
ADSK,0.000462729510336253
ALATA_L,-0.00350118811561698
ALCD21_L,0.00061822071579902
ALCD22_D,0.126571982570587
ALOX12,0.000144378315527998
ALOX52,0.000174953971507389
ALR2,0.00061822071579902
ALR3,0.00061822071579902
AMACR2p,0.000263621226075887
AMPDA,0
ARACHCRNt,-0
ARACHt,8.82854027961488e-08
ARGLYSex,0.0020170906147432
R_group_phosphotase_1,-0
ARTFR12,0.0133016837238698
ARTFR61,0.00787334032423897
ARTPLM1,0.0211750240481054
ASPTAm,-0.000239719418330084
BUTt2m,0.0234225684043098
C160CPT1,-0.000155216711936697
C160CPT2,-0.000155216711936697
C181CPT2,-0.000156432486358292
C181CRNt,4.16741270668868e-06
C204CRNt,-0
C226CPT1,0.00116075522994424
C226CPT2,0.00116075522994424
CATm,0.000608484504794968
CATp,0.00104653900583915
CBR2,0.00702283459950979
CDIPTr,-0.000176793701818276
CERK,0.0130059503279411
CHAT,0.015876041336455
CHLPCTD,0.000441427013980744
CHOLtr,0.0120289528351901
CHSTEROLt2,6.75253779453775e-05
CITtam,-0.0620834269346092
CLPNDt,1.58913725033068e-06
CLS_hs,0
CO2tp,-0.000152131880840118
COAtr,-0.0170601990650648
CRNCARtp,3.82539814085728e-05
CRTSTRNt,-8.0405211004136e-05
CSm,0.00126157179868776
CYSGLUexR,0.00962807252717444
CYTK7,-0.0202895583998122
CYTK8,0.0212114491634543
DADNK,0
DAGK_hs,-0.000299089645536857
DAGt,-0.000740516660176623
