Reaction,Flux_Normalized
13DAMPPOX,0.0026005770650049
24_25DHVITD3t,0.00081786180646961
25HVITD3t,0.00352291436226146
25HVITD3tm,0.00184489072573143
2AMACSULT,0.000794872011855214
2DR1PP,0
34DHPHAMT,0.0177736119876714
34DHPLACOX,0
34DHPLACOX_NADP_,0.0021285169721184
34DHXMANDACOX,0.0146564056715072
34DHXMANDACOX_NADP_,-0.0105305210269427
34HPLFM,0.00270797174391852
3DPHBH1,6.38937444872042e-05
3DPHBH2,4.43327332610005e-05
3HBCOAHLm,0.000981893178211078
3MOBt2im,0.00941457338410698
3MOX4HOXPGALDOX,0.0191303847192033
3MOX4HOXPGALDOX_NADP_,-0.0153822006505461
3SALAASPm,-0.0134483383853982
41R1H2MAE12BOOX,0.00206946227302937
41R2A1H12BOOX,0.0020564221856548
42A12BOOX,0.0021285169721184
4HBZCOAFm,0.000108226477748205
4HBZFm,0.000108226477748205
4HOXPACDOX_NADP_,-0
4MPTNLte,0.00219964835823233
4MPTNLtm,-0.00219964835823233
5ADTSTSTERONEte,-0.00958045941215304
5ADTSTSTERONEtr,0.00958045941215304
5AOPtm,0.0525198873721077
7DHCHSTEROLtr,-0.0290485957799602
A4GALTc,0.00185791462714993
ABUTt4_2_r,-0.0229951767941177
ACACT1rm,0.0546264057586605
ACACT1x,0.0102103805456967
ACACt2m,-0.00843126833442507
ACACT8p,-0
ACACT9p,0.00113259441147101
ACACtx,-0.00647801009726508
ACALDtm,-0.00522745438699976
ACCOAtn,0
ACCOAtr,-0.00586179288211561
ACETONEt2m,-0.00122600104882621
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000595337356629209
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000351985963489277
ACGALK,0.00303216912344179
ACGALK2,0.00183773208269585
ACGALtly,0.0143847767021753
ACGAM6PSi,0.0194414800900767
ACGAMK,0.00214304779016156
ACGAMPM,0.0215845278781782
ACGAMtly,0.000844475307747657
ACHtn,-0
ACITL,0.00138853023013582
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000282513738919933
ACNAM9PL2,0.000502829736357957
ACNAMlt,-0.00739832351599212
ACNAMtn,0.00620429430495762
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000355275660442986
ACNMLr,-0.00421949106001406
ACOAD9m,0.000981893178211078
ACOAO7p,0.00601743642968803
ACONTm,-0.0063397716669744
ACSm,0.0015245880172849
ACt2m,-0.0239576100599385
ACTNMO,0.00122600104882621
ADAe,0.00598329018228353
ADCim,0.0154921509299591
ADEt,0.00702240381862101
ADHAPtx,0.0134511572117458
ADK1m,-0.00552974488189268
ADK3m,-0.0156178009033668
ADKd,-0.00640144239359668
ADMDC,0.00457448396451151
ADNt,0.0105889723093022
ADNtm,-0.00114506087156373
ADPMAN,0.00226302846503136
ADRNCOAtx,-0.00152271323218465
ADRNCPT1,0.00269611105645672
ADRNCPT2,0.00269611143750231
ADRNCRNt,0.00199154163026238
ADRNt,0.0102263832091996
ADSK,0.00571149504937608
ADSL1,0.000598174750984781
AGLPC,0.00095251237752633
AGLPH,0.00095251237752633
AGPAT1,0.0029408470685698
AHCYStr,-0.0059851235067183
AKGMALtm,0.0106553168587446
AKGtp,-0.000621906703837766
ALASm,0
ALAt4,0.0195875823088955
ALATA_L,-0.0404118570299183
ALCD21_D,0.0126290724027451
ALCD21_L,0.0173008215020687
ALCD22_D,0.0271042766578388
ALDD21,0.0281955465025815
ALDD2xm,0.00522745438699976
ALDD2y,0.017184164242251
ALDSTRNte,0.00154903468733817
ALDSTRNtm,-0.00154903468733817
ALOX12,0.000786604269221784
ALOX5,0.00136499530719392
ALOX52,0.0253696432782899
ALR2,0.0160748204585839
ALR3,0.0173008215020687
AMACR2p,0.00334330842019454
AMETr,0.00598512312567298
AMETt2m,0.0114058915799545
AMPDA,0.00521457967580766
AMPTASECGe,0.00721050827372341
AMPtp,-0.00689217118200085
ANDRSTRNtr,-0.000560890266401556
APAT2rm,0.00564598231884731
ARACHCRNt,-0.0260335214429948
ARACHDCOAtx,0.0123889366914989
ARACHDt2,0.0108636908275047
ARACHDtr,-0.0165608450690234
ARACHt,7.01924891962829e-05
ARGLYSex,0.0145483444917082
ARGSS,0.0010308882498267
ARSA,0.000609075807554127
R_group_phosphotase_1,0.00366804626803373
R_group_phosphotase_2,0.00787532437299396
R_group_phosphotase_3,0.00309488542705909
ARTFR12,0.00717362834205647
ARTFR41,0.0058907584193348
ARTFR43,0.00161464154822092
ARTFR44,0.0303681112636994
ARTFR61,0.0137179189808173
ARTPLM1,0.0450963487102673
ARTPLM2,0.00493447730648429
ARTPLM3,0.00211720634516351
ASNS1,0.0010370033266282
ASPTAm,-0.00854064744315804
ATP1ter,0.00236573766407688
ATP2ter,0.025124061023354
ATPH2e,0.00340045798708682
ATPtm,0.0514545011511204
ATPtn,0.00846794253977756
ATPtx,0.0068921708009553
B3GNT39g,0.000906965536468498
BALAtmr,0.00564598231884731
BALAVECSEC,0.000826156607905931
BDHm,0.00484152792189736
BHBtm,0.00484152792189736
BILDGLCURtr,0.0168453814075928
BILGLCURt,-0.00269907494762187
BILGLCURte,0.000984331121939503
BILGLCURtr,-0.00054515142030237
BILIRUBtr,-0.00841632060680719
BUTt2m,0.0136360429402117
C160CPT1,0.0334713983396053
C161CPT1,-0.0133623162369666
C161CPT2,0.0381759031099379
C161CPT22,0.00454716369134827
C161CRN2t,0.00229306975072235
C161CRNt,0.0191085085900278
C180CPT1,0.0124634461835196
C180CPT2,0.00434742717196182
C180CRNt,0.00294701400569737
C181CPT1,0.0583523044825739
C181CPT2,0.0212638983118675
C204CPT1,-0.0152042873569314
C204CPT2,0.00175072160364792
C204CRNt,0.0015304306451292
C226CPT1,0.00386679997387505
C226CPT2,0.00386680016645785
C226CRNt,0.00420669009744549
C3STDH1Pr,0.00019480624668051
C3STKR2r,0.00019480624668051
C4STMO1r,0.00019480624668051
C4STMO2Pr,0.00019480624668051
CATm,0.0450104615591018
CATp,0.0313497356627015
CDIPTr,-0.000148840083339986
CDS,0.000501657954729042
CDSm,0.00212277330913474
CEPTC,0.0218443187508627
CERK,0.00386977506941823
CERT1gt,0
CERT1rt,-0.0205924074180672
CERT2gt,0.000906965536468498
CERT2rt,9.13323260383676e-05
CHAT,-0.00559323035787581
CHATn,0
CHLPCTD,0.00227540330281279
CHLtm,-0.0015830501988325
CHOLK,0.000987007265683134
CHOLtn,0
CHOLtr,0.0248977809261564
CHOLtu,-0.044862430311364
CHSTEROLt1,0.00728843302685364
CHSTEROLt2,0.00390311923298286
CHSTEROLt3,-0.00615775714289703
CHSTEROLtg,0.053590002824288
CHTNASE,0.0018393544559249
CITRtm,0.0153314047133125
CITt4_2,-0.0213453780599712
CITtam,-0.00580932463511498
CKc,-0.0542949307814229
CLFORtex,0.0180464916858769
CLOXAtex2,0.00406667557526655
CLPNDCPT1,0.000381200456717437
CLPNDCPT2,0.000381200649299749
CLPNDCRNt,0.00162379851212174
CLPNDt,0.00170415501445527
CLS_hs,9.39426090831407e-06
CMPACNAtn,0.00620429430495762
CMPSAS,0.00578146968513073
CMPSASn,0.00620429430495762
CO2ter,-0.00369969794036616
CO2tm,0.0280095452806032
CO2tp,-0.00822029665625614
COAtn,0
COAtr,0.0349568853991866
COt,0.00251407713911334
COUCOAFm,0.000108226477748205
CREATt4_2_r,-0.0286987825608075
CRMPte,0.00229841210255435
CRNt,-0.0548102872915363
CRNtx,-0.0261941760375136
CRTSTRNt,0.00154903468733817
CRTSTRNtm,0.00154903468733817
CRVNCtr,0.0025582280339997
CSNAT2m,-0.0241333196069204
CSNAT2x,-0.0261941760375136
CSNAT3x,0.0298199039996722
CSNATer,-0.00586179288211561
CSNATm,-0.0521226917973989
CSNATp,0.00889512493512051
CSPG_Ct,0.000419756512575438
CTPtn,0.00620429430495762
CYANt,0.00930802467471488
CYANtm,0.00930802467471488
CYSGLTH,0.0112680873198076
CYSGLUexR,-0.00405377305666172
CYSGLYexR,0.000127701767652338
CYSTA,0.0213022854334367
CYTDt,-0.00681898932681185
CYTK10,0.000786688094684948
CYTK10n,0.000763763912434522
CYTK11,0.00769830774985255
CYTK12,-0.0102800271993321
CYTK13,0.0120146481915652
CYTK13n,-0.0181950706566658
CYTK14,-0.0047867776522677
CYTK1m,0.00212277330913474
CYTK1n,-0.00323567889153579
CYTK2n,0
CYTK3,0.0108812572218544
CYTK4,0.0180131044889588
CYTK4n,0.00293209228373892
CYTK5,0.0185660033502128
CYTK5n,-0.00180281620022668
CYTK7,-0.0120111684808646
CYTK8,0.00566090466569756
CYTK9,-0.0173516647304335
CYTK9n,0.00427473079828273
D_3AIBt,0.0332591864008705
DADA,0.00787204886663473
DADAe,0.00555676611626268
DADNK,0.00115261469517847
DADNt4,0.0108407525941778
DAGK_hs,-0.0381547764059438
DAGt,-0.0319640680004837
DCIm,-0.00414163268351992
DCK1n,-0.0114558949021542
DCK2n,-0.00380708327818928
DCSPTN1COAtx,-0.00190665861024264
DCSPTN1CPT1,0.000298520260700641
DCSPTN1CPT2,0.000298520453438128
DCSPTN1CRNt,0.00134027973717132
DCSPTN1t,-0.00210617889807373
DCTPtn,0.0152629776087765
DCYTt,-0.0194050530807962
DDPGAm,0.00490769094224016
DECDPtm,0.000108226477748205
DESAT18_7,0.00206221692289753
DESAT18_8,0.00294570815371567
DESAT22_1p,0.000911370401575991
DGAT,0.000977679081895575
DGSNt,0.00194495400875016
DGULND,-0.0537794865902313
DHAPA,0.0134511572117458
DHCHOLESTANATEtm,-0.000674710688043497
DHCR241r,0.0120678347025621
DHCR242r,0.0226898395956755
DHCR72r,0.0292434020266401
DHCRD1,0.0267302833102369
DHDPBMTm,0.000108226477748205
DHEASt,0.00727956448296623
DHEAtr,-0.00958045941215304
DHFtm,0.00510830176143677
DIDPtn,0.0354814969536085
DINt,0.00334240935805042
DITPtn,-0.0354814969536085
D_LACt2,-0.0035824901022233
D_LACtm,-0.0035824901022233
DLNLCGCPT1,0.00508456243045673
DLNLCGCPT2,0.00350960545382168
DLNLCGCRNt,0.00236202891269647
DLNLCGt,0.00467864451584884
DMHPTCRNCPT2,-0.000783652919293664
DMHPTCRNt,-0.000783652919293664
DMHPTCRNte,0.000783652919293664
DMNONCOACRNCPT1,0.0269778293357921
DMNONCRNCPT2,0.000783652919293664
DMNONCRNt,0.0140406390845727
DNDPt14m,0.00724703098156226
DNDPt20m,0.00724703098156226
DNDPt31m,0.00282426781546374
DNDPt38m,0.00913371911086838
DNDPt41m,0.00282426781546374
DOPAtu,-0.00959900484018638
DPHMBDCm,0.000108226477748205
DPMVDx,0.00356300860965709
DPPS,0.000108226477748205
DRPA,0.0523129808719064
DUDPtn,-0.02566205882203
DUMPtn,-0.000674439492559113
DURAD,0.00338290772746978
DURAD2,0.0346486264777002
DURIK1,0.00376656330817462
DURIt,-0.00545312833717331
DUTPDPm,0.00130736121549204
DUTPDPn,0.000674439492559113
EBP1r,0
ECOAH12m,0.000981893178211078
ECOAH1x,-0.0009845112340783
EHGLAT2m,0.00490769094224016
EHGLATm,0
EICOSTETCPT1,0.000262795871780749
EICOSTETCPT2,0.000262796065087851
EICOSTETCRNt,0.00116860734758067
EICOSTETt,0.00109906387306357
ELAIDCPT1,0.00386266423242789
ELAIDCPT2,0.000530649009091482
ELAIDCRNt,0.00101730879472645
ELAIDt,-0.0512437536899686
ESTRADIOLGLCt,-0.00697136270231765
ESTRADIOLGLCtr,-0.00697136270231765
ESTRADIOLt,-0.0137520576995467
ESTRADIOLtr,0.0390457405409689
ESTRIOLGLCte,0.000627925782856885
ESTRIOLGLCtr,-0.000627925782856885
ESTRIOLtr,0.000680053828177958
ESTRONESt,0.0102335617251981
ESTRONEtr,-0.0342178279650405
ESTSULT,0.000947785245677031
ETHAK,0.00282521973542128
EX_13_cis_retnglc[e],0.0346341816429416
EX_1glyc_hs[e],0.00710020598328924
EX_2425dhvitd3[e],0.00081786180646961
EX_25hvitd3[e],0.00352291436226146
EX_3aib_D[e],0.0332591864008705
EX_4mptnl[e],0.00219964835823233
EX_5adtststerone[e],0.00958045941215304
EX_5dhf[e],-0.00638360148450865
EX_5mthf[e],0.035695460492353
EX_6dhf[e],-0
EX_6thf[e],0.0137288675327362
EX_7dhf[e],-0
EX_7thf[e],-0.0169907396069179
EX_acetone[e],0.0142661498864743
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],0.000595337356629209
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],0.000351985963489277
EX_ach[e],-0.0108622760595429
EX_acnacngal14acglcgalgluside_hs[e],0.000282513738919933
EX_acngalacglcgal14acglcgalgluside_hs[e],0.000355275660442986
EX_adrn[e],-0.00180665456306283
EX_adrnl[e],-0.00482934994736397
EX_ak2lgchol_hs[e],0.000488651886126416
EX_ala_B[e],0.00811845893675902
EX_ala_D[e],0.0163953855021609
EX_aldstrn[e],0.00154903468733817
EX_amp[e],-0.000925091855661819
EX_arach[e],-0.00102129725002765
EX_arachd[e],-0.0247585573184948
EX_atp[e],0.0319661694601079
EX_bhb[e],-0.0048415283029428
EX_bildglcur[e],-0.0168453814075928
EX_bilglcur[e],0.0252007304897971
EX_chol[e],0.044862430311364
EX_chsterol[e],-0.0280118699185909
EX_chtn[e],-0.0018393544559249
EX_clpnd[e],-0.00159631616729044
EX_cmp[e],-0.0193685792938302
EX_co[e],0.00251407713911334
EX_creat[e],0.0286987825608075
EX_crmp_hs[e],0.00229841210255435
EX_crn[e],0.0548102872915363
EX_crtstrn[e],-0.00154903468733817
EX_crvnc[e],-0.00229714450928483
EX_cspg_c[e],0.000419756512575438
EX_cyan[e],-0.00930802467471488
EX_dag_hs[e],0.0265793400803319
EX_dcsptn1[e],0.00284210301306098
EX_dheas[e],-0.0153939391946884
EX_dhf[e],0.00638360148450865
EX_dlnlcg[e],-0.00453675101579662
EX_dmhptcrn[e],0.000783652919293664
EX_dopa[e],-0.0015847159945406
EX_eicostet[e],-0.00109338814426542
EX_elaid[e],0.051249429797752
EX_estradiol[e],0.0137520576995467
EX_estradiolglc[e],0.00697136270231765
EX_estriolglc[e],0.000627925782856885
EX_estrones[e],-0.0205797073888712
EX_fuc13galacglcgal14acglcgalgluside_hs[e],0.000800407270298668
EX_fucacgalfucgalacglcgalgluside_hs[e],0.000497947597373618
EX_fucacngal14acglcgalgluside_hs[e],0.000814116836170119
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e],0.000340576243868267
EX_fucfucfucgalacglcgal14acglcgalgluside_hs[e],0.00065465807320611
EX_fucgalfucgalacglcgalgluside_hs[e],0.00168621829693891
EX_gbside_hs[e],-0.00603104868659886
EX_gchola[e],-0.0517274485213286
EX_gdp[e],-0.00638314630324632
EX_gluala[e],0.0133219635979114
EX_gmp[e],-0.0020587343226822
EX_gq1balpha_hs[e],0.000719419337804069
EX_gsn[e],-0.0025678790011437
EX_gthrd[e],-0.00161762273280968
EX_h2o2[e],0.00231274591718693
EX_ha[e],0.00184724983721349
EX_ha_pre1[e],-0.00184724983721349
EX_hco3[e],0.0444381100489701
EX_hdca[e],0.0105471897271647
EX_hdcea[e],0.0288194869033466
