Reaction,Flux_Normalized
10FTHFtm,-0.000418865185028055
13DAMPPOX,0.00119550797034713
1MNCAMti,0.0114207417158937
24_25DHVITD3t,0.00133129776867411
24_25DHVITD3tm,0.000719436237904694
24_25VITD3Hm,0.000719436237904694
25HVITD3tm,0.000611861530769417
2DR1PP,0.00839247590904986
34DHOXPEGOX,0.0153484463869514
34DHOXPEGt,0.0153484463869514
34DHXMANDACOX_NADP_,-0.0137005818542053
34HPLFM,3.87644333749082e-05
3DPHBH2,3.87644333749082e-05
3DSPHR,0.0107069100392912
3MOBt2im,0.0133593042019401
3MOX4HOXPGALDOX,0
3MOX4HOXPGALDOX_NADP_,0.00145609442562505
3SALAASPm,-0.014214627499367
3SALATAi,0.00102829288195009
3SALATAim,0.00139866956771164
3SPYRSP,0.00102829288195009
3SPYRSPm,0.00139866956771164
41R2A1H12BOOX,0.00164786453274555
4HBZCOAFm,3.87644333749082e-05
4HBZFm,3.87644333749082e-05
4HOXPACDOX_NADP_,0.00116513131465449
4MPTNLte,0.00279948017885341
4MPTNLtm,-0.00279948017885341
5ADTSTSTERONEte,-0.0206779884694974
5ADTSTSTERONEtr,0.0206779884694974
5MTHFt,0.0174508616308837
5MTHFt2,-0.0174508616308837
7DHCHSTEROLtr,-0.00100425507283962
A4GALTc,0.000801142801040191
A4GALTg,0.000423389567522786
ACACT1rm,0.0529713136455412
ACACT1x,0.0198002830751021
ACACT7p,0.00109431778210763
ACACT8p,0.00258967491623396
ACACT9p,-0
ACACtx,-0.019087545713631
ACALDtm,-0.00423014959766047
ACCOAtr,0.00871231958196176
ACETONEt2m,-0.00133634948444032
ACGAGBSIDEtg,-0.000135697354678642
ACGAGBSIDEtl,0.000135697354678642
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000601967851911083
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000362681640739812
ACGALK,0.00230298275233104
ACGALK2,0.00134785941652169
ACGALtlg,-0.000287692212844144
ACGALtly,0.0171572391256172
ACGAM6PSi,0.0236133891217135
ACGAMK,0.00263701382635744
ACGAMPM,0.0153890860843284
ACGAMtly,0.00103427537131143
ACGBGBSIDEtg,-0.000287692212844144
ACGBGBSIDEtl,0.000287692212844144
ACHEe,0.00475585296523872
ACITL,0.000848069268360652
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000843642103605736
ACNAM9PL,0.000403960099187892
ACNAMlt,-0.00708831202281399
ACNAMPH,0.000403960099187892
ACNAMtn,0.00589069786887484
ACOAD10m,-0
ACOAD8m,-0
ACOAO7p,0.00109431778210763
ACONTm,-0.0110936372578577
ACRNtm,-0.0451458029891852
ACSm,0.000885644683491984
ACTNMO,0.00133634948444032
ADA,0.00777918640810617
ADAe,0.00733493143171618
ADCim,0.0137883435838752
ADEt,-0.000153640402395258
ADHAPtx,0.0259536417511024
ADK1m,-0.0126376785943856
ADK3m,0
ADMDC,0.00475504189519493
ADNK1m,0.0102471157872564
ADNt,0.00638557540528593
ADNtm,0.00883553346040858
