Reaction,Flux_Normalized
10FTHFtm,0.0107908739635788
1MNCAMti,0.000834817444531209
25HVITD3t,0.0012388555312525
25HVITD3tm,0.0012388555312525
2DR1PP,0
34DHOXPEGOX,-0.00098744722630075
34DHOXPEGt,-0.00098744722630075
34DHPLACOX,0.00145969032290924
34DHXMANDACOX,0.0039659471293843
34HPLFM,0.0062358506408039
3AIBTm,0.00878538329475253
3AIBtmi,0.00878538329475253
3DPHBH1,0.000135403903478319
3DPHBH2,5.86464916546621e-05
3DSPHR,0.00925954875033912
3HBCOAHLm,0.00196042299880691
3MOBt2im,0.0128216210620854
3MOX4HOXPGALDOX,0.0129250615827562
3MOX4HOXPGALDOX_NADP_,-0.00908237413398383
3SALAASPm,-0.0163284767507698
41R2A1H12BOOX,0.00297849990308355
42A12BOOX,0.00145969032290924
4HBZCOAFm,0.000194050395132981
4HBZFm,0.000194050395132981
4HGLSDm,0.00868720198962843
4HOXPACDOX_NADP_,-0.0113366568621849
4MPTNLte,0.00152410447849674
4MPTNLtm,-0.00152410447849674
5ADTSTSTERONESte,0.0287002627040518
5ADTSTSTERONEtr,0.0287002627040518
5AOPtm,-0.00201346101697544
5MTHFt,-0.00986069710367127
7DHCHSTEROLtr,-0.0161424384563168
7THFtm,0.000384149460247495
A4GALTc,0.00248434967322453
AACTtm,0.0317797408930893
ABUTt4_2_r,-0.0281411373817447
ACACT10m,-0.0019396096574217
ACACT1rm,0.047624094566593
ACACT8p,-0
ACACT9p,0.00119522279356499
ACALDtm,-0.00693691024152695
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000587066109134363
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000305100142384081
ACGALK,0.0149747309617809
ACGALtly,0.00415574350430964
ACGAMK,0.00505582070371363
ACGAMPM,0.00308139315629864
ACGAMtly,0.000297714512665409
ACITL,0.00118570908328196
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000521608196794164
ACNAM9PL,0.000391684235033118
ACNAMlt,-0.0019627234666855
ACNAMPH,0.000391684235033118
ACNMLr,-0.00225747694792198
ACOAD1fm,0.000795669197134991
ACOAD9m,0.00196042299880691
ACODA,0.0102977004944376
ACONTm,-0.00203917065078593
ACt2m,-0.0215465069262298
ADA,0.00776770891706585
ADEt,0.0107180212712046
ADHAPtx,0.00131369994286752
ADK1m,0.0113566388782565
ADK3m,-0.00827138706807254
ADMDC,0.00533792288953396
ADNt4,0.0211197800375456
ADNtm,-0.00110144879383005
ADPMAN,0.00270837975530017
ADPtx,0.00235742425740895
ADRNCOAtx,-0.0016079551573909
ADRNCPT1,0.00259132823319405
ADRNCPT2,0.00259132824131469
ADRNCRNt,0.000135373170296678
ADRNt,0.0147091608162176
ADSK,0.00489666520290084
ADSL1,0.000913750687594864
AGLPC,0.00131369994286752
AGLPH,0.00131369994286752
AGPAT1,0.00612901330710356
AKGDm,0.0186968830736948
AKGMALtm,0.0125469828644818
AKGtp,0.00216030293552202
ALADGLYexR,0.00325866291554026
ALAGLNexR,-0.0023917873571172
ALASm,0.00201346101697544
ALATA_L,-0.0284304311472222
ALCD21_L,0.00209694823274644
ALCD22_D,0
ALDD20xm,0.00105158199153305
ALDD21,0.00218646865217498
ALDD2xm,0.00693691024152695
ALDSTRNte,0.00118096758239081
ALDSTRNtm,-0.00118096758239081
ALOX12,0.00117587919665534
ALOX5,0.00178995420071726
ALOX52,0.0348602570282275
ALR2,0.00209694823274644
ALR3,0.00209694823274644
AMACR2p,0.0101778323786725
AMETt2m,0.0063934169914457
AMPDA,0.00425009371376258
AMPTASECGe,0.0170113628281305
AMPtp,-0.00755955495419038
AOBUTDsm,0.0317797408930893
APAT2rm,-0.00238822726852731
ARACHCPT1,0.00256962244994889
ARACHCPT2,0.00256962245806883
ARACHCRNt,0.000126102633121089
ARACHDCOAtx,0.0142279208205275
ARACHDt2,0.0149118688852993
ARACHDtr,-0.0196935911274028
ARACHt,0.0238867498106381
ARGSS,0.00108585184184388
ARSA,0.000682380984386413
R_group_phosphotase_1,0.00296590985433713
R_group_phosphotase_2,0.00615820815708386
R_group_phosphotase_3,0.00294804355655838
ARTFR11,0.0221551657251451
ARTFR12,0.0073319764919731
ARTFR41,0.00571798798403413
ARTFR61,0.038787099182503
ARTPLM1,0.0460295434376569
ARTPLM2,0.00573724871176763
ARTPLM3,0.00294804355655838
ASAH1,0.00119972255636014
ASCBt,-0.0186735163135018
ASNNm,0.00601122108018608
ASNt4,0.0223471158960632
ASNtm,0.00601122108018608
ASPCTr,0.0278082380485914
ASPNATm,0.00448249544213974
ASPTAm,-0.00611254912714511
ATP1ter,0.00190021916668937
ATP2ter,0.019056477598433
ATPH2e,0.0163179466423036
ATPtm,0.0537721402404852
ATPtx,0.00520213068463458
BAAT1x,0.00879894403376595
BAAT2x,0.0129040416081619
BALAtmr,-0.00238822726852731
BALAVECSEC,0.00101514878943565
BILDGLCURt,0.000527645290298088
BILDGLCURtr,0.0128750272978563
BILGLCURt,-0.0143500593428658
BILGLCURtr,0.0119551556599798
BILIRED,0.00551831984186658
BILIRUBt2,-0.0323111598875402
BILIRUBtr,-0.0170686559700783
BUTt2m,0.00305784309451272
C161CPT1,0.00985079824295421
C161CPT12,-0.034086696397406
C161CPT2,0.00985079824295421
C161CPT22,0.00292820388112248
C161CRN2t,-0.000371416883002057
C180CPT1,0.0090258534647766
C180CPT2,0.000691513811459572
C180CRNt,-0.000829842680653144
C181CPT1,0.0322386854157099
C181CPT2,-0.00725492027996197
C181CRNt,-0.00463384298821752
C204CPT1,-0.0158878714869874
C204CPT2,0.00137219163370524
C204CRNt,-0.000504515007285968
C226COAtx,-0.00187087591216042
C226CPT1,0.00369234075389156
C226CPT2,0.00369234075799549
C226CRNt,-0.00120014552162145
CATm,0.0522938927236749
CATp,0.0356671298976957
CBR2,0.0201147616363847
CDIPTr,0.000656013159332193
CDS,0.000662130293425755
CDSm,0.00177183732509457
CEPTC,0.00275910150945979
CEPTE,0.00144409012868047
CERK,0.00524497560365733
CERT1gt,0
CERT1rt,0.00119972255636014
CERT2rt,0.00254278557019053
CHAT,0.00917279685443819
CHLPCTD,0.00521673769108088
CHLtm,-0.0014360431516099
CHOLATEt,0.0232428295817655
CHOLK,0.00157549362372427
CHSTEROLt1,0.0211162668107873
CHSTEROLt2,0
CHSTEROLt3,-0.0149347662731358
CHSTEROLtg,0.018438490270951
CHTNASE,0.00246908912603171
CITRtm,-0
CITt4_2,-0.0217100438056606
CITtam,-0.0151733301729555
CITtbm,0.0345162943475679
CKc,-0.0542249454756713
CLPNDCOAtx,0.00187087591216042
CLPNDCPT1,0.000349502522051596
CLPNDCPT2,0.000349502526155088
CLPNDCRNt,-0.00244211721919693
CLPNDt,0.00319789671471653
CLS_hs,6.1171340935617e-06
CMPACNAtg,0.000552459039766898
CMPSAS,0.0144696256638416
CO2tm,0.0237094798531669
CO2tp,-0.00492207148436678
COAtm,-0.0200404713583681
COAtp,-0.0130864761085106
COAtr,0.0499767361601171
COt,0.00156079821135862
COUCOAFm,0.000194050395132981
CRMPte,0.00357679328315948
CRNCARtp,0.0218085899565261
CRNt,-0.039421563316869
CRNtuNa,0.0100596588374603
CRTSTRNt,0.00118096758239081
CRTSTRNtm,0.00118096758239081
CRVNCtr,0.00121233900517353
CSNAT2m,-0.00111351036471895
CSNATm,-0.0518961139364263
CSNATp,0.0189142576556833
CSNATr,-0.0169172906377268
CYSGLTH,-0.0156541026261746
CYSGLUexR,-0.00936684730704178
CYSTA,0.0236628005804985
CYTD,0.006939742842231
CYTDt,0.00221457140692643
CYTK11,0.0292666026496935
CYTK11n,-0.000897796698083302
CYTK12,-0.010010037455148
CYTK12n,0.00105418094577213
CYTK13,0.0179701255134109
CYTK13n,-0.0062387507661551
CYTK14n,-5.5083733628524e-05
CYTK1m,0.00177183732509457
CYTK2n,0
CYTK3n,-0.00064369155232081
CYTK5,0.0044116364857779
CYTK6,0.00814493627721487
CYTK6n,-0.000762138576254106
CYTK7,-0.00681810847049753
CYTK7n,-0.000173565378050113
CYTK8,0.0206302848606856
CYTK9,-0.00641141827780121
CYTK9n,0.000935703942124193
DADNK,0.00139522275880264
DADNt4,0.0112981893926952
DAGK_hs,-0.0224806475262476
DAGKn_hs,-0.0129708114080822
DAGt,-0.0332851952985631
DASCBR,0.00769145332694096
DCIm,-0.00292570596934516
DCK1m,-0.0153793919471545
DCK1n,-0.00442850455678654
DCK2n,-0.0023526372313434
DCSPTN1COAtx,-0.00110712906362496
DCSPTN1CPT1,0.00359196034023635
DCSPTN1CPT2,0.00359196034835624
DCSPTN1CRNt,0.000629726266344316
DCSPTN1t,0.00174698632829149
DCTPtn,0.00678114177595126
DCYTD,0.00853564198955224
DCYTt,-0.0173443717937312
DDPGAm,0.00868720198962843
DECDPtm,0.000194050395132981
DESAT18_8,0.00241572417768285
DESAT18_9,0.00240975130800201
DESAT22_1p,0.00172861688506417
DESAT22_2p,0.00187087591216042
DGK2m,0.00228162805722243
DGNSKm,0.00228162805722243
DGSNt,0.00325312440080759
DGSNtm,0.00228162805722243
DHAAt1r,0.0186735163135018
DHAPA,0.00131369994286752
DHCHOLESTANATEtm,0.0021075056247458
DHCR72r,0.0161424384563168
DHCRD1,0.00716928276762216
DHCRD2,0.00421328248572364
DHDPBMTm,0.000194050395132981
DHEASt,0.000628428794048582
DHEAStr,-0.028093329845919
DHEASULT,0.000735429340731207
DHEAtr,0.00403563846603555
DHFtm,0.0074858858232764
DHPM1,0.00972634007630484
DIDPtn,0.0381995039819833
DINt,0.00120823680818208
DITPtn,-0.0381995039819833
D_LACt2,-0.034789632978311
D_LACtm,-0.0179522650171229
DLNLCGCPT1,0.0132112343984106
DLNLCGCPT2,0.00344185375309907
DLNLCGCRNt,0.000576142314729414
DLNLCGt,0.00636789681342704
DMATTx,0.000729574601542567
DMHPTCRNCPT2,-0.00121987878715826
DMHPTCRNt,-0.00121987878715826
DMNONCOACRNCPT1,0.00121987878715849
DMNONCRNCPT2,0.00121987878715826
DMNONCRNt,-0.00145288061746764
DNDPt10m,0.0334993462351689
DNDPt15m,0.0380626023494315
DNDPt26m,0.0326201895909807
DNDPt31m,0.00694782573486395
DNDPt35m,0.0357809742923913
DNDPt41m,0.00606866909067585
DNDPt42m,0.00172415182043368
DOPABMO,0.00271463771191106
DOPAMT,0.0182371301484774
DOPAtu,-0.0246399758196984
DPHMBDCm,0.000194050395132981
DPMVDx,0.00276176854884475
DPPS,0.000194050395132981
DRPA,0.0572635631459442
DSAT,0.00179708086446828
DTDPtn,0.0220049775045287
DTTPtn,-0.0220049775045287
DUDPtn,-0.0298572448291306
DURAD,-0.00199163243855759
DURIK1,0.0110031412067476
DURIt,-0.031782520144751
DUTPDPm,0.000882689016201614
EBP2r,0
ECOAH12m,0.00196042299880691
ECOAH1m,0.0170106940195945
ECOAH1x,-0.000857395610437625
EHGLAT2m,0.00868720198962843
EICOSTETCPT1,0.00255840072066679
EICOSTETCPT2,0.00255840072878527
EICOSTETCRNt,0.000134123920443485
EICOSTETt,0.00387301688128941
ELAIDCPT1,0.00831973916885898
ELAIDCPT2,-0.00149797617228338
ELAIDCRNt,-0.00174897987407418
ELAIDt,-0.0509537585704818
ESTRADIOLt,-0.0134018580069797
ESTRADIOLtr,0.0331580166215902
ESTRIOLtr,-0
ESTRONESt,-0.00968574235906139
ESTRONEtr,-0.0281259818812956
ESTSULT,0.00100648421452214
ETHAK,0.00416464591398921
EX_13_cis_retnglc[e],0.0122726863950849
EX_1glyc_hs[e],0.00931616709361564
EX_25hvitd3[e],0.0012388555312525
EX_34dhoxpeg[e],-0.00098744722630075
EX_3aib[e],0.00878538329475253
EX_4mptnl[e],0.00152410447849674
EX_5adtststerones[e],0.0287002627040518
EX_5mthf[e],0.00986069710367127
EX_5thf[e],0.0193453663694385
EX_6thf[e],-0.0193453663694385
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],0.000587066109134363
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],0.000305100142384081
EX_ach[e],0.00495554376057382
EX_acnacngal14acglcgalgluside_hs[e],0.000521608196794164
EX_adp[e],-0.00178097592301555
EX_adrn[e],-0.00229942153054916
EX_adrnl[e],-0.00366099868149591
EX_ak2lgchol_hs[e],0.000677851067652779
EX_ala_B[e],0.00503728607152289
EX_ala_D[e],-0.00325866291554026
EX_aldstrn[e],0.00118096758239081
EX_amp[e],-0.00604782636039593
EX_arach[e],-0.00283797797302353
EX_arachd[e],-0.0313717200205277
EX_ascb_L[e],0.0147489127105096
EX_atp[e],0.0346398033280155
EX_bildglcur[e],-0.012112678686523
EX_bilglcur[e],0.0183638248029565
EX_bilirub[e],0.013241278299293
