Reaction,Flux_Normalized
10FTHF5GLUtl,0.000619604413859459
10FTHF5GLUtm,0.000619604413859459
10FTHFtl,-0.000619604413859459
10FTHFtm,0.0120531759783758
1MNCAMti,0.000842328750312392
25HVITD3t,0.00133020806988851
25VITD3Hm,0.00146356902218549
2DR1PP,0
2MCITt,0.00270281900462788
34DHXMANDACOX,0.0020135398124931
34HPLFM,0.0190109295887328
3DPHBH1,0.000109665807590061
3DPHBH2,7.17247855360745e-05
3MOBt2im,0
3MOPt2im,0.046611279277064
3MOX4HOXPGALDOX,0.0131852767327265
3MOX4HOXPGALDOX_NADP_,-0.0101320717896935
3SALAASPm,-0.0178598157907104
3SALATAi,0.00212013565899182
3SPYRSP,0.00212013565899182
41R2A1H12BOOX,0.0020135398124931
42A12BOOX,0.00231351785111108
4ABUTtm,0.00277152446035167
4HBZCOAFm,0.000181390593126135
4HBZFm,0.000181390593126135
4HGLSDm,0.0010983176442795
4HOXPACDOX_NADP_,-0
4MPTNLte,0.00138834976943483
4MPTNLtm,-0.00138834976943483
5AOPtm,-0.00137326077982308
7DHCHSTEROLtr,-0.0318343209096777
A_MANASEly,0.000536311329679021
A4GALTc,0.0024572497987206
ABTArm,0.00277152446035167
ABUTt4_2_r,-0.0296678002208686
ACACT1rm,0.0599623850473518
ACACT1x,0.00609378414695483
ACACt2m,-0.000844940338621053
ACACT8p,0.00138873788486288
ACACT9p,0.00106122107025349
ACALDtm,-0.00420475228024332
ACCOAtr,0.00781332770829129
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000561403960684402
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000253173655781677
ACGALK,0.00957566128281375
ACGALK2,0.00549735583125889
ACGALtly,0.00607266582401198
ACGAMK,0.00590678656124163
ACGAMPM,0.00369431108556447
ACGAMtly,0.00275851468696543
ACITL,0.00252451706007318
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000406301675944084
ACNAMlt,-0.00421165086983044
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000574318045915052
ACOAD1fm,0.00563013493941532
ACOAO7p,0.00254205540845064
ACRNtm,-0.0564617766438478
ACt2m,-0.00998827260080647
ADAe,0.0101992921241428
ADEt,0.00693266653773646
ADHAPtx,0.023501815055147
ADK1m,0.00904654317184769
ADK3m,-0.00813026304783464
ADMDC,0.0066043578545414
ADNt,0.00608586137476035
