Reaction,Flux_Normalized
34HPLFM,0.000159788265954839
3DPHBH1,0.000241554559385056
3DPHBH2,7.97896371485237e-05
3MOX4HOXPGALDOX,0.0108163346926077
3SALAASPm,-0.0119137972759893
4HBZCOAFm,0.000321344196533579
4HBZFm,0.000321344196533579
4HOXPACDOX_NADP_,0.00248607806544125
4MPTNLte,0.00311227703341465
4MPTNLtm,-0.00311227703341465
5AOPtm,-0.00614142112112009
7DHCHSTEROLtr,-0.0186680121866398
A4GALTc,0.00239549824679055
AATAi,0.0198150548831495
ACACT9p,0.000943560241834997
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000932751767086914
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000311964856404584
ACGALK,0.0156109312755119
ACGALtly,0.00230272004218531
ACGAMK,0.00293813220952743
ACGAMPM,0.00159633058372369
ACHEe,0.0194134642835241
ACNAMlt,-0.00115136002109265
ACONTm,-0.0309867199381345
ADAe,0.0129801197157101
ADEt,-0.0596799254665354
ADHAPtx,0.021273491308788
ADK3,-0.0446792586814459
ADK3m,0.000654076378804106
ADMDC,0.000434876137644178
ADNtm,-0.000745536716951453
ADPMAN,0.000920399043679031
ADRNCOAtx,-0.00280344651142112
ADRNCPT1,0.000120212805387527
ADRNCPT2,0.000120212906052552
ADRNCRNt,-0.000506543655976584
ADRNt,-0.00218617582423348
ADSK,0.00302662151484659
AGLPC,0.000943560241834997
AGLPH,0.000943560241834997
AGTim,0.00132220095828535
AKGDm,0.038843073562822
AKGMALtm,-0.00110667647527633
ALADGLNexR,0.0589569694377394
ALASm,0.00614142112112009
ALCD22_D,0
ALDD2y,0.0316726906358893
ALDSTRNte,0.00137618927471733
ALDSTRNtm,-0.00137618927471733
ALOX5,0.0021222501387243
ALOX52,0.0214647646414107
AMETt2m,0.0009640327812374
AMPDA,0.0189578090835288
ARACHCRNt,0
ARACHDCOAtx,-0.00149096144800984
ARACHDt2,0.00518614360580412
ARACHDtr,0.00350698848594868
ARACHt,0.00272108273496911
ARGLYSex,0.000588201706432893
ARGSS,0.00303967405359697
R_group_phosphotase_1,0.0154406411702146
R_group_phosphotase_2,0.00444455752156312
ARTFR12,0.0106203020281161
ARTFR61,0.0415066946296892
ARTPLM1,0.0418201237280711
ARTPLM2,0.00557450533823374
ASNNm,0.0105915963192417
ASNtm,0.0105915963192417
ATP1ter,0.00106704860074123
ATPH1e,0.00484049256085744
ATPH2e,0.0116110085455788
BALAVECSEC,0.00397682127602351
BHMT,0.00121048854930003
BILGLCURtr,-0.000847845991646697
BILIRUBtr,0.00136359322131452
C161CPT12,-0.0318064742443688
C180CPT2,0.0109416918604644
C180CRNt,0.0109416918604644
C181CRNt,0.000185782877147978
C204CRNt,0.0171080486194207
C226COAtx,-0.0117710206983954
C226CRNt,0
CATm,0.0166083577314501
CATp,0.0440666659875986
CDIPTr,0.000308108337425623
CDS,0.000969508961990559
CDSm,0.00051543227782504
CEPTC,0.00375577412284093
CEPTE,0.00126388357634706
CERK,0
CERT1rt,0.00110038505302283
CERT2rt,-0.000328003087559526
CHAT,0.0112451273799198
CHLPCTD,0.00530030368539751
CHOLK,0.0054205263051816
CHOLtu,0.0194134642835241
CHSTEROLt2,0.00109497276161381
CHSTEROLt3,0.00387753164954742
CHSTEROLtg,0
CHTNASE,0.00097937740317581
CLPNDCPT1,0.000351902269632416
CLPNDCPT2,0.000351902269632416
CLPNDCRNt,0.000351902269632416
CLPNDt,0.00154972482855623
CLS_hs,7.24136646881649e-06
CMPSAS,0.012664158131075
CO2tp,-0.00383004411625638
COAtr,0.0167294897055682
COt,0.000515747323744618
COUCOAFm,0.000321344196533579
CRNCAR3tp,0.0122399973964817
CRNCARtp,0.0284424769406001
CRTSTRNt,0.00137618927471733
CRTSTRNtm,0.00137618927471733
CRVNCtr,-0.0129688434557926
CSNAT2m,0.0118217524365643
CSNAT3x,0.0122399973964817
CSNATm,-0.0831618347910816
CSNATp,0.0284424769406001
CSNATr,-0.0173035562340562
CYSGLUexR,-0.0176581847657582
CYSGLYexR,0.01948353705491
CYTK10n,-0.00892893371328561
CYTK11,0.0701726170312111
CYTK11n,0.00892893371328561
CYTK12,-0.0289342296787821
CYTK13n,-0.0178578674265712
CYTK1m,0.00051543227782504
CYTK5,-0.0264521408158161
CYTK6,0.00581605929355479
CYTK8,0.0154219767732936
CYTK9,-0.000601954970263937
CYTK9n,0.00892893371328561
DADAe,0.00507758126754477
DADNK,0.00177787749820269
DADNt4,0.0436667869963391
DAGKn_hs,-0.00332797711456733
DCIm,-0.00462306902048447
DCK1n,-0.00892893371328561
DCSPTN1COAtx,-0.00485290858076376
DCSPTN1CPT1,0.000378634142114716
DCSPTN1CPT2,0.000378634142114716
DCSPTN1t,-0.00447427453893878
DCTPtn,0.00892893371328561
DDPGAm,0.00132220095828535
DECDPtm,0.000321344196533579
DGAT,0.00095839458925971
DGCHOLte,0.00390142660318275
DGSNt,0
DHAPA,0.021273491308788
DHCHOLESTANATEtm,-0.000851980584340507
DHCR241r,0.0873789251779745
DHCR72r,0.0186680121866398
DHCRD2,0.00320917471890541
DHDPBMTm,0.000321344260412467
DHEASt,-0.032210589720023
DINt,0.00507758126754477
D_LACtm,-0.00272072821202289
DLNLCGCPT2,0.000939300130184228
DLNLCGt,0.00172545068734911
DMNONCRNt,-0
DNDPt21m,0.00111327778991368
DNDPt37m,0.00111327778991368
DOPAMT,0.0555112940160251
DOPAtu,-0
DOPAVESSEC,0
DPHMBDCm,0.000321344260412467
DPMVDx,0.00383004411625638
DPPS,0.000321344196533579
DRPA,0.0943785650328605
DTDPtn,0.0301147784998977
DTTPtn,-0.0301147784998977
DURAD,-0.0198112521298606
DURIt,-0.0506728937378703
ECOAH1x,-0.000428919803623384
EHGLAT2m,0.00132220095828535
EICOSTETCPT1,0.00254215057256192
EICOSTETCPT2,0.00254215077104072
EICOSTETCRNt,0.00103213321563619
EICOSTETt,0.00367705199284399
ELAIDCPT1,-0.00254333787436601
ELAIDCPT2,-0.00959036046779528
ELAIDt,-0.0593070234337041
ESTRADIOLtr,0.0649102718724146
ESTRIOLtr,0.00118231918851456
ESTRONESt,-0.0337536395783924
ESTRONEtr,-0.0660925909627399
ESTSULT,0.000931416450245956
EX_13_cis_retnglc[e],0.0661728064104279
EX_1glyc_hs[e],0.00112994781923781
EX_4hphac[e],0.00248607806544125
EX_4mptnl[e],0.00311227703341465
EX_5mthf[e],0.00631935711994636
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],0.000932751767086914
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],0.000311964856404584
