Reaction,Flux_Normalized
10FTHF5GLUtl,0.000696018199142815
10FTHF5GLUtm,0.000696018199142815
10FTHFtl,-0.000696018199142815
24_25DHVITD3t,0.000861365170436592
25HVITD3t,0.00310291762346647
25HVITD3tm,0.00396428279371363
2DR1PP,0.00568244859740068
2HBO,0.0327504416133192
34DHOXPEGOX,-0.0035727959095237
34DHOXPEGt,-0.0035727959095237
34DHPLACOX_NADP_,0.00207881314295263
34DHXMANDACOX_NADP_,0.00558437976749705
34HPLFM,0.0239147391703413
35CGMPtn,0.00163952594077837
3DPHBH1,0.000129122919945569
3DPHBH2,0.000117903050598391
3DSPHR,0.00263070655576106
3HBCOAHLm,0.0187114426015014
3MOBt2im,0.020406672584177
3MOPt2im,0.0444126449428242
3MOX4HOXPGALDOX,0.0190838281701439
3MOX4HOXPGALDOX_NADP_,-0.0144112780515772
3SALAASPm,-0.0167731656746728
3SALATAi,0.00213155838363889
3SALATAim,0.00167464962983841
3SPYRSP,0.00213155838363889
3SPYRSPm,0.00167464962983841
41R2A1H12BOOX,0.00201158384305111
42A12BOOX,0.00207881314295263
4HBZCOAFm,0.000113641343123596
4HBZFm,0.000113641343123596
4HOXPACDOX_NADP_,0.00201062285203955
4MOPt2im,0.0448831511984772
4MPTNLte,0.00271258256709811
4MPTNLtm,-0.00271258256709811
5ADTSTSTERONESte,0.032425408718354
5AOPtm,-0.0025160981481672
5HTRPVESSEC,0.00160646075234335
5MTHFt2,-0.0015196591374514
7DHCHSTEROLtr,-0.0252280449464555
7THFtm,0.000341531490195365
A4GALTc,0.002435927659259
AACTOOR,0.00333692772664259
AACTtm,0.00333692772664259
ACACT10m,-0.0114101237928241
ACACT1rm,0.050843372312178
ACACT1x,0.0112644305483768
ACACT8p,0.00406445322040127
ACACT9p,-0
ACALDtm,-0.00304790758327844
ACCOACm,0.0327445457561458
ACETONEt2m,-0.00121431033060564
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000687463054084031
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000624459017850638
ACGALK,0.0033469384058142
ACGALK2,0.00224343242753406
ACGALtly,0.0148004821932646
ACGAM6PSi,0.0268737653134174
ACGAMK,0.00176131619979044
ACGAMPM,0.0286350815130569
ACGAMtly,0.0106599085654469
ACHEe,0.00536799672868884
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000518250239581468
ACNAMlt,-0.00597177956116601
ACNMLr,-0.013435257732848
ACOAD9m,0.00468710995984205
ACOAO7p,0.00304046785578796
ACONTm,-0.00299853533817521
ACP1_FMN_,0.003140960321769
ACRNtm,-0.0233098986107957
ACt2m,-0.0239196775885807
ACTNMO,0.00121431033060564
ADCim,0.00121431033060564
ADEt,0.00276112276578752
ADHAPtx,0.0197240933418243
ADK1m,-0.00912390991714268
ADK3,-0.0591800230255084
ADK3m,0.012034061707549
ADKd,8.76558308103126e-05
ADMDC,0.0157945311868983
ADNt4,0.0390768947420487
ADNtm,-0.00368424862227374
ADPMAN,0.00294145185937522
ADRNCOAtx,-0.0015011181808587
ADRNCPT1,0.00326364598809518
ADRNCPT2,0.00326364600317539
ADRNCRNt,0.00166795031461228
ADRNt,0.0106636818429291
ADSK,0.00619634563213377
ADSL1,0.000935873938982323
AGLPC,0.00102398536483514
AGLPH,0.00102398536483514
AGPAT1,0.00450370208233783
AKGDm,0.044606845150756
AKGMALtm,0.0191763662009298
AKGtp,0.0614559309853657
ALADGLNexR,0.00711429671101098
ALASm,0.0025160981481672
ALATA_L,-0.031349132120286
ALCD21_L,0.00319016559329269
ALCD22_D,0
ALDD20xm,0.00146926922089143
ALDD21,0.00148534022167284
ALDD2xm,0.00304790758327844
ALDD2y,0.0130558504544134
ALDSTRNte,0.000968917681545595
ALDSTRNtm,-0.000968917681545595
ALOX12,0.000992116357169284
ALOX5,0.0017859186479255
ALOX52,0.0135973070717766
ALR2,0.00197585525562369
ALR3,0.00319016559329269
AMACR2p,0.00632864685817572
AMETt2m,0.0185323471308401
AMPTASECGe,0.0184068045531144
AOBUTDsm,0.00333692772664259
APAT2rm,0.00424659907410748
ARACHCOAtx,0.00939782754177301
ARACHCPT1,0.0119972195126712
ARACHCPT2,0.0119972195201824
ARACHCRNt,0.00602869786728089
ARACHDCOAtx,0.018588079738223
ARACHDt2,-0.00131027560025294
ARACHDtr,0.00748220762050703
ARACHt,0.01855455625392
ARGSS,0.00145264516627499
ARSA,0.00104675191329848
ARTCOAL1,0.00304469128696051
R_group_phosphotase_1,0.00405964790247958
R_group_phosphotase_2,0.00942885896856431
R_group_phosphotase_3,0.00395700860813098
ARTFR11,0.0272859155488073
ARTFR12,0.00398134910364943
ARTFR41,0.00334089860400408
ARTFR44,0.0233086607228303
ARTFR61,0.0166222317178186
ARTPLM1,0.0471854652097525
ARTPLM2,0.00445619321168596
ARTPLM2m,0.00872402894572863
ARTPLM3,0.00219104498028476
ASNNm,0.0147390250823355
ASNS1,0.0013329382520238
ASNtm,0.0147390250823355
ASPCTr,0.0246388728094364
ASPDxt,-0.00162129518008373
ASPTAm,-0.000505010964131941
ATP1ter,0.00252614870992614
ATP2ter,0.0144672263314605
ATPH1e,0.0101624504609849
ATPH2e,0.0181485983103402
ATPtm,0.048660890306939
BAAT2x,0.000913494626982781
BALAtmr,0.00424659907410748
BBHOX,0.000589762817873255
BHMT,0.0175857218606465
BILDGLCURt,0.00932386805105159
BILDGLCURtr,0.00932386805105159
BILGLCURt,-0.0191186408907038
BILGLCURte,0.0012099846009122
BILGLCURtr,0.00676230584670691
BILIRED,0.0055751767175296
BILIRUBtr,-0.0151133171728595
BUTt2m,0.00164232060246278
C160CRNt,-0
C161CPT1,-0.0170821021216339
C161CPT12,-0.00855831158128112
C161CPT22,-0.00393366423573854
C161CRN2t,-0.0030796236882426
C180CPT1,0.0223613604494057
C180CPT2,-0.00766401623777073
C180CRNt,-0.00379501531453349
C181CPT2,-0.0409696125052386
C181CRNt,-0.0202804584359157
C204CPT1,-0.0204023743879962
C204CPT2,0.000613490339623189
C204CRNt,0.000395181967340481
C226COAtx,-0.00599546917764942
C226CPT1,0.00655540756523164
C226CPT2,0.00655540757285332
C226CRNt,0.00318969974462003
CATm,0.0376307113567933
CATp,0.0428995485421171
CDIPTr,0.00090339542434011
CDS,0.000912453072143718
CDSm,0.0014748226521251
CEPTC,0.00160375182788396
CERK,0.00561653570649492
CERT1gt,0
CERT2gt,-0.00168717517826092
CERT2rt,0.00215647581956005
CH25H,0.000596165634555142
CHAT,-0.0158152286784092
CHLPCTD,0.0040207793922047
CHLtm,-0.00310507247392138
CHOLK,0.00785831425618757
CHOLtu,0.00536799672868884
CHSTEROLt1,0.0159701077900457
CHSTEROLt2,0.00128193179630051
CHSTEROLt3,-0.0135977922076723
CHSTEROLtg,0.010587772567892
CHTNASE,0.00151222178667049
CITRtm,0.0547821448886783
CITtam,-0.0133825799328392
CLPNDCPT1,0.000513794583308981
CLPNDCPT2,0.00051379459092946
CLPNDCRNt,0.00017873305669052
CLPNDt,0.000516498145618767
CLS_hs,9.05764780360819e-06
CMPACNAtg,0.00106652117731886
CMPSAS,0.0176409419268735
CO2ter,-0.000643412281272861
CO2tm,0.0270048716353588
CO2tp,-0.00406218573364976
COAtm,-0.0309413451302164
COAtp,0.0279446647704853
COAtr,-0.00645291036538708
COt,0.000684899075255602
COUCOAFm,0.000113641343123596
CRMPte,0.00369017358952021
CRNt,0.0158383677561859
CRNtHa,0.0207096719322824
CRTSTRNt,0.000968917681545595
CRTSTRNtm,0.000968917681545595
CRVNCtr,0.0195238942658773
CSNAT2m,0.00300333019026724
CSNAT2x,-0.00583553750336363
CSNATm,-0.0466994270373169
CSNATp,0.0162815687811637
CSNATr,-0.00594492213891493
CSNt,0.00441871637662383
CSPG_Ct,0.000643412281272861
CYANt,0.0113098604152944
CYANtm,0.0113098604152944
CYSGLTH,0.00667721384935785
CYSGLUexR,0.000418630710233277
CYSO,0.00380620801328499
CYSTA,0.0120145152150044
CYTD,0.0059192885265995
CYTDt,-0.0315178266262489
CYTK10,0.00455288176470739
CYTK11,0.0109637020159551
CYTK11n,0.00164464437411981
CYTK12,-0.0100804439581503
CYTK12n,0.00438402272404278
CYTK13,0.00503904899741665
CYTK13n,0.000535107663285679
CYTK14,-0.0130626440102047
CYTK1m,0.0014748226521251
CYTK2n,-0.0137033295118965
CYTK3,0.0252149463931117
CYTK3n,0
CYTK4,0.0296173011875649
CYTK5,0.0125652284710934
CYTK7,-0.0178034685085716
CYTK8,-0.00175950574034785
CYTK9,-0.0162766923592399
D_3AIBt,0.00411998961305527
DADAe,0.00756045801794255
