Reaction,Flux_Normalized
10FTHFtm,0.02454564660048
24_25DHVITD3t,0.000913915606428319
25HVITD3tm,0.000913915606428319
2DR1PP,0.00987440507812478
34DHPHAMT,0.0193313351353214
34DHPLACOX,0.000875234169778362
34DHXMANDACOX_NADP_,0.000869553808335095
34HPLFM,0.00016622868324334
3DPHBH1,9.31651369764794e-05
3DPHBH2,7.30635464168918e-05
3HBCDm,0.059371438511886
3HBCOAHLm,0.00230839420296029
3MOBt2im,0.0139558414458841
3MOPt2im,0.0436541964209407
3MOX4HOXPGALDOX,0.0146509754883996
3MOX4HOXPGALDOX_NADP_,-0.0118189366555884
3SALAASPm,-0.0085604292845437
41R2A1H12BOOX,0.000869553808335095
42A12BOOX,0.000875234169778362
4HBZCOAFm,0.00016622868324334
4HBZFm,0.00016622868324334
4HGLSDm,0.0161468349104833
4HOXPACDOX_NADP_,-0
4MPTNLte,0.000705836706877872
4MPTNLtm,-0.000705836706877872
5ADTSTSTERONEte,-0.00591585538968778
5ADTSTSTERONEtr,0.00591585538968778
5AOPtm,0.0169211884951872
5MTHFt,-0.0426863032945875
7DHCHSTEROLtr,-0.0117221459859388
A4GALTc,0.00367120965680842
ABUTt4_2_r,0
ACACT1rm,0.0597067969612815
ACACT1x,0.0163260304330746
ACACT8p,-0
ACACT9p,0.00119416815794678
ACALDtm,-0.00453513545659193
ACCOACm,0.0249750277433112
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.00097761354151699
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000646636623601296
ACGALK,0.00175001482230325
ACGALK2,0
ACGALtly,0.0140834326817383
ACGAM6PSi,0.0343846560525618
ACGAMK,0.00180279695852055
ACGAMPM,0.02624573530679
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000554033046440929
ACNAM9PL,0.00030842287304317
ACNAMlt,-0.0125677957641052
ACNAMPH,0.00030842287304317
ACNAMtn,0.00854757670191402
