Reaction,Flux_Normalized
34HPLFM,0.000140987622774073
3DPHBH1,0.000119545487716591
3DPHBH2,0.000152757079068607
3DSPHR,0.00725337120091023
3HBCOAHLm,0.0170816776537727
3MOX4HOXPGALDOX,-0
3MOX4HOXPGALDOX_NADP_,0.00107533234715331
3SALAASPm,-0.0158736996281447
3SALATAi,0.000878958035647011
3SPYRSP,0.000878958035647011
4HBZCOAFm,0.000140987622774073
4HBZFm,0.000140987622774073
4HOXPACDOX_NADP_,0.00113605283902656
4MPTNLte,0.00145598059884079
4MPTNLtm,-0.00145598059884079
5AOPtm,-0.00624595548010635
5MTHFt2,-0.0177245109827038
A4GALTc,0.00312168964642592
AACTOOR,0.00233682780657708
ABUTt4_2_r,-0.0246661107011569
ACACT1rm,0.0718570840079109
ACACT1x,0.0101447731812647
ACACT8p,0.00191930680436704
ACACT9p,0.00231103485450051
ACACtx,-0.00530821510673794
ACALDtm,-0.0068287872788309
ACCOAtr,-0.00113161975821434
ACETONEt2m,-0.000603313433803878
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000927410835931112
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000326912361797629
ACGALK,0.00141067108836315
ACGALK2,0
ACGALtly,0.0144693560777799
ACGAM6PSi,0.0220975200698007
ACGAMK,0.00269740096661332
ACGAMPM,0.0247949210363977
ACGAMtly,0.00205837151108975
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000547986126227358
ACNAMlt,-0.00235712363019179
ACNMLr,0.000639029455523575
ACOAD1fm,0.00144179445429655
ACOAD9m,0.00538942604983377
ACONTm,-0.0150466717266337
ACSm,0.000846323974019559
ACt2m,-0.0306149303085029
ACTNMO,0.000603313433803878
ADCim,0.000603313433803878
ADEt,-0.012944974014433
ADHAPtx,0.00117630999495487
ADK1m,0.0409332047827542
ADK3,-0.0742033713621322
ADK3m,-0.0368070241529013
ADKd,0.0214501742554282
ADMDC,0.000675399611113633
ADPMAN,0.00412739728449934
ADPtx,-0.00109131202193674
ADRNCPT1,0.000410709957098357
ADRNCPT2,0.000410709958558309
ADRNCRNt,-0.000339936776941745
ADRNt,-0.000860094794391711
ADSK,0.00524556618215508
AGLPC,0.00117630999495487
