Reaction,Flux_Normalized
10FTHF5GLUtl,0.000967714202950869
10FTHF5GLUtm,0.000967714202950869
10FTHFtl,-0.000967714202950869
10FTHFtm,0.00458464921147346
34DHOXPEGOX,-0.010884046580099
34DHOXPEGt,-0.010884046580099
34DHPLACOX,0.00115323420399452
34DHXMANDACOX,0.00959023499513693
34DHXMANDACOX_NADP_,0.00315613906606229
34HPLFM,0.00857095008038784
3DPHBH1,8.76941958037696e-05
3DPHBH2,8.97267081903423e-05
3MOBt2im,0.00871235914164954
3MOPt2im,0.0278947479650482
3MOX4HOXPGALDOX,0.0142260160155096
3MOX4HOXPGALDOX_NADP_,-0.0127784638784909
3SALAASPm,-0.00657661627674896
3SALATAi,0.00117548240660926
3SPYRSP,0.00117548240660926
41R2A1H12BOOX,0.00186232748118511
42A12BOOX,0.00115323420399452
4ABUTtm,0.012660901899577
4HBZCOAFm,0.000177420903994112
4HBZFm,0.000177420903994112
4HOXPACDOX_NADP_,0.00158612981197029
4MPTNLte,0.00071637884034319
4MPTNLtm,-0.00071637884034319
5ADTSTSTERONESte,0.0261119931037577
5AOPtm,0.0242969084755658
6HTSTSTERONEte,0.00179203050854548
6HTSTSTERONEtr,-0.00179203050854548
7THFtm,0.000437683747425921
A4GALTc,0.0027104873923399
A4GALTg,0.000320410948046547
AACTOOR,0.00813384593104896
AACTtm,0.00813384593104896
ABTArm,0.012660901899577
ABUTt4_2_r,-0.0470808183809068
ACACT1rm,0.03866550924266
ACACT1x,0.00993155099243031
ACACt2m,-0.0200952995974248
ACACT8p,0.00147858489375997
ACACT9p,0.0012712801313004
ACACtx,-0.0212343695007599
ACALDtm,-0.00448665455374892
ACCOACm,0.0389880562436313
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.00119708450528482
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000827315115345515
ACGALK,0.001992482004876
ACGALK2,0
ACGALtly,0.00902461115062088
ACGAM6PSi,0.0369920093322105
ACGAMK,0.00182303672341756
ACGAMPM,0.029848276383407
ACITL,0.0022015196441108
ACNACNGAL14ACGLCGALGLUSIDEte,-0.00114775901807725
ACNAMlt,-0.0062661851246046
ACNMLr,-0.00106977912429446
ACOAD8m,0.00156478543393295
ACOAD9m,0.0014120556143905
ACONTm,-0.00909297401562269
ACOX22x,0.00153496794384645
ACRNtm,-0.0210432114475427
ADEt,0.000345368846365153
ADHAPtx,0.0266873313938909
ADK1m,0.00104565954836116
ADK3,-0.0566088865429299
ADK3m,0.00106016633177606
ADKd,0.00189685201855103
ADMDC,0.00454175152192313
ADNt4,0.0171256851148696
ADNtm,-0.000889276631646402
ADPMAN,0.00339111617408798
ADPtx,-0.000990527573033375
ADRNCOAtx,-0.000762674898416955
ADRNCPT1,0.00322508831979231
ADRNCPT2,0.00322508831987708
ADRNCRNt,0.00213659977367779
ADRNt,0.0140586946135915
ADSK,0.00661382801336563
AGLPC,0.00133348079254595
AGLPH,0.00133348079254595
AGPAT1,0.00599679556489328
AKGDm,0.00689312451067933
AKGMALtm,0.0223686990185674
AKGtp,-0.00079586346325272
ALADGLNexR,0.0243628172030763
ALAGLYexR,0.000611693434344694
ALAt4,0.0224059972930371
ALATA_L,-0.024964168554053
ALCD21_L,0.00145590772039293
ALCD22_D,0.00540888384339796
ALDD2xm,0.00448665455374892
ALDD2y,0.0224664965759583
ALDSTRNte,0.000740960016442982
ALDSTRNtm,-0.000740960016442982
ALOX5,0.00477547446639985
ALOX52,0.00240827091025147
ALR2,0.00145590772039293
ALR3,0.00145590772039293
AMETt2m,0.000532262712064677
AMPDA,0.00612736516320266
AMPTASECGe,0.0127229075800939
AMPtp,-0.00437084602132562
AOBUTDsm,0.00813384593104896
APAT2rm,-0.0133491082095957
APRTO2,0.00148663848218111
ARACHCOAtx,0.00025943385904325
ARACHCPT1,0.00293197967867813
ARACHCPT2,0.00293197967872095
ARACHCRNt,0.00183889926979128
ARACHDCOAtx,0.0182698852192892
ARACHDt2,0.0029190638378551
ARACHDtr,0.0010436214677281
ARACHt,0.0144817831806207
ARGSS,0.00192819503692974
ARGt4,0.0136035618805252
ARSA,0.000826831475407684
R_group_phosphotase_1,0.0119685388006314
