Reaction,Flux_Normalized
10FTHFtm,0.0012529814596921
25HVITD3t,0.00129920819481352
25HVITD3tm,0.00129920819481352
2AMACSULT,0.00117534819439492
2DR1PP,0.0135969791241041
2HBO,-0.00607733013538719
34DHOXPEGOX,-0.00735311334442281
34DHOXPEGt,-0.00735311334442281
34DHXMANDACOX,0.00735311334442281
34HPLFM,0.0253038840927896
3DPHBH1,9.86744914463074e-05
3DPHBH2,8.48191065933474e-05
3HBCOAHLm,0.00501203835324171
3HLYTCL,0.00312871384699179
3MOX4HOXPGALDOX,0
3MOX4HOXPGALDOX_NADP_,0.00142967561065105
3SALAASPm,-0.0156746067289346
4HBZCOAFm,0.00128986913316657
4HBZFm,0.00128986913316657
4HGLSDm,0.00527654582259228
4HOXPACDOX_NADP_,0.00167717112206443
4MPTNLte,0.00158414891169017
4MPTNLtm,-0.00158414891169017
5AOPtm,-0.00324080389129189
6DHFtl,0.00069054909931593
6DHFtm,0.00069054909931593
7DHCHSTEROLtr,-0.0177553728891868
A4GALTc,0.00138375680811065
A4GALTg,0.000645409452716013
AACTOOR,0.00191012756140307
AACTtm,0.0101263107535644
ABUTt4_2_r,-0.00584505318083129
ACACT1rm,0.0585629711553135
ACACT1x,0.0249473931196313
ACACT8p,-0
ACACT9p,-0
ACACtx,-0.0140618036203792
ACETONEt2m,-0.00166328145235329
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000764882218696952
ACGALK,0.0020811639711494
ACGALK2,0
ACGALtlg,-0.000645409452716013
ACGALtly,0.00710981978213111
ACGAM6PSi,0.00827894808955141
ACGAMK,0.0131543783816499
ACGAMPM,0.0214333264712013
ACGAMtly,0.00526909418770393
ACGBGBSIDEtg,-0.000645409452716013
ACGBGBSIDEtl,0.000645409452716013
ACNAMlt,-0.00435562610738885
ACNAMtn,0.00977768924619677
ACNMLr,0.00573457291382473
ACOAD10m,-0
ACOAD9m,0.0018821931249279
ACOAO7p,0.00675422646828516
ACRNtm,-0.0507522830479515
ACS2,0.00165829800741419
ACSm,0.00187519026807851
ACt2m,-0.014038630309064
ACTNMO,0.00166328145235329
ADA,0.00588472439539464
ADCim,0.0127152503235455
ADEt,0.018015814661244
ADHAPtx,0.0166527774150312
ADK1m,0.0110250578876274
ADK3m,-0.00697698634763904
ADMDC,0.00479460803924255
ADNt,0.0149899287170228
ADNt4,0.024365514927798
ADNtm,-0.00438605267642103
ADPtx,0.00022968096338349
ADRNCOAtx,0.00127472027687951
ADRNCPT1,0.000289255723690851
ADRNCPT2,0.000289255723694835
ADRNCRNt,0.00160333898165529
ADRNt,0.0131051382207176
ADSK,0.00830169672087916
AGLPC,0.0014584062853729
AGLPH,0.0014584062853729
AGPAT1,0.00405407961495988
AGTim,0.0133634777175113
AKGDm,0.0115963905264423
AKGtp,0.00703740258816892
ALADGLYexR,0.0108847505310563
ALASm,0.00324080389129189
ALATA_L,-0.0479574225803986
ALCD21_L,0.00166328145235329
ALCD22_D,0
ALDD20xm,0.000992723486653789
ALDD21,0.0221829107596735
ALDD2y,0.00974986654845791
ALDSTRNte,0.000800449811587112
ALDSTRNtm,-0.000800449811587112
ALOX12,0.00119244994612298
ALOX5,0.00163518139950092
ALOX52,0.0287293293989364
ALR3,0.00166328145235329
AMACR2p,0.00548493441404788
AMETt2m,0.0182657503593214
AMPDA,0.00425068434453905
AMPtp,-0.00454986695019763
ANDRSTRNte,-0.0181540904388993
ANDRSTRNtr,0.0181540904388993
AOBUTDsm,0.0101263107535644
APAT2rm,-0.0158070443292561
ARACHCOAtx,0.00864320932553088
ARACHCRNt,0.00855035782748844
ARACHDCOAtx,0.0194496018550963
ARACHDt2,-0.00977881389404474
ARACHDtr,0.00172808020701351
ARACHt,0.0153588171352214
ARGSS,0.00154428986124337
ARSA,0.000788984681257914
R_group_phosphotase_1,0.00546989132919182
R_group_phosphotase_3,0.00364019355779161
ARTFR12,0.0117552458381856
ARTFR41,0
ARTFR61,0.0482848849268429
ARTPLM1,0.029489944518132
ARTPLM2,0.00326072975403823
ARTPLM2m,0.0146536093401983
ARTPLM3,0.00364019355779161
ASAH1,0.00169789887421457
ASCBt,0.0203664904982283
ASCBt4,-0.0203664904982283
ASNNm,0.00924753331409786
ASNtm,0.00924753331409786
ASPCTr,0.00378595514579736
ASPTAm,-0.00115052759224047
ATP1ter,0.00287161251426273
ATP2ter,0.00990951630026064
ATPasel,0.00142337318712073
ATPH2e,0.0255781960615287
ATPtm,0.0558669076915892
ATPtn,0.00344113353879344
ATPtx,0.00432018598680265
B3GALT3g,0.000645409452716013
B3GNT36g,0.000645409452716013
BAAT2x,0.00240481008377251
BALAtmr,-0.0158070443292561
BETALDHxm,0.00249514663528445
BHMT,0.013093530452311
BILDGLCURtr,0.0120223873018255
BILGLCURt,-0.0131318240353385
BILGLCURtr,-0.00213294133937294
BILIRED,0.00156852577300077
BILIRUBtr,-0.00868896433640539
BUTt2m,0.00382080303977215
C160CPT2,-0.0157428875910901
C161CPT12,-0.0368396676710058
C161CPT22,-0.000442815406658163
C161CRN2t,-0.000289533975048374
C180CPT1,0.0251843898636521
C180CPT2,0.00477780219722895
C180CRNt,0.00304879980036167
C181CPT1,0.0341825362063945
C181CPT2,-0.00925376674897917
C181CRNt,-0.00385419895921014
C204CPT1,-0.0131480128126731
C204CPT2,0.00438064147555521
C204CRNt,0.00286859787411235
C226COAtx,-0.00155716096689728
C226CPT1,0.00771422990656864
C226CPT2,0.00771422990657367
C226CRNt,0.00399460347050324
CATm,0.0318327715910573
CATp,0.0389374117461186
CBPPer,0.00211570495959307
CBPter,0.00211570495959307
CBR2,0
CDIPTr,-0.00342384265273903
CDS,0.0010208605394603
CDSm,0.00293244918610098
CEPTC,0.00243886583671844
CEPTE,0.00178136357818565
CERK,0.0225362193759951
CERT1rt,0.00169789887421457
CERT2gt,0
CERT2rt,0.00324350091037326
CH25H,0.0105025299748698
CHAT,-0.00894284535883276
CHLPCTD,0.00460797590859352
CHLtm,-0.00169412852166016
CHOLD2m,0.00249514663528445
CHOLtr,0.0161746247451883
CHOLtu,0.0110972647765147
CHSTEROLt1,-0.00264858754832757
CHSTEROLt2,-0.00576227409612499
CHSTEROLt3,-0.00892282910381893
CHSTEROLtg,0
CHTNASE,0.000716903760039192
CITRtm,-0
CITt4_2,-0.0212514898132076
CITtam,-0.0146042904869848
