Reaction,Flux_Normalized
25HVITD3t,0.00523396475696099
25HVITD3tm,0.00197945940600101
2DR1PP,0.00660060763688674
2MCITt,0.00169018169121136
34DHOXPEGOX,0.0138088004486212
34DHOXPEGt,0.0138088004486212
34DHXMANDACOX,0.0089742652025804
34DHXMANDACOX_NADP_,-0.0204825131475621
34HPLFM,0.00133818858270646
3DPHBH1,7.26253608050516e-05
3DPHBH2,9.5547971555887e-05
3DSPHR,0.00251667528518304
3MOBt2im,0.0178217530353228
3MOX4HOXPGALDOX,0.0146464695406321
3MOX4HOXPGALDOX_NADP_,-0.00845527808703342
3SALAASPm,-0.0191759086129153
3SALATAi,0.00171433227828334
3SALATAim,0.00178683866592772
3SPYRSP,0.00171433227828334
3SPYRSPm,0.00178683866592772
41R1H2MAE12BOOX,0.00230055264577977
4HBZCOAFm,0.00378883472753265
4HBZFm,0.00378883472753265
4HGLSDm,0.00445470955035517
4HOXPACDOX_NADP_,0.00141145678444459
4MPTNLte,0.00199255041834116
4MPTNLtm,-0.00199255041834116
5AOPtm,-0.00247396008507903
5MTHFt,0.0197365781649968
5MTHFt2,-0.044294523083137
7DHCHSTEROLtr,-0.0195305520038356
A4GALTc,0.00185104389235369
AACTOOR,0.0042945951221788
AACTtm,0.0330381182264105
ABUTt4_2_r,-0.0315827949016189
ACACT10m,-0.00163245562136621
ACACT1rm,0.0419386358222867
ACACT1x,0.00754675443328038
ACACT7p,0.00123055597259918
ACACT8p,-0
ACACT9p,0.000649886995064885
ACALDtm,-0.00509066535660138
ACETONEt2,0.00152368520689115
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000829788216341326
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000590646964544197
ACGALK,0.00391958893617864
ACGALK2,0.00235788405759956
ACGALtly,0.0155302162233215
ACGAM6PSi,0.0190587734348021
ACGAMK,0.0102275582407134
ACGAMPM,0.0227558084641501
ACGAMtly,0.00539967815156642
