Reaction,Flux_Normalized
10FTHFtm,0.0114365268392933
13DAMPPOX,0.00198606515180229
24_25DHVITD3t,0.00091368804106436
25HVITD3t,0.00232539186114323
25HVITD3tm,0.00323907990220759
2HBO,0.0120109974257073
34DHOXPEGOX,-0.0157609125081281
34DHOXPEGt,-0.0157609125081281
34DHXMANDACOX_NADP_,0.0157609125081281
34HPLFM,0.00968365779149456
3AIBTm,0.00823600022035428
3AIBtmi,0.00823600022035428
3DPHBH1,0.000350250801312732
3DPHBH2,0.00024946693148334
3DSPHR,0.00286105504685506
3HBCDm,0.0516112801538794
3HBCOAHLm,0.00185431622543186
3MOBt2im,0.0134286489845268
3MOPt2im,0.0264733005259056
3MOX4HOXPGALDOX,0.0185846322047947
3MOX4HOXPGALDOX_NADP_,-0.0130025250110144
3SALAASPm,-0.00944497057880932
3SALATAim,0.00188051030568642
3SPYRSPm,0.00188051030568642
4HBZCOAFm,0.000254327406727113
4HBZFm,0.000254327406727113
4HOXPACDOX_NADP_,-0.0147361492351816
4MPTNLte,0.0023517573728715
4MPTNLtm,-0.0023517573728715
5AOPtm,0.0503296471940615
5MTHFt,-0.016720493610145
5THFtm,0.000777579945900338
7DHCHSTEROLtr,-0.0128157406542333
7THFtm,0.00100344739331537
A4GALTc,0.00242468430514497
AACTOOR,0.0112390693888224
AACTtm,0.0112390693888224
ABUTt4_2_r,-0.0266983953376269
ACACT10m,-0.00247212623755177
ACACT1rm,0.057499355579365
ACACT1x,0.0125719784521766
ACACT8p,-0
ACACT9p,-0
ACALDtm,-0.00435912244322675
ACCOAtr,-0.00370460368412537
ACETONEt2,0.00117051828216159
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000382093800858764
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000271518591538595
ACGALK,0.00286456385298651
ACGALK2,0
ACGALtly,0.016167157455426
ACGAM6PSi,0.025165552898927
ACGAMK,0.00489746957370057
ACGAMPM,0.0215695736842659
ACGAMtly,0.000391697116695337
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000451306209555648
ACNAMlt,-0.0102039244141356
ACNAMtn,0.00784855512255541
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000553959520975858
ACOAD8m,0.000175381831172625
ACOAD9m,0.00185431622543194
ACONTm,-9.67945463842944e-05
ACRNtm,-0.0520158468995877
ACS2,0.00285951918739489
ACt2m,-0.0176052636347682
ACTNMO,0.00117051828216159
ADCim,0.00585862366033991
ADEt,-0.0114888314302872
ADHAPtx,0.00136527735362005
ADK1m,-0.00780442146131021
ADK3,-0.0563262567375797
ADK3m,-0.00160114367548386
ADKd,-0.000669501866171972
ADMDC,0.00402603058332969
ADNt,0.0102642348677159
ADPMAN,0.00376171894580898
ADPtx,-0.00817727015792014
ADRNCOAtx,0.000418722961017103
ADRNCPT1,0.00262009097908187
ADRNCPT2,0.00262009097908264
ADRNCRNt,0.00241924700906857
ADRNt,0.00705442055164331
ADSK,0.00830763754700562
AGLPC,0.00136527735362005
AGLPH,0.00136527735362005
AGPAT1,0.00778890289218012
AHCYStr,0.000384942003816597
