Reaction,Flux_Normalized
1MNCAMti,0.000613859548714177
25HVITD3t,0.00113633437969982
25HVITD3tm,0.00113633437969982
2DR1PP,0.00933475864736414
2HBO,-0.00656971082525417
34DHOXPEGOX,0.00895907657909576
34DHOXPEGt,0.00895907657909576
34DHPHAMT,0.00349679480642163
34DHPLACOX_NADP_,0.00349679480642163
34DHXMANDACOX,0.00801475832866211
34DHXMANDACOX_NADP_,-0.0153924975551108
34HPLFM,9.79962436639299e-05
3DPHBH1,0.000115360569073426
3DPHBH2,0.000147809713479675
3M4HDXPAC,0.00174037153995726
3MOBt2im,0.0122593087134757
3MOX4HOXPGALDOX,0.0137209252003522
3MOX4HOXPGALDOX_NADP_,-0.0106336504532917
3MOXTYROX,0.00174037153995726
3SALAASPm,-0.0108711535456671
3SALAOX,0.000646677767224015
3SALATAi,0.00173554055275079
3SALATAim,0.00124777383073714
3SPYRSP,0.00173554055275079
3SPYRSPm,0.00124777383073714
41R2A1H12BOOX,0.00158133735264782
42A12BOOX,0.00349679480642163
4HBZCOAFm,9.79962436639299e-05
4HBZFm,9.79962436639299e-05
4HGLSDm,0.0293394513606213
4HOXPACDOX_NADP_,0.00154201451660957
4MPTNLte,0.00221468259952206
4MPTNLtm,-0.00221468259952206
5AOPtm,-0.00187199507249077
5MTHFt,-0.0395255546446084
7THFtm,0.000426635859044079
A_MANASEly,0.000531766251991933
A4GALTc,0.00238318130966317
ABUTt4_2_r,-0.0227015422144059
ACACT10m,-0.00191420771756155
ACACT1rm,0.035446247674877
ACACT1x,0.0124827954414995
ACACt2m,-0.0217585988607144
ACACT7p,0.00121826349391484
ACACT8p,-0
ACACT9p,0.00128603390483128
ACACtx,-0.015931728426549
ACALDtm,-0.00312791739882718
ACCOACm,0.0472273560002616
ACETONEt2,0.00123322387930171
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000554551463243096
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000369031259068717
ACGALK,0.0050863970156189
ACGALK2,0.00369310075358565
ACGALtly,0.0181806642558859
ACGAM6PSi,0.016340845618066
ACGAMK,0.0112115284918529
ACGAMPM,0.0201787899734564
ACGAMtly,0.00736821018288321
ACITL,0.00138430528627325
