Reaction,Flux_Normalized
10FTHFtm,0.00911667835638177
25VITD3Hm,0.00104044034932456
2DR1PP,0.00870659424116545
2HBO,0.00304876904296137
34DHOXPEGOX,-0.00633549938333956
34DHOXPEGt,-0.00633549938333956
34DHPHAMT,0.0127056892447507
34DHPLACOX_NADP_,0.0018163182158809
34DHXMANDACOX,0.00633549938333956
34HPLFM,0.0109774797475103
3AIBTm,0.0149477071762544
3AIBtmi,0.0149477071762544
3DPHBH1,0.0001623047730226
3DPHBH2,0.000116662997007518
3DSPHR,0.0032766592850509
3HBCOAHLm,0.0159519234238004
3MOBt2im,0.0201000298281303
3MOX4HOXPGALDOX,0.0148182468406722
3MOX4HOXPGALDOX_NADP_,-0.00724266619883137
3SALAASPm,-0.0132786135901596
3SALATAi,0.00199143265561258
3SALATAim,0.00185580301713499
3SPYRSP,0.00199143265561258
3SPYRSPm,0.00185580301713499
42A12BOOX,0.0018163182158809
4ABUTtm,-0.0243664229913017
4HBZCOAFm,0.000138205739200573
4HBZFm,0.000138205739200573
4HOXPACDOX_NADP_,0.00180939676086273
4MOPt2im,0.0378946374333241
4MPTNLte,0.00185553310689957
4MPTNLtm,-0.00185553310689957
5ADTSTSTERONEte,-0.0194701917838343
5ADTSTSTERONEtr,0.0194701917838343
5AOPtm,0.0481702310690339
5MTHFt,-0.0226308078632992
6THFtm,0.000279617772361612
7DHCHSTEROLtr,-0.025495087193411
A4GALTc,0.00271123470638834
A4GALTg,0.000751909308290669
AACTtm,0.0503259404526003
ABTArm,-0.0243664229913017
ABUTt4_2_r,-0.0305320102896507
ACACT1rm,0.0480423009534989
ACACT1x,0.00780878228034652
ACACt2m,-0.0165351060588239
ACACT8p,-0
ACACT9p,0.00115128235528661
ACALDtm,-0.00628502260488442
ACCOACm,0.0142833975011347
ACCOAtn,0
ACCOAtr,-0.00275584971303413
ACETONEt2,0.00147020409970192
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000990156745690928
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000638506534117471
ACGALK,0.0141082336253436
ACGALK2,0.00604582925525832
ACGALtlg,-0.000751909308290669
ACGALtly,0.00721542298847962
ACGAM6PSi,0.0172855055865776
ACGAMK,0.00436211239801413
ACGAMPM,0.0083751655850991
