Reaction,Flux_Normalized
10FTHF5GLUtl,0.00500022669911064
10FTHF5GLUtm,0.00500022669911064
10FTHFtl,-0.00500022669911064
34DHPLACOX,0.0109571349851839
3DSPHR,0.00037336126078881
3MOX4HOXPGALDOX,0.00503336397228936
3SALAASPm,-0.0226710484200143
42A12BOOX,0.0109571349851839
4HOXPACDOX_NADP_,-0
4MPTNLte,0.000999116011994896
4MPTNLtm,-0.000999116011994896
7DHCHSTEROLtr,-0.0140194803584986
A4GALTc,0.00296828573911068
AACTOOR,0.00500022669911255
AACTtm,0.00500022669911255
ACACT8p,0.00062874671556142
ACACT9p,0.00062874671556142
ACCOAtr,-0.00598030886400962
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.00054777015841782
ACGALK,0.0112092087340832
ACGALtly,0.00328385826844795
ACGAMK,0.00489537665961723
ACGAMPM,0.00208808805069709
ACNAMlt,-0.00326586078335125
ACNAMtn,0
ACOAD1fm,0.00403533846112023
ADA,0.00181591572440496
ADEt,-0.000585128751585527
ADHAPtx,0.00062874671556142
ADK1m,0.00115728965581714
ADK3,-0.105778670856733
ADK3m,0.000765325440651393
ADMDC,0.000585128751585527
ADPtx,-0.00041673029378524
ADRNCPT1,0.000166241070516738
ADRNCPT2,0.000166241070516738
ADRNt,0.0238670017109573
ADSK,0.00324791630408741
AGLPC,0.00062874671556142
AGLPH,0.00062874671556142
AKGDm,0.0127890744932349
AKGMALtm,0.0306752783272547
AKR1C41,0.00333294145157503
AKR1D,0.00333294145157503
ALADGLYexR,0.0441976417685597
ALATA_L,-0.00699129733410717
ALCD22_D,0.0211035987406067
ALDD2y,0.016050868101659
ALDSTRNte,0.000616558735026435
ALDSTRNtm,-0.000616558735026435
ALOX5,0.00140300179723313
ALOX52,0.000873125965260641
AMPtp,0.000416730293784663
ANDRSTRNte,-0.0399103454846912
AOBUTDsm,0.00500022669911255
ARACHCRNt,-0
ARGLYSex,0.0310290420419395
ARSA,0.00106326100496747
R_group_phosphotase_1,0.00360260548956644
R_group_phosphotase_2,0.000445368291453728
ARTFR11,0.0811649965748878
ARTFR12,0.00360533922903228
ARTFR41,0.00335359109865791
ARTPLM1,0.0630793273481464
ARTPLM2,0.000445368291453728
ARTPLM3,0.015803760975736
ASNNm,0.0126052716830839
ASNtm,0.0126052716830839
ASPTAm,-0.00873647273773806
ATP1ter,0.000345559925054958
ATPH2e,0.0085541458164122
BHMT,0.000722498337354464
BILGLCURt,0.000345559925054958
BILGLCURtr,0.000345559925054958
