Reaction,Flux_Normalized
10FTHFtm,0.0091035098943758
1MNCAMti,0.000667676781236157
25HVITD3t,0.00561100461855178
25HVITD3tm,0.00412459514323602
25VITD3Hm,0.000957621218375945
2DR1PP,0.0135071155299297
2HBO,-0.00466690219572813
34DHOXPEGOX,0.00104495824636014
34DHOXPEGt,0.00104495824636014
34DHXMANDACOX,0.0136058240210876
34DHXMANDACOX_NADP_,-0.01204071381757
34HPLFM,0.00585061015253811
3AIBTm,0.0242496037113748
3AIBtmi,0.0242496037113748
3DPHBH1,0.000177454712847102
3DPHBH2,0.000179752261024349
3HBCOAHLm,0.00443518404742518
3MOX4HOXPGALDOX,-0
3MOX4HOXPGALDOX_NADP_,0.00260990541923476
3SALAASPm,-0.0104858161203135
3SALATAim,0.00193362471115248
3SPYRSPm,0.00193362471115248
41R1H2MAE12BOOX,0.00136927025174685
41R2A1H12BOOX,0.00124079833900741
4HBZCOAFm,0.000194938389991013
4HBZFm,0.000194938389991013
4HGLSDm,0.0230066981725516
4HOXPACDOX_NADP_,0
4MPTNLte,0.00131421386341574
4MPTNLtm,-0.00131421386341574
5AOPtm,-0.00168331766790234
5MTHFt,-0.0138976215805871
5MTHFt2,-0.0137286953469649
6HTSTSTERONEte,0.00127145541936055
6HTSTSTERONEtr,-0.00127145541936055
7DHCHSTEROLtr,-0.021512555715553
A_MANASEly,0.00141967151717832
A4GALTc,0.00193122162514301
AACTOOR,0.00152539995975818
AACTtm,0.00152539995975818
ABTD,0.0199427299922015
ABUTt4_2_r,-0.0283022198433043
ACACT10m,-0.00311607109261973
ACACT1rm,0.0484536946775331
ACACt2m,-0.0160929941704893
ACACT7p,0.000916656925940771
ACACT8p,-0
ACACT9p,0.000849329457797734
ACACtx,-0.0106076154325105
ACCOACm,0.0219476559047147
ACCOAtn,0
ACCOAtr,-0.00985430388078838
ACETONEt2,0.00128053255846341
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000726914496267639
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.00045147408729983
ACGALK,0.00273821418013972
ACGALK2,0.00186145436721901
ACGALtly,0.0121879187976835
ACGAM6PSi,0.0348919557329962
ACGAMK,0.0020164066446316
ACGAMPM,0.0278909301612439
ACGAMtly,0.0146354578134917
ACHtn,-0
ACITL,0.00137587926193299
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000474281148955821
ACNAMlt,-0.00677023679129479
ACNAMtn,0.00542064442733426
ACNMLr,-0.0154061121296569
ACOAD1fm,0.00366167806947656
ACOAD8m,0.0123440083814647
ACOAD9m,0.00223882011209731
ACONTm,-0.0210618196555643
ACRNtm,-0.0211557995572234
ACt2m,-0.0334008634299201
ACt2r,-0.00453927932909728
ACTNMO,0.00128053255846341
ADA,0.0066442569286925
ADAe,0.00551362643879171
ADCim,0.00397471700916818
ADEt,0.0118145541484836
ADHAPtx,0.0151090245639448
ADK1m,-0.0101052843254668
ADK3m,-0.0118055031229005
ADMDC,0.00466707148282511
ADNt,0.00732878668151775
ADNtl,0.00214225182582264
ADNtm,-0.00127638634988892
ADPMAN,0.00175849355328697
ADPtx,-0.00389405582738939
ADRNCOAtx,0.0025486160524893
ADRNCPT1,0.00264295822443391
ADRNCPT2,0.00264295836454832
ADRNCRNt,0.00106057014403036
ADRNt,0.0125397096993426
ADSK,0.00868961433044049
ADSL1,0.000872882697812336
AGLPC,0.00110776745156635
AGLPH,0.00110776745156635
AGPAT1,0.00409625391151304
AGTim,0.0143641252310177
AHCYStr,0.00325165735487651
AHEXASE2ly,0.000503021202987489
AHEXASEly,0.000916650321802487
AKGDm,0.0470332492368112
AKGMALtm,0.00990658815437945
AKGt4_3,-0.0313558532574235
AKGtp,0.00492454737216607
AKR1C41,0.031496216983107
AKR1C42,0.000799090704349297
AKR1D,0.0035262903078448
AKR1D2,0.000799090704349297
ALAGLYexR,-0.00421352469208222
ALASm,0.00168331766790234
ALAt4,0.0190071008207056
ALATA_L,-0.030812108621721
ALCD21_D,0.0376182824711442
ALCD21_L,0.00424654677358473
ALCD22_D,0.0400685640140719
ALDD20xm,0.00108650112113697
ALDD21,0.0194876337928789
ALDD2y,0.0171745252974262
ALDSTRNte,0.00073863055190093
ALDSTRNtm,-0.00073863055190093
ALOX12,0.00104165454927241
ALOX5,0.00175906778922073
ALOX52,0.0291156545001451
ALR2,0.0029660141500356
ALR3,0.00424654677358473
AMACR2p,0.00888598289536375
AMETr,-0.00325165735487651
AMETt2m,0.0010716210543146
AMPDA,0.00379115978002208
AMPtp,-0.00340559157977269
ANDRSTRNGLCte,0.00143173685463903
ANDRSTRNGLCtr,-0.00143173685463903
ANDRSTRNtr,-0.00112299339921355
AOBUTDsm,0.00152539995975818
APAT2rm,-0.00200397469302245
ARAB_Lt,0.0199427299922015
ARABR,0.0199427299922015
ARACHCOAtx,0.00751019779135591
ARACHCPT1,0.00567908953283369
ARACHCPT2,0.00567908960286548
ARACHCRNt,0.00269849332161476
ARACHDCOAtx,0.0140273001697591
ARACHDt2,-0.00634418972805718
ARACHDtr,0.00745024087173481
ARACHt,0.013269739620601
ARGSS,0.0013241576621906
ARGt4,0.0178566236781001
ARSA,0.000564089108955028
R_group_phosphotase_1,0.00415680470925908
R_group_phosphotase_2,0.0166876654666064
R_group_phosphotase_3,0.00414207911400767
ARTFR11,0.0085763573734
ARTFR12,0.00722217944012959
ARTFR31,0.0042824484421048
ARTFR41,0.00227093464744747
ARTFR42,0.0149375030070498
ARTFR43,0.00206987655795137
ARTFR44,0.0240813318616576
ARTFR61,0.0256770587725568
ARTPLM1,0.0526103312491026
ARTPLM2,0.00545098566961069
ARTPLM2m,0.00714042588700482
ARTPLM3,0.00414207911400767
ASAH1,0.00653520319840145
ASCBt,0.00667488598956735
ASCBt4,-0.0129718461453174
ASNNm,0.00939234772164473
ASNt4,0.0187250815768588
ASNtm,0.00939234772164473
Asn_X_Ser_Thrtr,-0.000503021202987489
ASPCTr,0.00510076677067735
ASPGLUm,0.00799203230539815
ASPNATm,0.00963010344702731
ASPTAm,-0.0187156041503331
ATP1ter,0.0020422887084609
ATP2ter,0.0221599181534592
ATPasel,0.000962570908214741
ATPH2e,0.0176277904869435
ATPtm,0.0519530012836162
ATPtx,0.00729964719754772
B_MANNASEly,0.00141967151717832
B3GNT39g,0.000753485633664233
BAAT2x,0.0139712303460113
BAAT3x,0.00786214560981687
BALAtmr,-0.00200397469302245
BDHm,-0.00733315058542329
BDMT_L,0.000503021202987489
BHBtm,-0.00733315058542329
BHMT,0.0113819589207735
BILDGLCURtr,0.0287682362090971
BILGLCURte,0.00108385381668104
BILGLCURtr,-0.0235422596635893
BILIRED,0.00241146693786136
BILIRUBtr,-0.00397727713724078
BUTt2m,0.00294490067184332
C160CPT1,0.0429517535937427
C160CPT2,0.0188143314650642
C161CPT1,0.00224233164951462
C161CPT12,-0.0210579705829889
C161CPT2,0.0203033183994883
C161CPT22,-0.0164435155955593
C161CRN2t,-0.00891997294376119
C161CRNt,0.0203033183994883
C180CPT1,0.015935672358994
C180CPT2,-0.00152459351212066
C180CRNt,-0.000935099203153523
C181CPT1,0.0277147868359382
C181CPT2,0.00449747621707197
C181CRNt,0.0021943300252142
C204CPT1,-0.0155712690530307
C204CPT2,0.00191808662686135
C204CRNt,0.000781079839300382
C226COAtx,0.00292071696387672
C226CPT1,0.0043374037855662
C226CPT2,0.00433740385638616
C226CRNt,0.00238558414984286
CATm,0.0497298822133948
CATp,0.0488318893556675
CBR2,0.0193734059851085
CDIPTr,-0.000543424877837185
CDS,0.000592665643687314
CDSm,0.00157269003502536
CEPTC,0.00740567152811595
CEPTE,0.00183660564100189
CERK,0.00135266915108302
CERT2gt,0.0228139021206613
CERT2rt,0.00326155188711345
CGLYt3_2_,0.0174512717348735
CH25H,0.00168003355820789
CHAT,0.00205950337763587
CHATn,0
CHLPCTD,0.00119445559149903
CHOLATEt2,0.0269446830950516
CHOLK,0.00561539369405326
CHOLtn,0
CHOLtr,0.0177856027690746
CHOLtu,0.00735594597052046
CHSTEROLSULT,0.000492171278047471
CHSTEROLt1,-0.00579459709728934
CHSTEROLt2,0.00866500647357804
CHSTEROLt3,0.0012795602813557
CHSTEROLtg,0
CHTNASE,0.000929020298212339
CITtam,-0.00826937702198742
CITtbm,0.0299256140855523
CLOXAtex2,0.00154011193681192
CLPNDCPT1,0.000237839321196379
CLPNDCPT2,0.000237839392015253
CLPNDCRNt,-0.00029445412375753
CLPNDt,0.000272439280034658
CLS_hs,7.72355397301613e-06
CMPACNAtn,0.00542064442733426
CMPSAS,0.00746054735659779
CMPSASn,0.00542064442733426
CO2ter,-0.0083658014234605
CO2tm,0.0216860555877472
CO2tp,-0.00414376673402431
COAtm,-0.0294884991335941
COAtn,0
COAtp,-0.0285274051136075
COAtr,-0.0196059024884907
COt,0.00174563749752378
COUCOAFm,0.000194938389991013
CRNCAR3tp,0.0153949155731184
CRNCARtp,0.0241305991567975
CRNt,-0.0520216089405706
CRNtim,0.0183625423708884
CRNtx,-0.00875993447422251
CRTSTRNt,0.00073863055190093
CRTSTRNtm,0.00073863055190093
CRVNCtr,-0.00466578306460175
CSm,0.00754990988238061
CSNAT2m,0.00836579433410747
CSNAT2x,-0.0212152472341744
CSNAT3x,0.0296279642259999
CSNATer,-0.00985430388078838
CSNATm,-0.041816602026171
CSNATp,0.0303514514292981
CSNATr,-0.00904087690101327
CSPG_At,0.000978733051008546
CTPtn,0.00542064435651504
CYSGLTH,0.00423039233053655
CYSGLUexR,-0.00252302807776916
CYSO,0.00193362471115248
CYSt4,0.0194683683426858
CYSTA,0.014540655829923
CYStec,0.00477763201658021
CYTD,0.0052370056855892
CYTDt,-0.012240722642758
CYTDt4,0.0164262865682506
CYTK10,0.0071326183514252
CYTK10n,-0.00164279567853388
CYTK11,0.0128724475735271
CYTK12,-0.0199279530732127
CYTK12n,0.00427222095914616
CYTK13,0.0105973732186743
CYTK13n,0.00124777792815995
CYTK14,0.000804854008880158
CYTK1m,0.00157269003502536
CYTK2n,-0.0207396857474579
CYTK3n,-0.000211969026827488
CYTK4n,0
CYTK5,0.0138779407391756
CYTK6,0.00874180313908794
CYTK7,-0.0058546394991898
CYTK7n,0.00036206015091387
CYTK8,0.00478662003605836
CYTK8n,-0.000848374741880194
CYTK9,-0.0233277689228706
CYTK9n,0.00212910998926979
D_3AIBt,0.0156082011228253
D3AIBTm,-0.00328352812977331
DADA,0.00569175190117078
DADNK,0.0015017113058122
DADNt4,0.0130246652566451
DAGK_hs,-0.0373392552906108
DAGKn_hs,0.0108827396730007
DAGt,-0.035901398483515
DASCBR,0.0150796386797666
DCIm,-0.00365555352685181
DCK1m,0.00845159863078773
DCK1n,-0.0095997830099593
DCK2n,-0.0058318726660867
DCSPTN1COAtx,-0.000613740742967911
DCSPTN1CPT1,0.0028879302559434
DCSPTN1CPT2,0.00288793039605907
DCSPTN1CRNt,0.00118041007353212
DCSPTN1t,0.00211581176787455
DCTPtn,0.0154316554658698
DCYTD,0.0074569314013929
DCYTt,-0.00384778688064478
DDPGAm,0.0138882169017925
DECDPtm,0.000357206973871451
DESAT18_10,0.00119259486751883
DESAT18_5,0.00141615483108701
DESAT18_6,0.00258698856901344
DESAT18_7,0.0011506392633833
DESAT18_8,0.00229299302880683
DESAT18_9,0.00124904084536992
DESAT22_1p,0.00113597027219027
DESAT24_1,0.00107746229910505
DGCHOLte,-0.0124852518409871
DGCHOLtx,0.00786214560981687
DGNSKm,0.00258077538462786
DGSNt,-0.00722957871087749
DGSNtm,0.00258077538462786
DGULND,-0.0404844127997637
DHAAt1r,0.00629696008569238
DHAPA,0.0151090245639448
DHCHOLESTANATEtm,0.00171879192627904
DHCR241r,0.0276809401838956
DHCR242r,0.0111854720640398
DHCR71r,0.00286671410793451
DHCR72r,0.021512555715553
DHCRD1,0.0206661710154218
DHCRD2,0.00993193129926008
DHDPBMTm,0.000357207018104867
DHEASt,-0.00598270259978178
DHEAtr,-0.0145887531408489
DHFtm,0.00532509248080384
DHORD9,0.00335709955240394
DHPR2,0.00133579640683574
DIDPtn,0.0152429366395058
DINt,-0.00198220506435933
DITPtn,-0.0152429366395058
D_LACt2,-0.0281402387957729
D_LACtm,-0.0228394480650555
DLNLCGCPT1,-0.00176727721292187
DLNLCGCPT2,0.00247324231069826
DLNLCGCRNt,0.000694373549968333
DLNLCGt,0.00265973747348735
DMNONCOACRNCPT1,0.0212152472341744
DMNONCRNt,0.00411500738915308
DNDPt12m,0.0129693310134147
DNDPt17m,0.000716915547252474
DNDPt22m,-0
DNDPt26m,-0
DNDPt28m,-0
DNDPt30m,0.00734879524712499
DNDPt34m,-0
DNDPt41m,0.00663187969987252
DOLASNT_Ler,0.000503021202987489
DOLDPP_Ler,0.000503021202987489
DOLICHOL_Lter,0.000135528005988145
DOLMANP_Lter,0.00201208481194996
DOLPGT1_Ler,0.000503021202987489
DOLPGT2_Ler,0.000503021202987489
DOLPGT3_Ler,0.000135528005988145
DOPABMO,0.00166288245818233
DOPAQNISO1,0.000967301826184512
DOPAt4_2_r,-0.0212985157064907
DOPAtu,0.0125656392234056
DPHMBDCm,0.000357207018104867
DPMVDx,0.00499475900965902
DPPS,0.000357206973871451
DRIBt,-0.0122476577716206
DRPA,0.0555001934224225
DSAT,0.0107404694242694
DUDPtn,0.00261145739230836
DUMPtn,-0.00137710603844903
DURAD,-0.0200080818881145
DURAD2,0.0338406447289829
DURIK1,0.018519217756358
DURIt,-0.0213333387830691
DUTPDPm,0.000974283391790949
DUTPDPn,0.00137710603844903
ECOAH12m,0.00443518404742518
ECOAH1x,-0.00114903011000229
EHGLATm,0.0138882169017925
EICOSTETCPT1,0.000258969670693877
EICOSTETCPT2,0.000258969741554433
EICOSTETCRNt,-0.000454558813506193
EICOSTETt,8.08387611779586e-05
ELAIDCPT1,0.00910913135113415
ELAIDCPT2,0.00166965164204158
ELAIDCRNt,0.000776360427251132
ELAIDt,-0.0453957511280786
ENGASE2ly,0.000503021202987489
ENGASEly,0.000916650321802487
ESTRADIOLGLCt2,0.000521505832472267
ESTRADIOLGLCtr,-0.000521505832472267
ESTRADIOLt,-0.00722677134825302
ESTRADIOLtr,0.0345195409817057
ESTRIOLtr,-0
ESTRONESt,-0.0094119419335753
ESTRONEtr,-0.0259402017155582
ESTSULT,0.000865794490489263
ETHAK,0.00320433867361455
EX_13_cis_retnglc[e],0.0228928959595471
EX_25hvitd3[e],0.00561100461855178
EX_2hb[e],0.00466690212567041
EX_34dhoxpeg[e],0.00104495824636014
EX_34dhphe[e],-0.0219057021087472
EX_3aib[e],0.0242496037113748
EX_3aib_D[e],0.0156082011228253
EX_4mptnl[e],0.00131421386341574
EX_4nph[e],-0.0143391353315345
EX_5mthf[e],0.0243605937440588
EX_5thf[e],-0.0141675091046458
EX_6htststerone[e],0.00127145541936055
EX_acetone[e],0.0026941843833354
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],0.000726914496267639
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],0.00045147408729983
EX_ach[e],-0.00735348622658333
EX_acnacngal14acglcgalgluside_hs[e],0.000474281148955821
EX_adp[e],-0.00374736854244524
EX_adrn[e],-0.00508555101532751
EX_adrnl[e],-0.0170712539969056
EX_ak2lgchol_hs[e],0.00057602270380359
EX_ala_B[e],0.00440434036939568
EX_aldstrn[e],0.00073863055190093
EX_amp[e],0.00361633934943619
EX_andrstrnglc[e],0.00143173685463903
EX_arach[e],-0.0150380322169213
EX_arachd[e],-0.00273996673438829
EX_ascb_L[e],0.00305753310240541
EX_atp[e],0.0225673389958205
EX_bhb[e],0.00733315044530782
EX_bildglcur[e],-0.0287682362090971
EX_bilglcur[e],0.0379227521276941
EX_bilirub[e],-0.00383859992178706
EX_chol[e],-0.00735594597052046
EX_cholate[e],-0.0269446830950516
EX_chsterol[e],-0.0136775888548235
EX_chtn[e],-0.000929020298212339
EX_clpnd[e],-0.000225678785751371
EX_cmp[e],0.02524206965633
EX_co[e],0.00174563749752378
EX_crn[e],0.0520216089405706
EX_crtstrn[e],-0.00073863055190093
EX_crvnc[e],-0.00567055239204803
EX_cspg_a[e],0.000978733051008546
EX_dag_hs[e],0.0396091017425775
EX_dcsptn1[e],-0.00115786862083749
EX_dgchol[e],0.00213210603290363
EX_dhdascb[e],-0.00305753310240539
EX_dheas[e],-0.0207041364567903
EX_dlnlcg[e],-0.00261949170307086
EX_dopa[e],-0.023130335494401
EX_eicostet[e],-8.65723157292864e-05
EX_elaid[e],0.0453969890142145
EX_estradiol[e],0.00722677134825302
EX_estradiolglc[e],0.000521505832472267
EX_estrones[e],-0.010924563243158
EX_fucacgalfucgalacglcgalgluside_hs[e],0.000599660679415291
EX_fucacngal14acglcgalgluside_hs[e],0.000607733559507649
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e],0.000400579279927395
EX_fucfucfucgalacglcgal14acglcgalgluside_hs[e],0.000599159319965509
EX_fucgalfucgalacglcgalgluside_hs[e],0.0011942638813957
EX_gbside_hs[e],-0.0106471624721288
EX_gchola[e],-0.023314616969771
EX_gdp[e],-0.00367146220164517
EX_gq1b_hs[e],-0.0032928412090112
EX_gq1balpha_hs[e],0.00130965161195879
EX_gthrd[e],0.0206790177725722
EX_h2o2[e],-0.0399518745262289
EX_ha[e],0.000171244051119796
EX_ha_pre1[e],-0.00142234033157852
EX_hco3[e],0.0467504537169807
EX_hdca[e],0.0152658682525221
EX_hdcea[e],-0.00874785915210033
EX_hestratriol[e],0.00268951242577828
EX_hexc[e],0.0113734777659865
EX_hista[e],-0.0156530230911201
EX_hom_L[e],-0.00107977785012023
EX_hpdca[e],-0.00149833593361947
EX_idp[e],-0.015962101046248
EX_imp[e],0.0238821549439321
EX_inost[e],-0.00122586482068152
EX_lac_D[e],0.0281402387957729
EX_leuktrA4[e],-0.00763856544405902
EX_leuktrB4[e],-0.0197605045835921
EX_leuktrC4[e],0.00347451307886158
EX_leuktrD4[e],0.0105074534126212
EX_leuktrE4[e],0.00233017875457543
EX_leuktrF4[e],0.00263832399594942
EX_lgnc[e],-0.0108069488885261
EX_lneldc[e],0.0209355838135547
EX_lnlc[e],0.0318576705807686
EX_lnlnca[e],-0.00701665967188887
EX_lnlncg[e],0.00758380859553711
EX_lpchol_hs[e],0.0124811046015366
EX_mag_hs[e],0.0138687953626824
EX_mthgxl[e],0.0105448261868053
EX_n2m2nmasn[e],-0.000503021202987489
EX_ncam[e],0.00194216410087242
EX_no[e],0.00162365367979829
EX_nrpphr[e],-0.0122042910081153
EX_nrvnc[e],-0.000633020147658958
EX_o2s[e],-0.0523044069688469
EX_oagt3_hs[e],0.00160414411487779
EX_ocdca[e],-0.0464214831658965
EX_ocdcea[e],-0.0422509228250416
EX_octa[e],-0.00882732663684936
EX_oxa[e],0.00154011193681192
EX_paf_hs[e],0.000531744747815122
EX_pchol_hs[e],-0.0226168889951811
EX_pe_hs[e],-0.0106385478326491
EX_peplys[e],-0.00806014248380191
EX_pglyc_hs[e],0.00267556138149652
EX_pheacgln[e],0.00154556100016178
EX_prgstrn[e],-0.0010163698103096
EX_prostgd2[e],0.0019394707789187
EX_prostge1[e],-0.0109296601885432
EX_prostge2[e],-0.016535131879
EX_prostgf2[e],-0.0183024792394428
EX_ps_hs[e],-0.0173377955346365
EX_ptdca[e],0.0013204062349043
EX_retfa[e],-0.0130147992808656
EX_retinol[e],-0.00899598791552674
EX_retn[e],0.00775477077453988
EX_retnglc[e],0.00925611323079127
EX_Rtotal[e],0.0465338583843559
EX_Rtotal2[e],0.0116753582314221
EX_sphs1p[e],-0.00811520560105762
EX_strdnc[e],-0.00563986612366867
EX_tag_hs[e],0
EX_tagat_D[e],-0.00606259727908235
EX_tchola[e],-0.00490533045394492
EX_tdchola[e],-0.0140052510649843
EX_tethex3[e],-0.00397769733925732
EX_tetpent3[e],-0.00107640564688753
EX_tetpent6[e],0.00112747588941996
EX_tettet6[e],-0.00112536258650812
EX_thmmp[e],-0.00171481792857874
EX_thym[e],0.0201576513685127
EX_tmndnc[e],0.00377364096199612
EX_tststerone[e],0.0183151106979953
EX_tsul[e],0.0106268159288224
EX_ttdca[e],-0.0039649184104967
EX_udp[e],-0.00777173016486407
EX_urate[e],0.00177686690594637
EX_utp[e],-0.0437012593623662
EX_vacc[e],-0.000398335281648106
EX_vitd3[e],-0.0153724484727447
EX_whddca[e],0.00165183357300656
EX_whhdca[e],0.00258408020251928
EX_xolest2_hs[e],0.0383581502620207
EX_xoltri24[e],0.000232215209740168
EX_xoltri27[e],-0.0171017271352698
EX_xylt[e],-0.0114875536760705
F1Atg,0.00134921149411466
FACOAL140i,0.00753077711418397
FACOAL150,0.000568285172513345
FACOAL160i,0.00424811931367566
FACOAL170,0.00399012009823425
FACOAL1812,-0.0178646835035337
FACOAL1813,-0.0300130783885598
FACOAL1821,-0.0422051421415526
FACOAL1822,-0.0194367702351784
FACOAL1831,-0.0194860397393906
FACOAL1832,0.0050081956819716
FACOAL184,-0.0226438487512662
FACOAL191,0.0194876337928789
FACOAL203,-0.00379489671528017
FACOAL204,-0.0188446419227234
FACOAL2042,0.00134749136594784
FACOAL205,-0.0152260564045051
FACOAL206,-0.0302375051569886
FACOAL224,0.00636513983662053
FACOAL2251,0.00241512081941532
FACOAL2252,0.00153574179409688
FACOAL226,0.00703222301010385
FACOAL240,0.0012398414239427
FACOAL241,0.00122614959288811
FACOAL244_1,0.00237107854049547
FACOAL245_1,0.000125114302730686
FACOAL245_2,0.00234022058742628
FACOAL246_1,0.00623355703001275
FACOAL260,-0.0101133373819787
FACOAL40im,0.00294490067184332
FACOAL80i,0.0111641161823536
FADH2tru,0.0388664122471742
FADtru,0.0388664122471742
FAH1,0.00165183357300656
FAH3,0.00133078527528794
FALDtly,0.00369805334992049
FAOXC161802m,0.000993027828705164
FAOXC180x,0.00300352604810046
FAOXC1811601m,0.00054930955256536
FAOXC182806m,0.000849820271018351
FAOXC2051843m,0.00858399240686785
FAOXC2242046m,0.00230417072930063
FAOXC2242046x,0.00141264571242597
FAOXC2252053m,0.00249111943802603
FAOXC226205m,0.00433740385638616
FAOXC226205x,0.00797693325369515
FAOXC246226x,0.00505621628981843
FAS100COA,0.000810531353361162
FAS120COA,0.00143261238993353
FAS140COA,0.00136072598858083
FAS80COA_L,0.00075179793943212
FATP1t,0.00956888398467064
FATP2t,-0.0152735919904504
FATP3t,-0.017573940996884
FATP6t,0.00741219798573909
FATP7t,-0.0104722941844547
FBA4,0.00243943120667603
FCLTm,0.0009589108179329
FE2t,0.00143384725466049
FE3R2e,0.00323942684393279
FORt2m,-0.00157004827803085
FRUt1r,-0.0407039132644041
FTHFDH,0.00344126482501012
FTHFLm,0.00157004827803085
FUCACGALFUCGALACGLCGALGLUSIDEte,-0.000599660679415291
FUCACNGAL14ACGLCGALGLUSIDEte,-0.000607733559507649
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte,-0.000400579279927395
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000599159319965509
FUCGALFUCGALACGLCGALGLUSIDEte,-0.0011942638813957
FUMm,-0.0340763611203652
FUMSO4tm,-0.00486513443867613
FUMtm,-0.0212535357805743
G13MT_L,0.000503021202987489
G5SADrm,0.0408009388595851
G5SDym,0.00148462626254499
G6PPer,0.0140268553948975
G6Pter,0.0140268553948975
GALASE19ly,0.00134921142923902
GALASE1ly,0.000916650321802487
GALC,0.00273219704243078
GALGLUSIDEtg,-0.000753485633664233
GALGLUSIDEtl,-0.0110500203876001
GALNACT1g,0.000978733051008546
GALNACT2g,0.000978733051008546
GALNTg,0.000370478378230472
GALSIDEtl,0.00273219704243078
GALt1r,-0.0287137233053739
GALT2g,0.000978733051008546
GALTg,0.000978733051008546
GALtly,0.0298036384161542
GAMt1r,0.000724835747058964
GAO2,0.00160414411487779
GASNASE2ly,0.000503021202987489
GBA,0.0117323566004156
GBAl,0.00380300615673183
GBSIDEte,-0.0106471624721288
GBSIDEtl,0.00476614278986263
GCHOLAte,0.0243095032552963
GDPtg,0
GGH_5THFe,0.0141675091046458
GGNG,0.000156900047392177
GGT_L,0.000135528004342282
GGT6,0.00755267642544054
GHMT3,0.000922757266466343
GLB1,0.0167557451820939
GLBRAN,0.00956942146240156
GLCAASE8ly,0.00125109621040105
GLCAASE9ly,0.00125109621040105
GLCAT2g,0.000978733051008546
