Reaction,Flux
3AIBTm,0
3AIBtmi,0
3MOX4HOXPGALDOX,0
3SALAASPm,0
3SALATAim,0
3SPYRSPm,0
5MTHFt,10000
5MTHFt2,-10000
A4GALTc,0
ACACt2m,589.815282978823
ACGALK,0
ACOAD8m,0
ACOAD9m,0
ACt2m,6364.55241612076
ADEt,0
ADK1m,9865.38220792115
ADK3,-10000
ADK3m,-9865.38220792115
ADNtm,0
ADSL1,0
AHCYStr,0
AKGDm,0
AKGMALtm,-10000
AKR1C42,0
ALAt4,10000
ALATA_L,-3734.38611644699
ALCD21_L,5675.79860057418
ALOX5,0
ALOX52,0
ALR2,5675.79860057418
ALR3,5675.79860057418
AMETr,0
AMPDA,0
ARACHDtr,0
ARGSS,0
R_group_phosphotase_1,0
R_group_phosphotase_2,0
R_group_phosphotase_3,0
ARTFR12,0
ARTPLM1,0
ARTPLM2,0
ARTPLM3,0
ASAH1,0
ASNNm,2382.78891529862
ASNS1,8419.05992464857
ASNtm,2382.78891529862
ASPCTr,-10000
ASPGLUm,0
ASPTAm,2382.78891529862
ATPH2e,0
ATPtm,0
BILGLCURtr,0
BILIRUBt2,0
BILIRUBtr,0
C161CPT1,0
C180CPT1,10000
CATm,4261.03423228067
CEPTC,0
CERT1rt,0
CERT2rt,0
CHLPCTD,0
CHOLATEt,-2503.75985947195
CHOLATEt2,10000
CHOLK,0
CHOLtu,-5139.67641868503
CHSTEROLt1,0
CHSTEROLt3,0
CITtbm,0
CLOXAtex2,0
CMPACNAtg,0
CMPSAS,0
COt,0
CRNt,5234.42216940275
CRNtHa,0
CYSO,0
CYTDt,0
CYTK10,10000
CYTK11,-10000
CYTK12,10000
CYTK13,-10000
CYTK14,10000
CYTK3,-134.61779207885
CYTK4,10000
CYTK5,-134.61779207885
CYTK7,-9865.38220792115
DADNK,0
DADNt4,0
DAGK_hs,-9729.32748984082
DAGt,-9729.32748984082
DASCBR,0
DCK1m,-5130.99609147416
DCYTt,-5130.99609147416
DESAT18_9,0
DOPABMO,0
DOPAMT,0
DOPAtu,-10000
DURAD2,0
EX_3aib[e],0
EX_5mthf[e],0
EX_amp[e],10000
EX_arachd[e],0
EX_ascb_L[e],-10000
EX_atp[e],10000
EX_bilirub[e],0
EX_chol[e],5139.67641868503
EX_cholate[e],-7496.24014052805
EX_chsterol[e],0
EX_co[e],0
EX_creat[e],-10000
EX_crn[e],-5234.42216940275
EX_dag_hs[e],729.327489840818
EX_dhdascb[e],10000
EX_dopa[e],10000
EX_gchola[e],0
EX_gsn[e],4765.57783059725
EX_gthrd[e],0
EX_hco3[e],-10000
EX_hdca[e],0
EX_imp[e],5675.79860057418
EX_leuktrC4[e],0
EX_lnlc[e],0
EX_lpchol_hs[e],0
EX_mag_hs[e],0
EX_meoh[e],0
EX_no[e],0
EX_ocdca[e],-10000
EX_ocdcea[e],0
EX_prostge1[e],10000
EX_ps_hs[e],-9729.32748984082
EX_Rtotal[e],9000
EX_Rtotal2[e],0
EX_tag_hs[e],0
EX_ump[e],0
EX_utp[e],0
EX_vacc[e],0
FACOAL204,0
FATP3t,-10000
FCLTm,0
FE3R2e,10000
FTHFDH,0
FUMm,5265.61388355301
FUMSO3tm,0
FUMSO4tm,10000
FUMtm,-4734.38611644699
G3PD2m,5139.67641868503
G5SDym,0
GACMTRc,-10000
GALGLUSIDEtl,2125.87865089108
GALt1r,-2125.87865089108
GALtly,2125.87865089108
GBA,2125.87865089108
GBAl,0
GDPtg,0
GHMT2rm,0
GLB1,2125.87865089108
GLCt1r,10000
GLCt2_2,-10000
GLCtly,0
GLCURter,10000
GLDBRAN,8.73137129545748
GLU5Km,0
GLUDxm,-7617.21108470138
GLUt2m,-10000
GLYAMDTRc,-10000
GLYt4,0
GLYtm,0
GPAM_hs,0
GUACYC,0
GULNDer,10000
GULNter,10000
H2CO3Dm,6265.61388355301
H2Oter,0
H2Otly,2125.87865089108
HIBDm,0
HIStN1,-10000
HOXG,0
Htr,10000
ICDHy,0
ICDHyrm,0
ILEt4,0
ILEtec,-10000
INSt,0
KCC2t,-10000
LCADim,5675.79860057418
LDH_Lm,5675.79860057418
LEUKTRC4t,0
LPASE,0
LPCHOLt,0
LPS2,0
LPS3,0
LYStiDF,10000
MAGt,0
MAOX,0
MDHm,-10000
MELATNOX,0
MEOHt2,0
METAT,0
METt4,10000
MGSA,0
MGSA2,0
MI1PS,0
MI34PP,0
NADPHtru,10000
NADPtru,10000
NDP6,0
NDP7er,0
NDPK1m,-10000
NICRNS,0
NOS1,0
NOS2,0
NP1,0
NTD2e,0
NTD7e,0
O2Stm,6764.78409175262
O2ter,0
O2tm,-2503.74985947195
OIVD2m,0
ORNtiDF,0
OXAHCOtex,0
P5CDm,0
PCm,6265.61388355301
PDE4,0
PEPCKm,0
PGS,0
PHEMEtm,0
PI3P5K,0
PI4P3K,0
PI4PP,0
PIK3,0
PIK4,0
PIPLC,0
PIter,0
PPAm,0
PPAP,0
PPPG9tm,0
PPPGOm,0
PRDX,0
PROD2m,0
PROt4,0
PROtm,0
PSFLIP,0
PSSA1_hs,0
PSt3,9729.32748984082
RTOT1,0
RTOTAL3t,0
Rtotaltl,0
SALMCOM,0
SMS,0
SO4CLtex2,0
SPHINGStl,0
SPHK21c,0
SPHMYLNtl,0
SPODMm,3382.39204587631
ST3GAL22g,0
SUCCt2m,10000
SUCD1m,0
SUCOASm,0
THD1m,0
THYOXt,-10000
THYOXt2,10000
TRPt4,10000
TSULt4_3,0
UAGALDP,0
UDPGD,0
UDPGLCter,-10000
UDPGP,0
UGCG,0
UGT1A10r,0
UMPK3,-10000
UMPK6,-10000
UMPK7,10000
UMPtr,-10000
UNK2,0
URATEt,0
VACCt,0
XOLEST2te,10000
EX_acmana[e],0
EX_dha[e],0
EX_dtmp[e],-10000
EX_HC01444[e],0
EX_HC01609[e],0
EX_HC01610[e],0
EX_prpp[e],-10000
r0016,5000
r0047,0
r0051,-10000
r0055,-5675.79860057418
r0074,0
r0083,6265.61388355301
r0113,0
r0142,0
r0153,9865.38220792115
r0165,134.61779207885
r0226,0
r0276,-10000
r0317,2450.53573371612
r0330,0
r0331,0
r0391,0
r0394,0
r0423,0
r0425,6265.61388355301
r0494,-10000
r0514,0
r0627,0
r0655,0
r0669,0
r0750,0
r0756,0
r0757,0
r0774,0
r0779,0
r0801,134.61779207885
r0809,0
r0829,-10000
r0838,5234.42216940275
r0842,10000
r0845,0
r0853,0
r0886,0
r0892,0
r0915,-10000
r0917,10000
r0921,0
r0942,-10000
r0962,0
r0968,0
r0975,0
r1050,0
r1051,0
r1090,2351.59720114837
r1097,0
r1103,0
r1109,-6364.55241612076
r1112,0
r1116,0
r1143,0
r1147,-6265.61388355301
r1159,0
r1185,0
r1187,0
r1188,0
r1189,0
r1190,0
r1290,0
r1352,0
r1359,0
r1384,-4765.57783059725
r1393,8.73137129545748
r1403,8.73137129545748
r1423,0
r1435,0
r1453,0
r1464,-589.815282978823
r1544,1764.29887255603
r1546,-10000
r1547,8235.70112744397
r1549,-10000
r1551,10000
r1553,10000
r1554,-10000
r1556,10000
r1559,-10000
r1561,-10000
r1563,-10000
r1565,-10000
r1567,10000
r1569,10000
r1570,6230.68839837118
r1573,130.970569431862
r1574,-10000
r1575,-10000
r1576,-10000
r1578,-10000
r1579,10000
r1580,10000
r1581,10000
r1583,10000
r1585,0
r1586,10000
r1587,-10000
r1588,-10000
r1590,-10000
r1591,-10000
r1592,10000
r1594,-10000
r1596,10000
r1597,10000
r1599,-10000
r1600,-10000
r1602,-9869.02943056814
r1605,-10000
r1606,10000
r1607,-10000
r1608,-10000
r1609,10000
r1612,-10000
r1615,10000
r1617,-5137.12560527769
r1618,10000
r1619,829.294433708605
r1620,10000
r1621,-10000
r1622,-10000
r1623,-10000
r1624,-10000
r1626,-4862.87439472231
r1627,-10000
