Reaction,Flux
2DR1PP,0
2HBO,0
2HBt2,-10000
34DHPHAMT,0
34DHPLACOX,0
3MOX4HOXPGALDOX,0
42A12BOOX,0
5AOPtm,0
5MTHFt,0
5MTHFt2,-10000
ACACt2m,-5000
ACALDtm,-5833.33333333333
ACGAM6PSi,0
ACRNtm,10000
ACt2m,-5833.33333333333
ACt2r,-10000
ADEt,0
ADK1m,-4166.66666666667
ADK3m,4166.66666666667
AKGDm,0
ALATA_L,1666.66666666666
ALCD21_L,0
ALDD2xm,5833.33333333333
ALDD2y,0
ALR2,0
ALR3,0
AMPDA,0
ARACHCRNt,10000
ARGSS,0
R_group_phosphotase_1,0
R_group_phosphotase_3,0
ARTFR11,10000
ARTFR61,0
ARTPLM1,0
ASCBt,0
ASNS1,0
ASNt4,10000
ATPH2e,0
ATPtm,0
BILDGLCURtr,0
BILGLCURtr,0
BILIRED,0
BILIRUBt2,0
C161CPT12,0
C161CPT22,0
C161CRN2t,-10000
C181CPT1,0
C181CPT2,0
C181CRNt,0
CATm,0
CEPTC,0
CERT2rt,0
CHLPCTD,0
CHOLtu,0
CHSTEROLt1,0
CHSTEROLt2,0
CITtam,-10000
CO2tm,833.333333333332
COt,0
CSm,0
CSNAT2m,0
CSNATm,0
CSNATr,0
CYSGLUexR,-10000
CYStec,-10000
CYTDK1,5833.33333333333
CYTDt,0
CYTK10,-10000
CYTK11,10000
CYTK13,0
CYTK14,-10000
CYTK5,-10000
CYTK6,10000
CYTK7,0
CYTK9,10000
DADAe,0
DADNK,0
DADNt4,-10000
DAGK_hs,-10000
DAGt,-10000
DALAt2r,10000
DASCBR,0
DESAT16_2,0
DESAT18_9,0
DGAT,0
DHAAt1r,0
DHCRD1,0
DHPR2,0
DOPABMO,0
DOPAMT,0
DOPAtu,-9166.66666666667
DRPA,0
DSAT,0
DURAD2,0
ELAIDCPT2,0
ELAIDCRNt,0
EX_2hb[e],0
EX_5mthf[e],10000
EX_6thf[e],5000
EX_7thf[e],-5000
EX_adp[e],0
EX_ala_D[e],-10000
EX_amp[e],10000
EX_arachd[e],0
EX_atp[e],0
EX_bildglcur[e],0
EX_bilglcur[e],0
EX_bilirub[e],0
EX_chol[e],0
EX_chsterol[e],-10000
EX_co[e],0
EX_dag_hs[e],10000
EX_dopa[e],9166.66666666667
EX_h2o2[e],-10000
EX_hdca[e],-10000
EX_hdcea[e],0
EX_inost[e],10000
EX_limnen[e],0
EX_lnlc[e],0
EX_lpchol_hs[e],0
EX_no[e],0
EX_ocdca[e],-6888.89777777778
EX_ocdcea[e],-10000
EX_octa[e],0
EX_pchol_hs[e],-4000
EX_perillyl[e],0
EX_prostge2[e],0
EX_ps_hs[e],10000
EX_retn[e],9166.66666666667
EX_Rtotal3[e],0
EX_sphs1p[e],0
EX_tag_hs[e],-2000
EX_thf[e],-5000
EX_urate[e],10000
EX_utp[e],0
EX_vacc[e],6888.89777777778
FACOAL80i,0
FATP2t,-10000
FE2t,0
FE3R2e,0
FUMm,-5000
FUMSO4tm,-10000
FUMtm,10000
G5SDym,0
G6PPer,0
G6Pter,0
GALGLUSIDEtl,0
GALt1r,0
GALtly,0
GGH_7THFe,5000
GGNG,0
GLB1,0
GLBRAN,0
GLCt1r,10000
GLCter,0
GLDBRAN,0
GLGNS1,0
GLPASE1,0
GLPASE2,0
GLU5Km,0
GLUt2m,-9166.66666666667
GLYt4,10000
GLYtm,-5000
GPAM_hs,10000
GTHOm,0
GUACYC,0
H2O2t,10000
H2Oter,0
H2Otly,0
HDCEAtr,0
HISt4,0
HMGCOASi,5000
HMGCOAtm,0
HOXG,0
ICDHxm,9166.66666666667
ICDHy,833.333333333333
ICDHyrm,-10000
ILEtec,-10000
INSt,0
