Reaction,Flux
34DHXMANDACOX,0
41R1H2MAE12BOOX,0
ACACT1x,0
ACACT7p,0
ACOAD8m,622.723217823017
ACOAO7p,0
ADAe,0
ADK1m,648.482307314758
ADNt,0
AKGDm,6503.10834301501
ALATA_L,-7792.77298763715
ALCD21_L,0
ALR2,0
ALR3,0
ARACHCOAtx,0
ARACHt,-10000
ARGSS,0
R_group_phosphotase_1,0
ARTFR61,6177.93690606131
ARTPLM1,5230.0422512846
ASNNm,2940.192562596
ASNS1,0
ASNtm,2940.192562596
ASPGLUm,0
ASPt6,1262.14299399512
ASPTAm,2940.192562596
ATPH1e,0
ATPtm,2940.192562596
C160CPT1,4317.78170846122
C160CPT2,0
C161CPT12,-6177.93690606131
CATm,853.820335847915
CATp,0
CDIPTr,0
CDS,0
CEPTC,0
CHLPCTD,0
CHOLtu,0
CHSTEROLt2,0
CHSTEROLt3,0
CO2tm,-6503.10834301501
COt,0
CSm,0
CYSGLUexR,-10000
CYTK10,0
CYTK12,-10000
CYTK13,10000
CYTK6,0
CYTK7,-10000
CYTK8,9836.97949614564
CYTK9,163.020503854361
DAGK_hs,947.894654776714
DASCBR,0
DESAT24_1,0
EX_adrnl[e],0
EX_arach[e],0
EX_arachd[e],0
EX_atp[e],0
EX_chol[e],0
EX_chsterol[e],0
EX_co[e],0
EX_crn[e],0
EX_gsn[e],0
EX_hco3[e],6503.10834301501
EX_idp[e],0
EX_inost[e],9052.10534522329
EX_lnlc[e],0
EX_lpchol_hs[e],0
EX_mag_hs[e],-947.894654776714
EX_no[e],74.6002323601842
EX_ocdca[e],0
EX_ocdcea[e],0
EX_pchol_hs[e],0
EX_ps_hs[e],10000
EX_tag_hs[e],0
EX_tetpent3[e],0
EX_utp[e],0
FACOAL245_2,0
FAOXC160,0
FAOXC180x,0
FAOXC226205x,0
FAOXC246226x,0
FATP4t,-10000
FUMm,-1855.27510872318
GALOR,-4401.02561847436
GGNG,0
GLCt1r,3341.06821626973
GLCt2_2,-3347.28490229975
GLDBRAN,6.21668603001528
GLPASE2,0
GLUDxm,-2940.192562596
GLYC3Ptm,0
GSNt,0
GUACYC,0
H2O2tp,0
H2Otp,0
HISt4,0
HMGCOASi,0
HMGCOAtx,0
HSD17B42x,0
ICDHy,0
ILEt4,0
INSTt4,-9052.10534522329
KCC2t,0
KCCt,1262.14299399512
LCADim,0
LDH_Lm,0
LEUtec,-7693.90941246556
LPASE,0
LPCHOLt,0
LPS2,0
