Reaction,Flux
2HBO,-10000
3HLYTCL,0
3M4HDXPAC,0
3MOXTYROX,0
3SALAASPm,0
5AOPtm,0
5MTHFt,10000
5MTHFt2,-10000
ACACt2m,6485.72028571428
ADEt,9242.86514285714
ADNt,0
AHCYStr,0
AKGDm,1266.68466666666
AKGMALtm,838.083238095242
ALATA_L,-10000
ALCD21_L,3080.95504761905
ALR2,3080.95504761905
ALR3,3080.95504761905
AMETr,0
AMPDA,10000
ARACHCRNt,-8733.31533333334
ARACHDCOAtx,-2457.13085714286
ARGLYSex,10000
R_group_phosphotase_1,0
ARTFR12,0
ARTFR41,0
ARTPLM1,0
ARTPLM2,0
ARTPLM3,0
ASNS1,0
ASNt4,0
ASPGLUm,0
ASPTAm,0
ATPtm,790.464190476192
CATp,0
CDIPTr,0
CDS,0
CERK,0
CERT2rt,0
CHLPCTD,0
CHOLtu,10000
CITtam,10000
CLOHtex2,0
COAtp,2457.13085714286
COt,0
CRMPte,0
CSNATm,0
CYSGLUexR,-10000
CYSt4,0
CYStec,0
CYTD,0
CYTDK1,0
CYTK13n,2161.90676190476
CYTK5,1561.90876190476
CYTK6,8438.09123809524
CYTK7,-10000
CYTK8,-6876.18247619047
CYTK9,8438.09123809524
DADA,3723.81552380952
DADNK,0
DADNt4,3723.81552380952
DAGK_hs,10000
DALAt2r,-10000
DCK1n,2161.90676190476
DCTPtn,-2161.90676190476
DCYTt,-5723.82552380952
DESAT16_2,0
DESAT18_9,0
DNDPt11m,0
DNDPt26m,3723.81552380952
DNDPt41m,3723.81552380952
DOPAMT,0
DTDPtn,-6485.72028571428
DTTPtn,6485.72028571428
DURIK1,3723.81552380952
DUTPDPm,3723.81552380952
EX_2hb[e],10000
EX_34dhphe[e],0
EX_5mthf[e],0
EX_5thf[e],0
EX_6thf[e],0
EX_7thf[e],0
EX_ala_D[e],10000
EX_amp[e],757.134857142863
EX_arachd[e],0
EX_atp[e],-757.134857142863
EX_chol[e],-10000
EX_chsterol[e],0
EX_co[e],0
EX_crmp_hs[e],0
EX_fuc_L[e],10000
EX_gthrd[e],0
EX_h2o2[e],-10000
EX_hdca[e],0
EX_imp[e],10000
EX_limnen[e],-0.0100000000002183
EX_lnlc[e],0
EX_lpchol_hs[e],0
EX_mag_hs[e],0
EX_no[e],0
EX_o2s[e],6666.66666666667
EX_ocdca[e],0
EX_ocdcea[e],0
EX_pchol_hs[e],0
EX_pe_hs[e],0
EX_perillyl[e],0.0100000000002183
EX_ps_hs[e],0
EX_Rtotal[e],0
EX_Rtotal2[e],0
EX_Rtotal3[e],0
EX_s2l2fn2m2masn[e],-10000
EX_s2l2n2m2masn[e],10000
EX_tchola[e],0
EX_utp[e],-10000
EX_vacc[e],0
FACOAL204,-8942.85114285715
FCLTm,0
FE2t,0
FUCASEe,10000
FUMm,-752.374952380957
FUMSO3tm,6571.42857142857
FUMtm,5485.72028571428
G5SADrm,0
G5SDym,0
G6PPer,0
G6Pter,-10000
GALGLUSIDEtl,4480.94038095239
GALOR,4480.94038095239
GALtly,4480.94038095239
GAMt1r,3333.33333333333
GBA,10000
GGH_6THFe,0
GGH_7THFe,0
GGNG,0
GHMT2rm,1266.68466666666
GLB1,4480.94038095239
GLCt1r,0
GLCter,0
GLDBRAN,0
GLPASE2,0
GLU5Km,0
GLUCYS,0
GLUDym,-7895.2320952381
GLUt2m,-10000
GLYtm,-2533.36933333332
GPAM_hs,0
GTHOm,0
GTHPm,0
GTHS,0
GUACYC,0
H2CO3Dm,10000
H2O2t,10000
H2Oter,-10000
H2Otly,4480.94038095239
H2Otp,-2457.13085714286
HCO3_CLt,10000
HEX10,3333.33333333333
HISt4,0
HIStN1,-9942.86114285715
HMGCOASim,0
HMGLm,0
Htr,0
Htx,2457.13085714286
ILEtec,-10000
LDH_Lm,10000
LEUt4,10000
LIMNENte,0.0100000000002183
L_LACtm,10000
LPCHOLt,0
LPS2,0
LYSt4,3685.77628571428
LYStiDF,0
MAGt,0
MALSO3tm,3428.57142857143
MALtm,-10000
MDHm,-6485.72028571428
METt4,10000
METtec,838.083238095242
MGSA,0
MGSA2,0
MI34PP,0
MTHFD2m,2104.7679047619
MTHFDm,-2104.7679047619
NACUP,3723.81552380952
NDP6,0
NDP7er,0
NDPK7n,2161.90676190476
NDPK8n,-4323.81352380952
NICRNS,3723.81552380952
NKCCt,10000
NOS1,0
NOS2,0
NP1,3723.81552380952
NTPP9,0
O2St,6666.66666666667
O2Stm,0
O2Stx,0
O2ter,-5000
O2tp,0
OCOAT1m,0
ORNtiDF,10000
P4502C93,0.0100000000002183
P5CDm,0
PCm,6485.72028571428
PDE4,0
PDHm,0
PERILLYLte,-0.0100000000002183
PGS,0
PHEMEtm,0
PI345P3P,0
PI3P5K,0
PI45P3K,0
PI5P3K,0
PIK3,0
PIK5,0
PPAm,0
PPAP,0
PPItr,10000
PPPG9tm,0
PPPGOm,0
PROtm,2104.7679047619
PSSA1_hs,-10000
PSt3,0
PYNP2r,3723.81552380952
PYRt2m,-10000
RTOT1,0
RTOT4,0
RTOTALt,0
SMS,10000
SPODMm,0
SPODMx,0
SUCD1m,7190.47619047619
SUCOASm,-10000
TETPENT6CPT1,-1266.68466666666
TETPENT6CPT2,-1266.68466666666
TETPENT6CRNt,-1266.68466666666
TETTET6CPT1,10000
TETTET6CPT2,10000
TETTET6CRNt,10000
THFtm,0
THMPPtm,0
THYMDt1,0
TRDR,6276.18447619048
TXASr,0
TYRTAm,0
UDPGLCter,0
UDPGP,0
UMPK3,10000
UMPK4,-10000
UMPK5,6276.18447619048
UMPK6,-10000
UNK2,0
URIDK2m,3723.81552380952
VACCt,0
XOLEST2te,10000
EX_ctp[e],0
EX_dhap[e],-10000
EX_dtmp[e],-10000
EX_dttp[e],10000
EX_itp[e],0
EX_prpp[e],-757.134857142863
r0028,0
r0051,-757.134857142863
r0055,-3080.95504761905
r0074,0
r0081,0
r0083,10000
r0086,0
r0122,0
r0149,0
r0157,0
r0178,-2809.52380952381
r0196,0
r0224,0
r0249,3333.33333333333
r0276,0
r0301,0
r0308,2457.13085714286
r0317,10000
r0377,0
r0407,-3333.33333333333
r0408,-3333.33333333333
r0423,10000
r0426,-10000
r0474,-6276.18447619048
r0494,-10000
r0497,-10000
r0512,10000
r0517,0
r0531,0
r0821,-10000
r0822,-10000
r0830,-10000
r0838,9161.91676190476
r0840,3333.33333333333
r0841,-3333.33333333333
r0842,0
r0892,-10000
r0911,-2104.7679047619
r0941,-3514.27971428572
r1050,0
r1078,10000
r1101,0
r1116,-757.134857142863
r1143,10000
r1144,0
r1156,-3723.81552380952
r1185,0
r1187,0
r1188,0
r1189,0
r1190,0
r1290,10000
r1294,0
r1348,0
r1393,0
r1401,0
r1403,0
r1423,10000
r1431,0
r1433,0
r1435,1266.68466666666
r1464,-6485.72028571428
r1493,6485.72028571428
r1544,-10000
r1546,-10000
r1547,10000
r1549,-2533.36933333332
r1552,10000
r1557,10000
r1559,-10000
r1561,-10000
r1563,-10000
r1565,10000
r1567,0
r1568,10000
r1573,-10000
r1574,-7895.2320952381
r1575,-10000
r1585,-9161.91676190476
r1586,428.601428571419
r1587,10000
r1588,-10000
r1590,-10000
r1591,-10000
r1594,10000
r1597,-10000
r1600,-10000
r1602,-10000
r1603,-10000
r1605,-10000
r1607,10000
r1609,2533.36933333332
r1610,-10000
r1611,-10000
r1618,-10000
r1619,10000
r1620,-10000
r1621,10000
r1624,0
r1627,-10000
r1629,-10000
r1630,-10000
r1634,0
r1636,-10000
r1637,0
r1642,-10000
r1643,-10000
r1644,-10000
r1648,-10000
r1649,-10000
r1652,-10000
r1653,-10000
r1654,-10000
r1655,-10000
r1656,-10000
r1657,-10000
r1658,-10000
r1660,0
r1662,-10000
r1664,4257.07485714287
r1666,2057.14885714285
r1669,-2057.14885714285
r1670,-5742.92514285713
r2090,10000
r2091,-10000
r2092,10000
r2106,-10000
r2128,10000
r2313,-6485.72028571428
r2322,10000
r2324,-10000
r2329,0
r2333,0
r2376,0
r2386,0
r2420,0
r2425,0
r2433,0
r2438,0
r2473,10000
r2497,2457.13085714286
r2521,-10000
r2534,-10000
r2535,-10000
RE0453N,-6485.72028571428
RE0926E,-10000
RE0944E,-10000
RE0958E,9000
RE1573M,-2809.52380952381
RE2069C,0
RE2445E,10000
RE2591C,0
RE2850C,-3333.33333333333
RE2954C,6485.72028571428
RE3238C,-10000
RE3239C,-10000
RE3268C,0
RE3269C,0
RE3270C,0
RE3273C,0
RE3301C,-10000
RE3347C,-10000
RE3567C,-10000
EX_cdp[e],0
EX_dtdp[e],0
EX_citr_L[e],0
EX_HC02205[e],-10000
EX_HC02207[e],10000
EX_HC02217[e],0
EX_maltpt[e],10000
EX_malthp[e],10000
EX_CE2839[e],-9000
EX_CE2838[e],9000
EX_CE5867[e],-10000
EX_CE5868[e],10000
EX_CE5869[e],10000
EX_crm_hs[e],10000
C4CRNCPT2,0
EX_c4crn[e],0
FAOXC4C2m,0
SUCCACT,8733.31533333334
34DHPHELAT1tc,0
BGLUTCHLe,0
HISCAT1,-4199.93600000002
ILELAT1tc,0
LEUyLAThtc,0
LINOFATPtc,0
MTHFTe,0
OLEICFATPtc,0
PALFATPtc,0
PSYTDECHe,0
XOLEST2HSTDle,10000
ADNK3,0
ASPPROASCT1,0
CHOLESACATc,0
CHOLESTle,0
EX_bglc[e],0
EX_gltcho[e],0
EX_psyl[e],0
EX_psyltdechol[e],0
EX_tdechola[e],0
EX_hyptaur[e],-10000
EX_oh1[e],0
FE3MTP1,0
FOLt2le,0
