Reaction,Flux
10FTHFtm,0
3HAO,0
3MOX4HOXPGALDOX,10000
3MOX4HOXPGALDOX_NADP_,0
3SALAASPm,0
3SALATAim,0
3SPYRSPm,0
5AOPtm,10000
A4GALTc,0
ACACT1rm,850.058102357891
ACACt2m,-850.058102357891
ACONTm,0
ADA,0
ADK1m,6061.83940164812
ADK3,-10000
ADKd,-10000
ADNt,5313.60694987075
ADNtl,0
ADRNCRNt,10000
AGPAT1,0
AGTim,0
AKGDm,0
ALASm,0
ALATA_L,-10000
AMPtp,0
R_group_phosphotase_1,0
R_group_phosphotase_2,0
R_group_phosphotase_3,0
ARTFR12,0
ARTFR41,0
ARTPLM1,0
ARTPLM3,0
ASNS1,0
ASPDt6,0
ASPGLUm,0
ASPt6,0
ATPtm,10000
ATPtx,0
B3GALT42g,0
BBHOX,0
BILGLCURt,-473.701189948446
BILGLCURte,0
C160CPT2,0
C161CPT1,-5000
C161CPT2,-5000
C161CRNt,-5000
C181CPT1,10000
CATm,0
CERT2rt,0
CHLPCTD,0
CHOLATEt2,10000
CHOLtu,0
CITRtm,0
CITtam,-10000
CITtbm,0
CKc,-10000
CMPACNAtg,0
CMPSAS,0
CO2tm,10000
COAtr,0
COt,473.701189948446
CRVNCtr,0
CSm,0
CSNATm,-1512.86776263581
CSNATr,-1512.86776263581
CYSGLUexR,-10000
CYSO,0
CYSt4,0
CYTD,0
CYTDK1,10000
CYTDt,10000
CYTK11,0
CYTK12,10000
CYTK13,10000
CYTK14,-10000
CYTK3,10000
CYTK4,2214.50037503396
CYTK5,-2214.50037503396
CYTK6,10000
CYTK7,-9033.64484764137
CYTK8,0
CYTK9,-966.355152358627
DADNK,0
DADNt4,0
DAGK_hs,-189.108470329476
DAGt,-189.108470329476
DCK1m,-10000
DCYTt,-10000
DDPGAm,0
DESAT16_2,0
DESAT18_3,0
DESAT18_6,0
DESAT20_2,0
DGSNt,10000
DINt,-10000
DNDPt26m,10000
DNDPt41m,10000
DOPAMT,0
DOPAtu,10000
EHGLAT2m,0
EICOSTETt,0
ESTRONESt,-850.058102357891
EX_11_cis_retfa[e],0
EX_4nph[e],-10000
EX_adrnl[e],-10000
EX_amp[e],10000
EX_arachd[e],0
EX_atp[e],5313.60694987076
EX_bilglcur[e],473.701189948446
EX_chol[e],0
EX_cholate[e],-10000
EX_chsterol[e],0
EX_co[e],473.701189948446
EX_creat[e],10000
EX_crn[e],0
EX_dag_hs[e],189.108470329476
EX_dopa[e],0
EX_eicostet[e],0
EX_fuc_L[e],10000
EX_gsn[e],-10000
EX_gthox[e],0
EX_gthrd[e],10000
EX_h2o2[e],2026.13750554131
EX_hco3[e],-1323.75929230634
EX_hdca[e],0
EX_hdcea[e],0
EX_hista[e],0
EX_imp[e],10000
EX_inost[e],0
EX_leuktrD4[e],-10000
EX_leuktrF4[e],10000
EX_lneldc[e],0
EX_lnlc[e],10000
EX_lpchol_hs[e],0
EX_mag_hs[e],0
EX_mthgxl[e],0
EX_no[e],0
EX_ocdca[e],0
EX_ocdcea[e],-10000
EX_pchol_hs[e],0
EX_ps_hs[e],0
EX_retinol_cis_11[e],0
EX_Rtotal[e],-189.108470329476
EX_Rtotal3[e],0
EX_s2l2fn2m2masn[e],-10000
EX_s2l2n2m2masn[e],10000
EX_tag_hs[e],0
EX_tststerone[e],-10000
EX_utp[e],-9526.29881005155
EX_vacc[e],0
EX_whtststerone[e],0
EX_xolest2_hs[e],0
FACOAL160i,189.108470329477
FACOAL1821,-10000
FACOAL204,-10000
FACOAL2042,0
FACOAL205,0
FACOAL206,0
FATP5t,10000
FE2t,473.701189948446
FUCASEe,10000
FUMm,-7573.71832567581
G3PD2m,2095.15277086951
G5SDym,0
GALt1r,0
GALtly,0
GAMt1r,0
GBA,10000
GGNG,778.176696153903
GGT6,10000
GLB1,0
GLBRAN,778.176696153903
GLCt1r,-6225.41356923122
GLCtg,0
GLDBRAN,778.176696153903
GLGNS1,778.176696153903
GLNtm,0
GLPASE1,778.176696153903
GLPASE2,778.176696153903
GLU5Km,0
GLUDxm,0
GLUDym,-10000
GLUNm,0
GLUt2m,-10000
GLYAMDTRc,0
GLYCK2,10000
GLYtm,-10000
GLYVESSEC,0
GNMT,0
GPAM_hs,189.108470329477
GTHPe,0
GUACYC,0
H2CO3Dm,3212.9839673516
H2O2t,-2026.13750554131
H2O2tm,0
H2Oter,0
H2Otg,0
H2Otly,0
HISt4,0
HMGCOASim,850.058102357891
HMGLm,850.058102357891
HSD17B1,0
Htg,0
Htr,0
ICDHyrm,0
ILEtec,-10000
INSTt4,0
KAS8,189.108470329477
KCC2t,-4000
LACZe,0
LCTStg,0
LDH_Lm,0
LEUKTRD4t,10000
LEUtec,-10000
L_LACtm,0
LNELDCCPT1,0
LNELDCt,0
LNLCCPT1,-10000
LNLCt,-10000
LPASE,0
LPCHOLt,0
LPS2,0
LTD4DP,10000
LYSt4,0
LYStiDF,0
MAGt,0
MALSO3tm,0
MALSO4tm,10000
MALtm,-3212.9839673516
MAOLNOR,10000
MAOX,0
MDHm,6787.0160326484
MELATNOX,0
METAT,0
METS,0
MGSA2,0
MI1PS,0
MI34PP,0
MTHFCm,0
MTHFD2m,-10000
MTHFDm,10000
MTHGXLt,0
NAt,-10000
NCKt,-7000
NDP6,0
NDP7er,0
NDP7g,0
NDPK1m,-7785.49962496604
NDPK6m,-10000
NICRNS,0
NKCCt,7000
NOS1,0
NOS2,0
NOt,0
NP1,0
NTD5m,10000
NTD7l,0
O2Stm,0
OCDCAtr,0
OCDCEAtr,10000
OPAHir,0
ORNt4m,0
ORNTArm,0
PCHOLP_hs,0
PCm,3212.9839673516
PDE4,0
PDHm,3212.9839673516
PEPCKm,0
PHCDm,0
PHEt4,0
PI34P5K,0
PI3P4K,0
PI4P3K,0
PI4PP,0
PI5P3K,0
PIK3,0
PIK4,0
PIK5,0
PIter,0
PItg,0
PPAm,0
PPAP,0
PPItx,0
PROt4,0
PSSA1_hs,0
PSt3,0
PTRCOX1,0
PYRt2m,6425.96793470319
QUILSYN,0
RETFA,0
RETFAt,0
RETH2e,0
RETHe,0
RIBt,10000
RTOT1,0
RTOT4,0
RTOTAL2t,0
RTOTAL3t,0
SALMCOM2,10000
SARCStm,0
SARDHm,0
SBTD_D2,0
SCP21x,0
SMS,0
SPHMYLNtl,0
SPODMm,0
ST3GAL22g,0
SUCD1m,2426.28167432419
SUCOASm,-10000
THFtm,0
THRt4,0
TMDK1m,10000
TRIOK,0
TSTSTERONEt,10000
TTDCPT2,0
TYRTAm,0
UDPGALtg,0
UDPGD,0
UDPGP,0
UGALGTg,0
UMPK2,-10000
UMPK3,10000
UMPK4,-10000
UMPK6,-10000
UMPK7,10000
UNK2,10000
URATEt,0
URIt,-10000
VACCt,0
WHTSTSTERONEte,0
EX_4abutn[e],0
EX_fald[e],0
EX_HC00229[e],8612.70678461561
EX_HC00250[e],-10000
EX_HC01104[e],10000
EX_prpp[e],-10000
r0002,0
r0016,-2618.42529748711
r0023,0
r0028,0
r0051,-10000
r0074,0
r0081,0
r0083,0
r0122,0
r0130,-10000
r0178,0
r0193,-10000
r0196,-10000
r0210,0
r0245,0
r0249,-3774.58643076878
r0276,-10000
r0301,0
r0309,0
r0364,0
r0390,-8612.70678461561
r0391,0
r0394,-10000
r0413,10000
r0423,0
r0425,0
r0437,0
r0511,0
r0517,-10000
r0531,-10000
r0579,0
r0580,0
r0587,-10000
r0614,0
r0616,0
r0653,0
r0680,0
r0714,0
r0716,0
r0801,7785.49962496604
r0817,0
r0819,7573.71832567581
r0821,-10000
r0829,-10000
r0838,10000
r0840,-3774.58643076878
r0841,3774.58643076878
r0881,0
r0892,-9526.29881005155
r0913,-2426.28167432419
r0940,-10000
r0941,0
r0942,10000
r0973,0
r0999,0
r1010,0
r1043,0
r1050,0
r1078,10000
r1094,0
r1097,8.05541728394147
r1101,0
r1102,0
r1104,0
r1116,5313.60694987076
r1147,2426.28167432419
r1150,0
r1156,0
r1162,0
r1168,0
r1179,0
r1185,0
r1187,0
r1188,0
r1189,0
r1190,0
r1290,4521.4344451937
r1318,0
r1337,0
r1348,0
r1350,0
r1354,0
r1359,8.05541728394147
r1393,0
r1403,0
r1418,-10000
r1421,0
r1423,0
r1493,10000
r1544,10000
r1546,10000
r1547,-10000
r1548,-10000
r1549,10000
r1551,-10000
r1552,-10000
r1553,0
r1559,-10000
r1560,-10000
r1562,-10000
r1564,10000
r1569,10000
r1574,-10000
r1575,10000
r1576,-10000
r1578,-10000
r1579,10000
r1580,10000
r1586,-10000
r1587,10000
r1588,-10000
r1589,-10000
r1590,-10000
r1592,10000
r1593,10000
r1594,10000
r1597,10000
r1598,0
r1600,-10000
r1604,-10000
r1605,-10000
r1606,10000
r1607,10000
r1608,-10000
r1610,-10000
r1611,0
r1613,-10000
r1614,-10000
r1615,10000
r1617,10000
r1619,-10000
r1621,0
r1622,-10000
r1625,10000
r1626,10000
r1627,0
r1628,-10000
r1629,-10000
r1630,-10000
r1632,-10000
r1633,10000
r1634,10000
r1635,-10000
r1636,-10000
r1641,-10000
r1643,-10000
r1644,-10000
r1646,-10000
r1647,-10000
r1648,-10000
r1649,-10000
r1651,10000
r1652,-10000
r1654,-10000
r1655,-10000
r1656,-10000
r1657,-10000
r1658,-10000
r1659,-10000
r1660,0
r1661,-10000
r1662,10000
r2080,0
r2086,10000
r2090,-10000
r2096,0
r2104,-9149.94189764211
r2113,0
r2115,0
r2116,0
r2118,0
r2126,-10000
r2129,10000
r2314,0
r2318,-10000
r2329,-10000
r2330,10000
r2373,-10000
r2374,0
r2379,-10000
r2380,10000
r2419,10000
r2420,-10000
r2433,-1512.86776263581
r2435,0
r2472,8874.8047890214
r2511,0
RE0344C,0
RE1342C,0
RE1518M,0
RE1530C,0
RE1573M,0
RE2112C,10000
RE2426C,0
RE2445E,4375.85618964139
RE2766C,10000
RE2848C,0
RE2912M,5000
RE2998M,0
RE3239C,-10000
RE3245C,-10000
RE3268C,0
RE3269C,0
RE3270C,0
RE3273C,0
RE3301C,0
RE3347C,-4047.73325524525
EX_citr_L[e],0
EX_HC02214[e],-10000
EX_CE5867[e],-4375.85618964139
EX_CE5868[e],4375.85618964139
EX_CE5869[e],4375.85618964139
EX_crm_hs[e],10000
PIt8,-10000
C140CPT1,0
C16txc,0
C4DCe,7573.71832567581
EX_c4dc[e],7573.71832567581
FAOXC16BRx,0
FAOXC4C4DCc,7573.71832567581
SUCCACT,7573.71832567581
HISCAT1,-10000
HISSNAT5tc,-10000
HISyLATthc,0
LINOFATPtc,0
OLEICFATPtc,0
PALFATPtc,0
XOLEST2HSTDle,0
