Reaction,Flux
2DR1PP,0
3HLYTCL,0
3MOX4HOXPGALDOX_NADP_,0
5AOPtm,0
5MTHFt,-8916.67
ACACT1x,0
ACACtx,0
ACNAM9PL2,4435.19333333333
ACONTm,0
ADA,0
ADK1m,9740.74333333333
ADK3m,-10000
ADNt,-4175.92666666667
ADNtm,-259.256666666666
AKGDm,0
AKGMALtm,-5000.01
ALASm,0
ALAt4,10000
ALATA_L,-7500
ALDD2y,0
AMACR2p,0
AMPDA,0
AMPTASECGe,0
ARGLYSex,0
R_group_phosphotase_1,0
R_group_phosphotase_2,0
ARTFR11,0
ARTFR207,0
ARTFR44,0
ARTPLM1,0
ARTPLM2,0
ASNS1,10000
ATPtm,10000
C181CPT1,10000
C181CPT2,10000
C181CRNt,10000
CATm,1492.28444444445
CATp,0
CDIPTr,0
CDS,0
CERT2rt,5000
CGLYt3_2_,0
CHLPCTD,0
CHOLtu,0
CHSTEROLt2,0
CHSTEROLt3,0
CITtam,10000
CITtbm,518.523333333331
CO2tm,10000
COAtp,0
COt,0
CREATt4_2_r,5000
CRNt,-10000
CRVNCtr,10000
CYTK10,-10000
CYTK14,0
CYTK7,-6083.33
CYTK8,6083.33
DADA,0
DADNK,0
DAGK_hs,10000
DAGt,10000
DCSPTN1CRNt,-10000
DESAT18_3,0
DESAT18_4,0
DESAT18_6,0
DESAT18_7,0
DGAT,0
DOPAMT,0
DRIBt,0
ESTRADIOLt,0
EX_13_cis_retnglc[e],1083.33
EX_5mthf[e],8916.67
EX_amp[e],4175.92666666666
EX_arach[e],0
EX_arachd[e],0
EX_atp[e],-10000
EX_chol[e],0
EX_chsterol[e],0
EX_cmp[e],-10000
EX_co[e],0
EX_creat[e],-5000
EX_crn[e],10000
EX_dag_hs[e],-10000
EX_estradiol[e],0
EX_gsn[e],0
EX_gthrd[e],0
EX_h2o2[e],-10000
EX_hco3[e],10000
EX_imp[e],-1953.69666666667
EX_leuktrC4[e],-10000
EX_leuktrF4[e],10000
EX_lneldc[e],4481.46666666667
EX_lnlc[e],0
EX_lpchol_hs[e],0
EX_mag_hs[e],0
EX_meoh[e],-10000
EX_no[e],0
EX_o2s[e],0
EX_ocdca[e],0
EX_ocdcea[e],0
EX_ps_hs[e],10000
EX_Rtotal2[e],0
EX_tag_hs[e],0
EX_thf[e],-8916.67
EX_urate[e],0
EX_utp[e],0
EX_vacc[e],0
EX_whtststerone[e],0
EX_xolest2_hs[e],0
FACOAL1822,-4481.46666666667
FACOAL204,0
FAOXC180x,0
FATP3t,0
FATP4t,0
FATP7t,10000
FOLR2,10000
FUMm,-4481.46666666667
G5SDym,0
GACMTRc,-5000
GALt1r,5000
GBA,0
GLBRAN,0
GLCt1r,0
GLDBRAN,0
GLGNS1,0
GLPASE1,0
GLU5Km,0
GLYAMDTRc,-5000
GLYt4,9277.78
GLYtm,0
GPAM_hs,0
GSNt,0
GUACYC,0
H2CO3Dm,518.52333333333
H2O2t,10000
H2O2tm,0
H2O2tp,0
H2Oter,5000
H2Otp,0
HCO3_CLt,-5018.50333333333
HIStN1,-9638.89
HMGLx,0
Htr,-10000
HXANtx,0
ICDHxm,0
ICDHy,10000
ICDHyrm,-10000
ILEtec,-10000
ITCOAL1m,-518.523333333331
ITCOALm,518.523333333331
KDNH,4435.19333333333
LDH_Lm,10000
L_LACtcm,10000
LNELDCCPT1,-4481.46666666667
LNELDCt,-4481.46666666667
LPASE,0
LPCHOLt,0
LPS2,0
LTC4CP,10000
MAGt,0
MALSO4tm,10000
MAOLNOR,0
MDHm,5000
ME2,10000
MEOHt2,10000
METAT,3916.67
METS,0
METt4,0
MGSA2,0
MI1PS,4481.47666666667
MI34PP,0
MOGAT,0
MTHFD2m,-10000
MTHFDm,10000
NADtpu,0
NAt,-10000
NDP6,0
NDP7er,5000
NDPK1m,-10000
NICRNS,0
NOS1,4638.89
NOS2,0
NP1,0
NTPP9,0
O2Stm,5969.13777777778
O2Stx,0
O2tm,-4476.85333333334
O2tp,0
ORNt4m,-3705.28277777777
ORNTArm,-5000
PCm,0
PDE4,0
PEPCKm,518.52333333333
PGDI,-4499.98
PGS,0
PHYCBOXL,0
PI34P5K,0
PI3P4K,0
PI4P3K,0
PIK3,0
PLA2_2,0
PMTCOAtx,0
PPAm,0
PPAP,0
PPItr,-5000
PRDX,10000
PROSTGH2t,-4499.98
PROt4,10000
PROtm,10000
PSFLIP,0
PSSA1_hs,0
PSt3,-10000
PYRt2m,-10000
RETNGLCt2,1083.33
RETNt,-10000
RTOT_3,0
RTOT4,0
RTOTALt,0
SMS,0
SPODMe,0
SPODMm,2984.56888888889
SPODMx,0
STCOAtx,0
SUCCt2m,-10000
SUCD1m,5518.53333333333
SUCOASm,-10000
THFt2,8916.67
THMDt4,0
THMPPtm,5844.13277777778
TRDR,0
UDPGD,1083.33
UDPGP,0
