Reaction,Flux
10FTHFtm,10000
2DR1PP,0
34DHXMANDACOX,10000
34DHXMANDACOX_NADP_,-10000
3MOX4HOXPGALDOX,0
3SALAASPm,0
3SALATAim,0
3SPYRSPm,0
AACTOOR,0
AACTtm,0
ACETONEt2,0
ACETONEt2m,0
ACOAD10m,0
ACONTm,-5000
ADCim,0
ADEt,0
ADK3,-10000
ADKd,1666.65666666667
ADNCYC,0
ADNt,10000
AKGDm,5000
AKR1C42,0
ALAt4,0
ALCD21_L,0
ALDD2y,0
ALR2,0
ALR3,0
AMETt2m,0
AMPDA,0
AMPTASECGe,0
AOBUTDsm,0
R_group_phosphotase_1,0
R_group_phosphotase_2,0
ARTPLM1,0
ARTPLM2,0
ARTPLM3,0
ASNS1,0
ASPTAm,0
ATPtm,7666.65666666667
BDHm,0
BHBtm,0
C160CPT2,0
CATm,4500
CDIPTr,0
CEPTC,0
CERT1gt,0
CHLPCTD,0
CHOLtu,10000
CITtam,-2666.65666666667
CITtbm,0
CLHCO3tex2,0
CLS_hs,0
CRNt,0
CYSGLUexR,-10000
CYSO,0
CYTD,0
CYTDK1,0
CYTDt,0
CYTK10,10000
CYTK12,-10000
CYTK13,10000
CYTK14,0
CYTK4,10000
CYTK6,10000
CYTK7,-10000
CYTK8,-10000
DADNK,0
DADNt4,-10000
DAGK_hs,0
DAGt,0
DGSNt,10000
DKMPPD,5333.34333333333
DNDPt17m,1666.65666666667
DNDPt31m,1666.65666666667
DOPAMT,0
DOPAtu,5222.22555555556
DRPA,0
DURAD,4666.65666666667
DURIt,0
EX_5mthf[e],0
EX_acetone[e],0
EX_adrnl[e],0
EX_amp[e],10000
EX_arachd[e],0
EX_atp[e],-5333.34333333333
EX_bhb[e],0
EX_camp[e],0
EX_chol[e],-10000
EX_chsterol[e],-10000
EX_crn[e],0
EX_dag_hs[e],0
EX_dopa[e],-5222.22555555556
EX_hco3[e],0
EX_hdca[e],0
EX_imp[e],-10000
EX_inost[e],10000
EX_lnlc[e],0
EX_lpchol_hs[e],10000
EX_mag_hs[e],0
EX_meoh[e],-5222.22555555556
EX_no[e],0
EX_ocdca[e],0
EX_ocdcea[e],0
EX_pe_hs[e],0
EX_ps_hs[e],0
EX_retn[e],-10000
EX_Rtotal[e],0
EX_Rtotal3[e],0
EX_tchola[e],-10000
EX_thf[e],0
EX_urate[e],5888.89222222222
EX_utp[e],-1666.65666666667
EX_vacc[e],0
EX_xolest2_hs[e],10000
FOLR2,0
FORt2m,0
FTHFDH,0
FTHFLm,0
FUMm,10000
FUMSO4tm,0
FUMtm,2333.34333333333
FUMTSULtm,-7333.34333333333
G5SDym,0
GBA,1000
GGNG,0
GLBRAN,0
GLCt1r,9000
GLCtg,0
GLDBRAN,0
GLGNS1,0
GLPASE1,0
GLPASE2,0
GLU5Km,0
GLUDxm,10000
GLUDym,0
GLYATm,0
GLYt4,10000
GLYtm,0
GTHPm,0
GUACYC,0
H2CO3Dm,0
H2O2tm,4000
H2Otg,0
HIStN1,0
HMGCOASim,0
HMGLm,0
Htg,0
ICDHyrm,-10000
ILEt4,0
ILEtec,-10000
INSTt2r,-10000
KCC2t,-10000
LACZe,0
LCTStg,0
LDH_Lm,0
LEUt4,0
L_LACtm,0
LPASE,0
LPCHOLt,-10000
LPS2,0
LPS3,0
LYStiDF,0
MAGt,0
MALtm,-10000
MALTSULtm,7333.34333333333
MAOX,0
MDHm,0
MDRPD,5333.34333333333
ME2,10000
MELATNOX,0
MEOHt2,5222.22555555556
METAT,5333.34333333333
MMSAD1m,0
MOGAT,0
MTAP,5333.34333333333
MTHFCm,-10000
MTHFD2m,-10000
MTHFDm,0
NDP6,0
NDP7g,0
NDPK1m,5000
NOS1,0
NOS2,0
NTD4e,0
NTD7e,0
O2tm,500
OCOAT1m,0
PCFLOPm,0
PCHOL_HStg,0
PCm,0
PDE4,0
PE_HStm,0
PEFLIP,0
PEPCKm,0
PETOHMm_hs,0
PGPPT,0
PGS,0
PI345P3P,0
PI45P3K,0
PItg,0
PPAm,0
PPAP,0
PRDX,5222.22555555556
PROtm,10000
PSFLIP,0
PSSA1_hs,-10000
