Reaction,Flux
34DHPHAMT,0
34DHPLACOX_NADP_,0
3AIBTm,0
3AIBtmi,0
3MOX4HOXPGALDOX,0
42A12BOOX,0
7DHCHSTEROLtr,0
ACACT1rm,0
ACACt2m,0
ACOAD10m,600
ACOAD1fm,0
ACOAD8m,0
ACONTm,0
ADCim,0
ADK1m,10000
ADK3m,-10000
AKGDm,7800
AKGMALtm,-10000
ALAt4,0
ALATA_L,-10000
ALCD21_D,0
ALCD21_L,0
ALCD22_D,0
ALR2,0
ALR3,0
AMPDA,0
ARACHDt2,-10000
R_group_phosphotase_1,0
R_group_phosphotase_2,0
ARTFR11,10000
ARTPLM1,8131.11166666667
ARTPLM2,0
ARTPLM3,0
ASNS1,5000
ATPH1e,0
ATPtm,0
BDHm,10000
BHBtm,10000
CBR2,0
CERT1rt,0
CERT2rt,0.0100000000002183
CHLPCTD,0
CHOLK,0
CHOLtu,10000
CITtam,-10000
CITtbm,0
CO2tm,-600
COt,0
CRNt,-10000
CSm,0
CYSGLUexR,-10000
CYTK10n,-10000
CYTK14,10000
CYTK1n,10000
CYTK7,-10000
DADNK,6582.20833333333
DADNt4,0
DAGK_hs,8131.11166666667
DAGKn_hs,0
DAGt,8131.11166666667
DCK1m,-9000
DCSPTN1CRNt,0
DCYTt,-9000
DGAT,0
DHCR72r,0
D_LACt2,0
D_LACtm,0
DMHPTCRNte,-10000
DOPAMT,0
DOPAt4_2_r,-10000
DOPAtu,10000
DTDPtn,0
DTTPtn,0
ECOAH1m,0
ELAIDCPT1,10000
EX_3aib[e],0
EX_acetone[e],0
EX_amp[e],10000
EX_arachd[e],-5432.22083333333
EX_atp[e],0
EX_bhb[e],-10000
EX_chol[e],-10000
EX_chsterol[e],0
EX_co[e],0
EX_crn[e],10000
EX_dag_hs[e],-8131.11166666667
EX_dopa[e],0
EX_gsn[e],-10000
EX_h2o2[e],-10000
EX_hco3[e],600
EX_hdca[e],-3737.77666666667
EX_i[e],2498.89083333333
EX_imp[e],10000
EX_lac_D[e],0
EX_lneldc[e],0
EX_lnlc[e],0
EX_lpchol_hs[e],0
EX_o2s[e],-1728.87333333333
EX_ocdca[e],0
EX_ocdcea[e],0
EX_pchol_hs[e],10000
EX_pe_hs[e],0
EX_prostgf2[e],0
EX_ps_hs[e],0
EX_retn[e],-600
EX_Rtotal3[e],0
EX_tag_hs[e],0
EX_thyox_L[e],-2498.89083333334
EX_triodthy[e],2498.89083333333
EX_utp[e],-10000
EX_vacc[e],0
EX_vitd3[e],0
EX_xolest2_hs[e],0
FACOAL1813,10000
FACOAL1822,0
FACOAL204,-10000
FATP5t,-10000
FE2t,0
FRDPtc,-10000
FRDPtr,10000
FUMAC,0
FUMm,2600
FUMtm,-10000
FUMTSULtm,3200
G6PPer,0
G6Pter,-10000
GBA,0
GGNG,0
GLCt1r,10000
GLCter,0
GLDBRAN,0
GLNtm,0
GLNtN1,-10000
GLPASE2,0
GLUDxm,-10000
GLUNm,0
GLUt2m,-10000
GLUt6,0
GLYAMDTRc,0
GLYC3Ptm,0
GLYOXm,0
GLYt4,0
GPAM_hs,1868.88833333333
GSNt,10000
GTHRDt,0
GUACYC,0
H2CO3Dm,0
H2O2t,1728.88333333334
H2Oter,0.0100000000002183
H2Otn,0
HACD1m,0
HGNTOR,0
HISt4,0
HMGCOASim,0
HMGLm,0
HOXG,0
Htr,-0.0200000000004366
ICDHy,0
ICDHyrm,-10000
ILEt4,0
ILEtec,-10000
It,-2498.89083333334
KCCt,0
LDH_Lm,9400
L_LACtcm,9400
L_LACtm,0
LNELDCt,0
LPASE,0
LPCHOLt,0
LPS2,0
LYStiDF,0
MACACI,0
MALtm,10000
MALTSULtm,-3200
MAOLNOR,0
MDHm,-10000
ME1m,0
ME2,9400
MELATNOX,0
METt4,10000
METtec,10000
MGSA,0
MGSA2,0
MI1P_Dtn,0
MMMm,1600
MMTSADm,1600
MTHFD2m,-7200
MTHFDm,7200
NADHtpu,0
NADPHtru,0
NADPtru,0
NCKt,-8749.9975
NDP6,0
NDP7er,0.0100000000002183
NDP7ex,0
NDP8ex,0
NDPK1m,0
NDPK4n,0
NICRNS,0
NOS1,0
NOt,0
NP1,0
NTD2e,0
NTD7e,0
O2tm,0
OCDCAtr,0
OCDCEAtr,0
OCOAT1m,0
ORNtiDF,0
PA_HStn,0
PAIL_HStn,0
PCm,9400
PDE4,0
PDHm,0
PEPCKm,0
PEt,0
PGCD,0
PGESr,0
PGS,5432.22083333333
PI345P3P,0
PI45P3K,0
PI5P3K,0
PIK3,0
PIK5,0
PIPLCn,0
PIter,-9999.99
PItx,0
PLA2_2,0
PPAm,0
PPAP,0
PROtm,0
PSSA1_hs,-10000
PSt3,0
PVD3,0
PYRt2m,-10000
RAI3,600
RTOT1,10000
SMS,0
SPODMe,864.436666666667
SUCD1m,9400
SUCOASm,-9400
THYMDt1,0
THYOXt2,2498.89083333333
TRIODTHYt2,-2498.89083333334
TRIOK,1468.88833333333
UDPGP,9999.99
UMPK2,0
UMPK3,10000
UMPK4,0
UMPK6,0
UMPK7n,10000
UMPKn,-10000
UNK2,0
URIK1,0
URIt,-10000
VACCt,0
VALt4,10000
VD3,0
XOLEST2te,10000
EX_4abutn[e],-9135.55333333333
EX_dgmp[e],-10000
EX_dgtp[e],10000
EX_dha[e],-10000
EX_dhap[e],10000
EX_HC01609[e],-105.281041666665
EX_HC01610[e],105.281041666665
EX_HC01700[e],0
EX_prpp[e],-10000
r0016,0
r0028,0
r0051,-10000
r0081,0
r0083,2800
r0122,0
r0153,0
r0165,0
r0166,0
r0178,0
r0205,600
r0224,0
r0242,-10000
r0245,0
r0249,10000
r0276,-10000
r0281,-9135.55333333333
r0301,0
r0309,0
r0310,0
r0377,0
r0391,0
r0407,-10000
r0408,-10000
r0410,-10000
r0423,2800
r0603,-600
r0643,-1600
r0644,0
r0649,0
r0655,0
r0774,105.281041666665
r0801,-10000
r0819,10000
r0821,-10000
r0822,10000
r0838,10000
r0840,10000
r0841,-10000
r0885,-1000
r0886,0
r0892,-10000
r0911,0
r0915,10000
r0917,0
r0927,0
r0941,9400
r0944,-10000
r1050,0
r1078,0
r1101,0.472035651957118
r1104,0
r1112,0
r1116,0
r1147,-2800
r1156,-10000
r1159,0
r1185,0
r1187,0
r1188,0
r1189,0
r1190,0
r1290,10000
r1348,0.472035651957118
r1354,0
r1393,0
r1401,0
r1403,0
r1418,-10000
r1423,0
r1434,0
r1464,-10000
r1468,0
r1544,-10000
r1547,-10000
r1549,-10000
r1551,-10000
r1552,10000
r1553,10000
r1554,10000
r1559,-10000
r1560,-10000
r1561,-10000
r1564,-10000
r1565,-10000
r1566,10000
r1567,10000
r1570,10000
r1571,10000
r1573,5000
r1574,-10000
r1575,-10000
r1578,-10000
r1580,10000
r1584,10000
r1586,-10000
r1587,-10000
r1589,-10000
r1591,-10000
r1592,0
r1593,10000
r1594,10000
r1595,10000
r1598,-10000
r1599,-10000
r1600,-5000
r1602,-10000
r1603,-10000
r1605,10000
r1606,10000
r1608,-10000
r1611,-10000
r1612,-10000
r1613,-10000
r1614,0
r1617,0
r1618,10000
r1619,-10000
r1621,-10000
r1622,-10000
r1623,-10000
r1624,-10000
r1627,10000
r1628,-10000
r1629,-10000
r1630,-10000
r1631,-10000
r1633,10000
r1634,10000
r1637,5000
r1639,-10000
r1641,-10000
r1642,-10000
r1643,-10000
r1645,-10000
r1647,-10000
r1648,-10000
r1649,-10000
r1650,-10000
r1653,0
r1654,-10000
r1655,-10000
r1656,-10000
r1657,-10000
r1658,-10000
r1660,-10000
r1661,-10000
r1662,10000
r1672,0
r2100,10000
r2113,10000
r2114,-10000
r2116,9400
r2117,600
r2120,-10000
r2123,9400
r2125,0
r2126,-10000
r2130,0
r2313,-4567.77916666667
r2320,4567.77916666667
r2331,0
r2333,0
r2375,10000
r2377,8800
r2391,8800
r2438,0
r2473,10000
r2520,1000
r2534,-10000
RE0344C,0
RE0569E,0
RE1573M,0
RE2069C,10000
RE2078M,-10000
RE2130C,0
RE2270E,-1864.44666666667
RE2426C,0
RE2445E,10000
RE2848C,3333.33333333333
RE2851C,-3333.33333333333
RE2912M,0
RE2954C,0
RE3238C,-10000
RE3239C,-10000
RE3245C,0
RE3269C,0
RE3270C,0
RE3301C,-10000
RE3347C,-10000
RE3566C,-10000
RE3567C,-10000
EX_HC00955[e],0
EX_HC02203[e],5432.22083333333
EX_HC02217[e],0
EX_malcoa[e],0
EX_arachcoa[e],0
EX_CE2250[e],0
EX_CE5786[e],1864.44666666667
EX_CE5789[e],-1864.44666666667
EX_CE5867[e],-10000
EX_CE5868[e],10000
EX_CE5869[e],10000
EX_crm_hs[e],0
PIt8,-10000
C140CPT1,0
C16DCe,0
C40CPT1,0
C4CRNCPT2,0
C5DCe,0
C6DCe,10000
C8DCe,0
DDECCRNe,0
DECCRNe,10000
HIVCRNe,0
CHOLESTTDe,0
HISCAT1,-10000
HISSNAT5tc,-10000
ILELAT1tc,10000
LINOFATPtc,0
OLEICFATPtc,0
PALFATPtc,3737.77666666667
PCHOLHSTDe,10000
TAGHSTDe,0
XOLEST2HSTDle,10000
ADNK4,0
ASPPROASCT1,10000
CHOLESACATc,0
CHSTEROLtrc,0
DHAPtc,0
EX_ptth[e],0
FE3MTP1,0
FRDPtcr,-10000
KHte,8749.9975
LAPCOAe,0
MAL_Ltx,0
MDHx,0
MTHFR3,1468.88833333333
NADtx,0
OCDCAFATPc,0
PAN4PPe,0
PPItm,0
PTPATe,0
RTOTAL3FATPc,0
SPMTDe,-10000
THMDt5le,0
4MOPte,0
