Reaction,Flux
2HBO,0
34DHOXPEGOX,-6045.50209205021
34DHOXPEGt,-6045.50209205021
34DHXMANDACOX_NADP_,6045.50209205021
3MOX4HOXPGALDOX,0
3MOX4HOXPGALDOX_NADP_,0
5MTHFt,0
7DHCHSTEROLtr,-10000
ACCOACm,0
ACOAD8m,0
ADEt,0
ADK1m,10000
ADK3m,-9817.99163179916
ADNt,10000
AGTim,0
AKGt4_3,-4696.00659800451
ALAt4,10000
ALATA_L,-9392.01319600901
ARGLYSex,10000
ARGSS,0
R_group_phosphotase_3,0
ARTFR11,0
ARTPLM1,500
ARTPLM3,0
ASNS1,0
ASNt4,0
ASPGLUm,3408.99581589958
ASPTAm,-3408.99581589958
ATPtm,0
C181CRNt,0
CATm,5000
CERT2rt,0
CHLPCTD,0
CHOLK,0
CHOLtu,0
CHSTEROLt1,0
CITt4_2,10000
CITtam,-10000
CITtbm,0
CLOHtex2,0
CO2tm,3408.99581589958
COAtm,0
COAtp,0
COt,0
CRNCAR3tp,0
CSm,0
CSNAT2m,0
CSNAT3x,0
CYSGLUexR,-10000
CYSGLYexR,-10000
CYStec,607.986803990991
CYTDK1,0
CYTDt,-10000
CYTK10,10000
CYTK11,-10000
CYTK12,10000
CYTK13,0
CYTK5,10000
CYTK7,-10000
CYTK8,-10000
CYTK9,-10000
DADNK,0
DADNt4,-10000
DAGK_hs,3588.01979401352
DAGt,3588.01979401352
DDPGAm,0
DESAT18_3,0
DESAT18_9,0
DHCR241r,0
DHCR242r,10000
DHCR72r,10000
DINt,0
DOPAtu,-10000
DURAD2,0
EBP1r,10000
EHGLATm,0
EX_13_cis_retnglc[e],0
EX_2hb[e],0
EX_34dhoxpeg[e],-6045.50209205021
EX_5mthf[e],0
EX_6thf[e],0
EX_7thf[e],0
EX_amp[e],10000
EX_arachd[e],0
EX_ascb_L[e],0
EX_atp[e],0
EX_chol[e],0
EX_chsterol[e],10000
EX_cmp[e],-10000
EX_co[e],0
EX_creat[e],0
EX_dag_hs[e],-4588.01979401352
EX_dhdascb[e],0
EX_dopa[e],10000
EX_gluala[e],0
EX_gsn[e],0
EX_h2o2[e],-5000
EX_hco3[e],-10000
EX_hdca[e],0
EX_inost[e],5911.98020598648
EX_leuktrC4[e],0
EX_leuktrE4[e],0
EX_lnlc[e],-10000
EX_lpchol_hs[e],0
EX_mag_hs[e],0
EX_mthgxl[e],0
EX_ncam[e],0
EX_no[e],0
EX_o2s[e],0
EX_ocdca[e],0
EX_ocdcea[e],0
EX_pchol_hs[e],0
EX_pe_hs[e],0
EX_prostgf2[e],-10000
EX_ps_hs[e],10000
EX_retinol[e],0
EX_retn[e],-10000
EX_Rtotal3[e],0
EX_strdnc[e],0
EX_udp[e],0
EX_utp[e],-10000
EX_vacc[e],0
EX_xolest2_hs[e],0
FACOAL160i,0
FADH2tru,10000
FADtru,10000
FE3R2e,0
FOLt2,3840.22751046025
FRUt1r,0
FUMm,10000
FUMTSULtm,10000
G3PD2m,9500
G5SDym,0
G6Pter,0
GACMTRc,0
GALGLUSIDEtl,0
GALtly,0
GBA,10000
GGH_7THFe,0
GGLUCT,0
GGNG,458.35653363373
GLB1,0
GLBRAN,2111.04924364339
GLCt1r,-5319.5449790795
GLCtg,0
GLCURter,0
GLDBRAN,2111.04924364339
GLGNS1,2111.04924364339
GLPASE1,2111.04924364339
GLPASE2,458.35653363373
GLU5Km,0
GLUt2m,-10000
GLYAMDTRc,0
GLYC3Ptm,0
GLYCK2,0
GLYtm,0
GPAM_hs,500
GSNtl,0
GUACYC,0
GULNDer,0
GULNter,0
H2O2t,5000
H2O2tm,5000
H2Oter,-10000
H2Otg,0
H2Otly,0
HOXG,0
Htg,0
Htr,0
ICDHy,3408.99581589958
ICDHyrm,-10000
ILEtec,-10000
INSTt4,-5911.98020598648
KAS8,0
LCTStg,0
LDH_Lm,0
LEUKTRC4t,0
L_LACtm,0
LNLCCPT1,10000
LPCHOLt,0
LTD4DP,0
LYSt4,0
LYStiDF,10000
MAGt,0
MALtm,0
MALTSULtm,-10000
MAOLNOR,0
MAOX,0
MCD,0
MDHm,3408.99581589958
MELATNOX,0
MGSA2,0
MMEm,0
MMMm,0
MTHGXLt,0
NDP6,0
NDP7er,0
NDP7g,0
NDPK1m,-9817.99163179916
NICRNS,0
NOS1,0
NOS2,0
NP1,0
NTD12,0
NTD9l,0
NTPP10,0
OPAHir,0
PCm,0
PDE4,0
PDHm,0
PEPCKm,0
PEt,0
PHEtec,-5303.9934019955
PI345P3P,0
PI45P3K,0
PI4P3K,0
PI4PP,0
PI5P3K,0
PIK4,0
PIK5,0
PItg,0
PPAm,182.008368200837
PPAP,0
PROSTGI2tr,-10000
PROtm,10000
PSFLIP,0
PSSA1_hs,0
PSt3,-10000
RADH,0
RAI3,10000
RDH1a,0
RETNGLCt2,0
RTOT1,0
RTOTAL3t,0
SERt4,10000
SMS,0
SO4CLtex2,0
SPODMe,0
STRDNCt,0
SUCCt2m,-10000
SUCCt4_2,0
SUCD1m,0
SUCOAS1m,0
THMPPtm,0
TXA2tr,0
TXASr,0
UDPGALtg,0
UDPGD,0
UDPGLCAter,0
UDPGP,0
UGALGTg,0
UMPK2,-10000
UMPK3,10000
UMPK4,0
UMPK6,-10000
UMPK7,10000
UNK2,8105.00241390409
VACCt,0
XOLEST2te,10000
EX_dhap[e],-4696.00659800451
EX_HC00229[e],8159.77248953975
EX_prpp[e],-10000
r0016,0
r0024,0
r0028,0
r0051,-10000
r0055,-9454.49790794979
r0074,0
r0081,0
r0083,6591.00418410042
r0122,9392.01319600901
r0139,-10000
r0153,0
r0178,0
r0224,0
r0276,0
r0301,0
r0331,0
r0358,0
r0390,-8159.77248953975
r0423,10000
r0425,-3408.99581589958
r0431,0
r0432,0
r0512,0
r0571,0
r0616,0
r0641,0
r0642,0
r0643,0
r0655,0
r0686,0
r0821,-10000
r0822,10000
r0892,-10000
r0911,-10000
r0921,0
r0941,0
r0942,0
r0975,0
r1005,0
r1050,-10000
r1052,0
r1078,0
r1088,-10000
r1097,2.09205020920502
r1101,0
r1116,0
r1150,0
r1154,0
r1185,0
r1187,0
r1188,0
r1189,0
r1190,0
r1254,0
r1290,4500
r1292,0
r1359,2.09205020920502
r1380,-10000
r1381,10000
r1393,1652.69271000966
r1403,0
r1418,0
r1423,0
r1434,0
r1454,0
r1468,0
r1493,0
r1544,0
r1546,-10000
r1547,-10000
r1549,10000
r1552,10000
r1553,10000
r1554,10000
r1557,10000
r1559,-10000
r1560,-10000
r1562,-10000
r1563,-10000
r1564,-9392.01319600901
r1565,10000
r1566,-10000
r1567,10000
r1570,10000
r1571,10000
r1573,-10000
r1575,-10000
r1578,-5303.9934019955
r1579,0
r1580,-10000
r1581,10000
r1584,10000
r1586,-10000
r1588,-10000
r1589,-10000
r1591,-10000
r1594,10000
r1595,10000
r1597,-10000
r1598,-10000
r1599,-10000
r1600,-10000
r1603,-10000
r1605,10000
r1606,10000
r1608,-10000
r1609,-10000
r1610,-10000
r1613,-10000
r1615,0
r1617,10000
r1618,-4696.0065980045
r1620,-10000
r1621,-10000
r1622,-10000
r1623,10000
r1624,-10000
r1625,10000
r1628,-4696.0065980045
r1630,-10000
r1631,0
r1632,-10000
r1634,-10000
r1635,-10000
r1636,-10000
r1638,-10000
r1640,0
r1641,-10000
r1643,-10000
r1644,-10000
r1649,-10000
r1651,-10000
r1652,-10000
r1653,-10000
r1654,-10000
r1655,-10000
r1656,-10000
r1658,-10000
r1659,-10000
r1660,-10000
r1662,0
r1664,10000
r1665,-10000
r1668,0
r1913,0
r2089,0
r2098,10000
r2100,0
r2121,0
r2123,-10000
r2124,10000
r2129,-10000
r2130,-10000
r2131,10000
r2132,-10000
r2200,0
r2201,0
r2331,10000
r2333,-10000
r2357,-10000
r2364,0
r2367,10000
r2372,10000
r2373,-10000
r2374,0
r2376,-6591.00418410042
r2377,10000
r2379,3408.99581589958
r2380,-3408.99581589958
r2419,0
r2420,10000
r2436,0
r2437,0
r2473,0
r2519,0
r2526,10000
RE0344C,0
RE0383C,0
RE0453C,10000
RE1518M,-5000
RE1573M,0
RE2130C,-10000
RE2147C,0
RE2426C,0
RE2445E,10000
RE2526C,0
RE2649C,0
RE2677E,0
RE2705C,-5218.2424766656
RE2799C,0
RE2912M,0
RE2948C,5218.2424766656
RE2954C,-10000
RE2958C,-10000
RE2998M,5000
RE3238C,-10000
RE3239C,-1000
RE3269C,0
RE3273C,5911.98020598648
RE3301C,-10000
RE3347C,5500
RE3422C,10000
RE3566C,10000
RE3567C,10000
EX_cdp[e],10000
EX_HC02180[e],0
EX_HC02203[e],-10000
EX_HC02205[e],10000
EX_CE5867[e],-10000
EX_CE5868[e],10000
EX_CE5869[e],10000
EX_udpgal[e],0
EX_crm_hs[e],10000
EX_galside_hs[e],0
CHOLESTTDe,0
GLYSNAT5tc,-10000
HISCAT1,0
HISSNAT5tc,-10000
ILELAT1tc,0
ILEPHELAT2tc,0
LEUPHELAT2tc,10000
LINOFATPtc,10000
NCAMDe,0
OLEICFATPtc,0
PALFATPtc,0
VALLAT1tc,10000
XOLEST2HSTDle,10000
ADNK4,0
ASPPROASCT1,0
CHOLESACATc,0
CHOLESTle,0
CHSTEROLtrc,10000
CYSAMOe,0
CYTDt5le,0
DHAPtc,0
EX_dchac[e],0
EX_gum[e],0
EX_gumdchac[e],0
EX_cysam[e],10000
EX_hyptaur[e],-2000
EX_ptth[e],-10000
GLUPROASCT1,0
HYPTROXe,1000
MTHFR3,0
NODe,0
OCDCAFATPc,0
PNTEHe,10000
PPItm,0
RTOTALFATPc,1000
THMDt5le,0
MAL_Lte,3408.99581589958
THYMDtr2,-10000
2PGtr,-607.986803990991
CHOLPtr,0
DCMPtr,0
DHAPtr,4696.00659800451
FUMtr,-3408.99581589958
XMPtr,0
UDPGLCURtr,0
EX_2pg[e],607.986803990991
EX_cholp[e],0
EX_dcmp[e],0
EX_xmp[e],0
EX_udpglcur[e],0
ARACHDFATPtc,0
BUTSMCT1,10000
FOLOATPtc,-3840.22751046025
GSNt2r,0
NACSMCTte,0
PSHSABCtc,0
GLCt4,-10000
CHSTEROLt,0
RETt,0
ARGSUCte,0
EX_argsuc[e],0
EX_pcrn[e],0
LCAT12e,0
LCAT27e,0
LCAT7e,0
MAGOLE_HSe,1000
LPS5e,0
7DHCHSTEROLtd,-10000
BILIVERDt,0
C05953t,-10000
C05953td,0
C06439t,0
CE0955tr,-10000
CE5304t,10000
EX_7dhchsterol[e],-10000
EX_biliverd[e],0
EX_CE5304[e],10000
EX_HC00900[e],0
EX_lnlccrn[e],10000
EX_magole_hs[e],1000
EX_magpalm_hs[e],0
EX_nwharg[e],0
EX_pcholhep_hs[e],0
EX_peole_hs[e],0
EX_ttdcrn[e],-10000
EX_xolest204_hs[e],0
GLYC_Rt,0
HC00900t2,0
HC02149td,0
LNLCCRNtd,10000
NWHARGtd,0
TXB2c,0
EX_5aop[e],0
EX_glyc_R[e],0
EX_ttdcea[e],10000
TTDCEAt,10000
r0202m,0
NORMETEt,0
MEPIt,0
DHBPTt,0
THBPTt,0
ADPRIBte,0
EX_normete_L[e],0
EX_mepi[e],0
EX_dhbpt[e],0
EX_thbpt[e],0
EX_adprib[e],0
TTDCRNtr,10000
FldAct,10000
2MOPtm,0
r2514m,0
FAS180,0
5AOPt2,0
AGPAT2,500
AGPAT3,0
C181CPT2rbc,0
UNK3r,-8105.00241390409
DXTRNt,0
EX_dxtrn[e],0
ADK1,-10000
ADNCNT3tc,-10000
CO2t,-10000
CPPPGO,0
CTPS1,10000
CTPS2,0
ENO,-607.986803990991
EX_adn[e],0
EX_akg[e],4696.00659800451
EX_asn_L[e],0
EX_asp_L[e],0
EX_co2[e],10000
EX_cytd[e],10000
EX_dad_2[e],0
EX_din[e],0
EX_fum[e],3408.99581589958
EX_h[e],1000
EX_h2o[e],1000
EX_ile_L[e],0
EX_ins[e],0
EX_lac_L[e],10000
EX_leu_L[e],0
EX_lys_L[e],0
EX_mal_L[e],-3408.99581589958
EX_met_L[e],0
EX_no2[e],5218.2424766656
EX_o2[e],-1000
EX_orn[e],0
EX_pi[e],0
EX_ppi[e],10000
EX_pro_L[e],0
EX_ser_L[e],-10000
EX_succ[e],0
EX_thymd[e],0
EX_val_L[e],0
FBA,-2098.00329900225
FBP,0
FCLTc,0
FUM,-10000
G3PD1,-10000
GALU,10000
GHMT2r,-10000
GK1,0
GLNS,3408.99581589958
GMPS2,0
H2CO3D,-10000
HEX1,0
HMBS,0
IMPD,0
INSt2,0
MTHFD,-10000
NDPK1,-9392.01319600901
NDPK2,10000
NDPK3,-10000
NDPK5,10000
NDPK7,-10000
NNATr,0
O2t,0
PGI,10000
PGMT,7901.99670099774
PPBNGS,0
PUNP1,0
THMDt2r,-10000
TMDK1,0
TPI,2098.00329900226
UDPG4E,0
UPP3S,0
UPPDC1,0
r0010,0
r0060,10000
r0398,0
EX_pnto_R[e],10000
EX_gly[e],-10000
EX_cys_L[e],0
EX_ala_L[e],9392.01319600901
EX_his_L[e],0
EX_thr_L[e],0
EX_gln_L[e],-4696.0065980045
EX_phe_L[e],0
EX_tyr_L[e],0
NTD4,10000
NTD5,0
NTD6,0
NTD7,0
NTD11,0
EX_nac[e],0
ADNK1,0
CYTK1,10000
CYTK2,-10000
EX_cit[e],0
EX_fol[e],0
EX_fru[e],0
EX_trp_L[e],0
FACOAL161,0
GALK,0
GALT,0
GLYOX,9454.49790794979
LDH_D,9454.49790794979
LDH_L,-10000
LGTHL,9454.49790794979
MI3PP,0
PFK,7901.99670099775
PIt7,-10000
PYK,0
r0792,0
r1667,-10000
EX_ppa[e],0
UGLT,0
EX_pyr[e],-10000
EX_lcts[e],0
EX_ade[e],-10000
GLNt4,10000
MTHFD2,10000
EX_taur[e],2000
3MOX4HOXMte,0
EX_3mox4hoxm[e],0
4OHBUTm,0
4OHBUTtmc,0
4OHBUTtce,0
EX_4ohbut[e],0
PAIL_hs_t1e,5911.98020598648
SPHMYLN18115_hs_ATPt,0
SPHMYLN18115_hs_t1,0
SPHMYLN181181_hs_ATPt,0
SPHMYLN181181_hs_t1,0
SPHMYLN181221_hs_ATPt,0
SPHMYLN181221_hs_t1,0
34DHOXMANDte,6045.50209205021
13_CIS_RETNte,10000
EX_13_cis_retn[e],10000
EX_34dhoxmand[e],6045.50209205021
CE5643te,-5218.2424766656
EX_CE5643[e],-5218.2424766656
FDPte,10000
EX_fdp[e],10000
DOPACCL,0
