Reaction,Flux
34DHOXPEGOX,-5887.51165256059
34DHOXPEGt,-5887.51165256059
34DHXMANDACOX,0
34DHXMANDACOX_NADP_,5887.51165256059
3MOX4HOXPGALDOX,3000
3SALAASPm,-10000
4MOPt2im,0
A4GALTg,0
ABUTt4_2_r,-10000
ACOAD10m,0
ACONTm,-10000
ACRNtm,0
ACt2r,0
ADA,0
ADEt,0
ADK1m,3871.04943281068
ADK3m,-3436.24410393445
ADNt,10000
ADRNt,0
AGPAT1,748.806020784792
AKGDm,6563.75589606555
AKGMALtm,-10000
ALATA_L,-10000
ALCD21_D,8056.24417371971
ALCD21_L,0
ALCD22_D,8056.24417371971
ALDD2y,0
ALR2,0
ALR3,0
AMPDA,0
ARGLYSex,10000
ARGSS,0
R_group_phosphotase_1,0
R_group_phosphotase_2,0
ARTFR31,8888.88888888889
ARTPLM1,0
ARTPLM2,0
ASNNm,10000
ASNt4,0
ASNtm,10000
B3GNT31g,0
B3GNT32g,0
B3GNT33g,0
BILDGLCURtr,0
BILIRED,0
BILIRUBt2,0
BILIRUBtr,0
C180CPT1,1111.11111111111
C181CPT1,0
C181CRNt,0
C204CPT1,0
C226COAtx,0
CATm,1666.66666666667
CBPSam,0
CDIPTr,-2763.66197772832
CDS,0
CERT1gt,0
CERT1rt,0
CERT2rt,0
CHLPCTD,0
CHOLt4,-2763.66197772832
CHSTEROLt2,0
CHSTEROLt3,0
CITRtm,0
CITtam,-10000
CITtbm,0
CKc,-10000
CLPNDt,0
CLS_hs,0
CO2tm,-1775.02330512117
COAtr,0
COt,0
CREATt4_2_r,-10000
CRNCAR3tp,0
CRVNCtr,-10000
CSm,0
CSNAT3x,0
CSNATm,0
CSNATr,0
CYSGLUexR,-10000
CYTD,0
CYTDK1,0
CYTDt,0
CYTK12,0
CYTK14,-10000
CYTK5,10000
CYTK7,10000
CYTK9,-10000
DADNK,7587.88732590944
DADNt4,7587.88732590944
DAGK_hs,-10000
DAGt,-10000
DCSPTN1t,0
DESAT18_3,0
DESAT18_4,0
DESAT18_9,0
DHCR242r,0
DHPR2,0
DNDPt25m,7587.88732590944
DNDPt28m,7587.88732590944
DNDPt32m,4174.83546844672
DNDPt9m,7587.88732590944
DOPAMT,5887.51165256059
DURIt,0
EX_13_cis_retnglc[e],0
EX_34dhoxpeg[e],-5887.51165256059
EX_5dhf[e],0
EX_5mthf[e],10000
EX_6dhf[e],0
EX_adrn[e],0
EX_adrnl[e],0
EX_ala_D[e],0
EX_arachd[e],-10000
EX_atp[e],-2412.11267409056
EX_bildglcur[e],0
EX_bilirub[e],0
EX_chol[e],2763.66197772832
EX_chsterol[e],0
EX_clpnd[e],0
EX_cmp[e],0
EX_co[e],0
EX_creat[e],10000
EX_crvnc[e],0
EX_dag_hs[e],10000
EX_dcsptn1[e],0
EX_galgalgalthcrm_hs[e],0
EX_gsn[e],-10000
EX_h2o2[e],1000
EX_hco3[e],0
EX_inost[e],0
EX_leuktrC4[e],0
EX_leuktrE4[e],10000
EX_leuktrF4[e],-10000
EX_lnlc[e],0
EX_lpchol_hs[e],-2763.66197772832
EX_mag_hs[e],0
EX_mthgxl[e],8056.24417371971
EX_nrpphr[e],0
EX_ocdca[e],-10000
EX_ocdcea[e],-9251.19397921521
EX_pchol_hs[e],0
EX_pglyc_hs[e],2763.66197772832
EX_ps_hs[e],7236.33802227168
EX_retn[e],0
EX_retnglc[e],0
EX_Rtotal[e],2763.66197772832
EX_Rtotal2[e],-748.806020784792
EX_strdnc[e],0
EX_tag_hs[e],0
EX_ttdca[e],0
EX_ump[e],-10000
EX_utp[e],-10000
EX_vacc[e],0
EX_vitd3[e],-10000
FACOAL160i,0
FACOAL1812,0
FACOAL1832,0
FACOAL184,0
FACOAL204,-10000
FACOAL205,0
FACOAL224,0
FACOAL2251,0
FACOAL2252,0
FACOAL226,0
FADH2tru,0
FADtru,0
FAOXC226205x,0
FATP3t,-10000
FUMm,10000
FUMtm,-6563.75589606555
G5SADrm,296.431801038369
G5SDym,0
G6PDH1rer,-2500
G6PDH2rer,2500
G6PPer,0
GALGALGALTHCRMte,0
GALGALGALTHCRMtg,0
GGH_6DHFe,0
GGNG,0
GGT6,-10000
GLBRAN,0
GLCMter,0
GLCt1r,-10000
GLCt2_2,10000
GLCURter,0
GLDBRAN,0
GLGNS1,0
GLPASE1,0
GLPASE2,0
GLU5Km,0
GLUDxm,1648.92028804829
GLUDym,-10000
GLUt2m,1056.05668597156
GLUTCOADHm,0
GLYCK2,0
GPAM_hs,10000
GSNt,10000
GUACYC,0
GULNDer,0
GULNter,0
H2O2t,-1000
H2Oter,-10000
H2Otg,0
HISt4,0
HOXG,0
Htg,0
Htr,5000
ICDHy,0
ICDHyrm,-10000
ILEt4,0
ILEtec,-10000
INSt,0
INSTt4,0
KAS8,0
LEUKTRF4t,10000
LEUt5m,0
LEUTAm,0
LEUtec,10000
LPASE,2763.66197772832
LPCHOLt,2763.66197772832
LPS2,0
LPS3,0
LTC4CP,0
LYSt4,10000
MAGt,0
MAOX,3000
MDHm,8691.73727988272
ME1m,0
ME2,4112.48834743941
METAT,0
METS,0
METt4,0
METtec,10000
MGSA,0
MOGAT,0
MTHFD2m,-10000
MTHFDm,10000
MTHGXLt,8056.24417371971
NADHtru,5000
NADtpu,0
NADtru,5000
NDP6,0
NDP7er,0
NDP7g,0
NICRNS,8588.8265092816
NKCC2t,-10000
NP1,8588.8265092816
NRPPHRtu,0
NTD2e,10000
NTD4e,0
NTD7e,0
O2Stm,6666.66666666667
O2tm,-5000
OCBTm,0
ORNt3m,9703.56819896163
ORNTArm,-9703.56819896163
ORNtiDF,0
ORPT,0
P45027A16m,0
P5CDm,296.431801038369
PA_HSter,0
PCHOL_HStg,0
PCHOLP_hs,10000
PCm,0
PDE4,0
PDHm,0
PEFLIP,10000
PEPCKm,0
PGLYCt,-2763.66197772832
PGPP_hs,2763.66197772832
PGPPT,2763.66197772832
PHEt4,10000
PI345P3P,0
PI45P3K,0
PI4P3K,0
PIK5,0
PIter,0
PItg,0
PPAm,1845.97881959463
PPAP,0
PPAt,0
PROSTGI2t,-10000
PSSA1_hs,-10000
PSSA2_hs,10000
PSt3,-7236.33802227168
PVD3,-10000
PYRt2m,0
RADH2,0
RAI3,-10000
RETNGLCt,0
RETNGLCt2,0
RETNGLCtr,0
RETNt,-10000
RETNtr2,0
RTOT3,10000
RTOTALt,-2763.66197772832
SALMCOM,0
SALMCOM2,0
SMS,0
SPHMYLNtg,0
SPODMm,3333.33333333333
STRDNCt,0
SUCCt2m,5211.26740905562
SUCD1m,6563.75589606555
SUCOAS1m,3436.24410393445
SUCOASm,-10000
TCHOLAt,10000
TCHOLAte,-10000
THD1m,2412.11267409056
THRt4,0
THYMDt1,0
TMNDNCCOAtx,0
TRDR,10000
UDPGALtg,0
UDPGD,0
UDPGLCAter,0
UDPGNP,0
UDPGP,0
UGT1A10r,0
UGT1A5r,0
UMPK2,-10000
UMPK3,0
UMPK4,0
UMPK7,0
UNK2,0
URIt,0
VACCt,0
VALt4,0
VD3,-10000
XOLEST2te,10000
EX_dha[e],-10000
EX_dhap[e],0
EX_dtmp[e],-10000
EX_HC00229[e],500
EX_orot[e],0
EX_prpp[e],10000
r0002,0
r0028,0
r0051,10000
r0062,0
r0068,0
r0074,-10000
r0083,5211.26740905563
r0097,0
r0122,0
r0139,-10000
r0242,-10000
r0245,-10000
r0276,-10000
r0301,0
r0308,0
r0317,10000
r0390,-500
r0391,8588.8265092816
r0425,5211.26740905562
r0443,0
r0474,0
r0494,-10000
r0531,0
r0541,0
r0603,0
r0616,0
r0638,0
r0783,0
r0784,-10000
r0791,0
r0817,10000
r0819,-4788.73259094437
r0821,10000
r0826,0
r0838,-1648.92028804829
r0886,0
r0892,-10000
r0913,-10000
r0941,0
r1008,0
r1050,0
r1081,0
r1094,0
r1096,0
r1097,4.99776240087621
r1105,0
r1109,0
r1112,0
r1116,7587.88732590944
r1147,4788.73259094438
r1156,0
r1159,0
r1169,0
r1181,0
r1185,0
r1187,0
r1188,0
r1189,0
r1190,0
r1254,0
r1290,10000
r1292,0
r1337,0
r1356,0
r1358,0
r1359,4.99776240087621
r1393,0
r1403,0
r1418,-10000
r1423,10000
r1431,7587.88732590944
r1433,7587.88732590944
r1493,10000
r1544,0
r1548,-10000
r1549,-10000
r1551,10000
r1552,-10000
r1553,10000
r1559,-10000
r1561,-10000
r1562,10000
r1564,10000
r1565,-10000
r1567,-10000
r1573,10000
r1574,-10000
r1580,-10000
r1585,-10000
r1586,10000
r1588,-5763.66197772832
r1590,-10000
r1593,10000
r1596,0
r1597,-10000
r1598,-10000
r1599,-10000
r1602,10000
