Reaction,Flux
2HCO3_NAt,-10000
34DHOXPEGOX,-10000
34DHOXPEGt,-10000
34DHXMANDACOX_NADP_,10000
3AIBTm,10000
3AIBtmi,10000
3MLDAt,0
3MOX4HOXPGALDOX,10000
3MOX4HOXPGALDOX_NADP_,-10000
5AOPtm,0
ACACT10m,0
ACACT1rm,5238.09523809524
ACCOAtr,10000
ACGALtly,0
ACRNtm,10000
ACSm,0
ACt2m,0
ADAe,9000
ADK1m,10000
ADK3m,-10000
ADNt,-4495.74704931973
ADPRIBt,0
AHCYStr,0
AKGDm,5000
AKGMALtm,-10000
ALADGLNexR,10000
ALADGLYexR,0
ALAGLNexR,-10000
ALAGLYexR,-10000
ALAt4,10000
ALATA_L,0
ALCD2if,0
ALDD2y,0
AMETr,0
AMPDA,0
ARACHCRNt,-10000
ARGLYSex,10000
ARGSS,0
R_group_phosphotase_1,0
R_group_phosphotase_2,0
ARTFR11,9285.71428571429
ARTFR12,0
ARTFR41,0
ARTPLM1,0
ARTPLM2,10000
ASCBt4,0
ASNS1,0
ASNt4,10000
ASPt6,0
ATPH1e,0
ATPtm,0
BILGLCURt,-10000
C160CPT1,-9285.71428571429
C160CPT2,714.285714285714
C161CPT1,-1.81898940354586e-12
C161CPT2,-1.81898940354586e-12
C161CRNt,-1.81898940354586e-12
C180CPT1,0
C180CPT2,0
C180CRNt,0
C181CPT2,-10000
C181CRNt,0
C204CPT1,-10000
CATm,0
CDIPTr,0
CERT1rt,0
CERT2gt,0
CERT2rt,0
CHAT,-10000
CHLPCTD,0
CHOLtu,-10000
CKc,835.031513605438
CLOHtex2,10000
CLS_hs,0
CO2tm,-5000
COAtm,-10000
COAtr,-10000
COt,0
CRNt,-10000
CSNATer,10000
CSNATm,10000
CYSGLUexR,-10000
CYSGLYexR,-10000
CYSt4,0
CYStec,-7569.72539115646
CYTDK1,3976.19047619048
CYTDt,3976.19047619048
CYTK11,10000
CYTK12,-3976.19047619048
CYTK13,0
CYTK14,-10000
CYTK5,-10000
CYTK7,-2147.96168367347
CYTK9,7952.38095238095
DADNK,0
DADNt4,4495.74704931973
DAGK_hs,0
DAGt,0
DASCBR,0
DCK1m,6023.80952380952
DCYTt,6023.80952380952
DESAT18_9,0
DESAT20_1,0
DHAAt1r,0
DHFtm,0
DNDPt11m,0
DOPAMT,0
DSAT,0
DURAD2,4495.74704931973
ELAIDt,0
EX_10fthf[e],5000
EX_10fthf5glu[e],-5000
EX_13_cis_retnglc[e],0
EX_34dhoxpeg[e],-10000
EX_3aib[e],10000
EX_3mlda[e],0
EX_5dhf[e],0
EX_5mthf[e],0
EX_6thf[e],0
EX_ach[e],-10000
EX_ala_D[e],-10000
EX_amp[e],10000
EX_arachd[e],0
EX_ascb_L[e],-10000
EX_atp[e],0
EX_bilglcur[e],0
EX_bilirub[e],0
EX_chol[e],10000
EX_chsterol[e],0
