Reaction,Flux
4HGLSDm,0
5MTHFt2,0
ACALDtm,-495.969394726055
ACOAD10m,0
ACONTm,0
ACRNtm,0
ACt2r,-9000
ADA,495.969394726055
ADK1m,0.00182008368210518
ADK3,-10000
AKGMALtm,-9256.06181795276
ALATA_L,9150.8402787266
ALDD2xm,495.969394726055
ARGSS,0
R_group_phosphotase_1,0
ARTFR61,0
ARTPLM1,0
ASNS1,0
ASPGLUm,0
BDHm,0
BHBtm,0
BILGLCURt,0
C226CRNt,0
CATm,124.000303702434
CEPTC,0
CERT2rt,0
CHLPCTD,0
CHOLATEt2,2157.12529034021
CITtbm,0
COt,0
CRTNsyn,5143.63885230223
CSNATm,0
CYSt4,10000
CYTK10,0
CYTK3,10000
CYTK7,-10000
DADNK,0
DADNt4,495.969394726055
DAGK_hs,0
DDPGAm,0
DESAT16_2,0
DOPAMT,0
DOPAt4_2_r,-10000
DRPA,495.969394726055
DURIK1m,0
EHGLAT2m,0
EX_5mthf[e],0
EX_7thf[e],0
EX_amp[e],10000
EX_arachd[e],0
EX_atp[e],0
EX_bhb[e],0
EX_bilglcur[e],0
EX_cholate[e],-2157.12529034021
EX_chsterol[e],0
EX_co[e],0
EX_crn[e],0
EX_dopa[e],0
EX_hco3[e],0
EX_idp[e],0
EX_lneldc[e],0
EX_lnlc[e],0
EX_lpchol_hs[e],0
EX_mag_hs[e],0
EX_mthgxl[e],1645.03347451838
EX_no[e],0
EX_nrpphr[e],0
EX_o2s[e],-496.001214809738
EX_ocdca[e],0
EX_ocdcea[e],0
EX_octa[e],0
EX_pchol_hs[e],0
EX_prostge2[e],0
EX_ps_hs[e],0
EX_rbt[e],0
EX_Rtotal[e],0
EX_Rtotal2[e],0
EX_Rtotal3[e],0
EX_urate[e],495.969394726055
EX_utp[e],0
EX_vacc[e],0
FACOAL80i,0
FUMm,-247.968787321186
FUMSO3tm,-247.968787321186
G5SADrm,0
G6PPer,0
G6Pter,0
GALGLUSIDEtl,0
GALtly,0
GGH_5THFe,0
GGH_6THFe,0
GGH_7THFe,0
GLB1,0
GLBRAN,703.921300724143
GLCMter,8000
GLCt1r,10000
GLCter,8000
GLDBRAN,736.029512228446
GLGNS1,703.921300724143
