Reaction,Flux
34DHOXPEGOX,10000
34DHOXPEGt,10000
34DHXMANDACOX_NADP_,-10000
3DSPHR,0
3MOX4HOXPGALDOX,10000
3MOX4HOXPGALDOX_NADP_,-10000
3SALAASPm,0
3SALATAim,0
3SPYRSPm,0
5AOPtm,8563.44114125831
A4GALTg,0
ACACT1rm,0
ACACt2m,0
ACGAM6PSi,0
ACGAMPM,0
ACOAD1fm,1235.84013924184
ACOAD8m,0
ACONTm,-10000
ACt2m,-10000
ADK1m,-8179.91449790795
ADK3,-10000
ADK3m,10000
ADKd,10000
ADMDC,0
ADNt,10000
ADSL1,0
AKGDm,0
AKGMALtm,-10000
ALATA_L,-10000
ALCD21_L,0
ALCD2yf,0
ALDD2y,0
ALOX52,0
ALR2,0
ALR3,0
AMPDA,0
AMPTASECGe,0
ARGLYSex,0
ARGSS,0
ARGt4,0
R_group_phosphotase_1,0
R_group_phosphotase_2,0
ARTFR11,0
ARTFR12,0
ARTFR41,0
ARTPLM1,0
ARTPLM2,0
ARTPLM3,0
ASCBt,0
ASNS1,0
ASNt4,0
ASPGLUm,0
ASPTAm,0
ATP1ter,0
ATPH2e,0
ATPtm,0
B3GNT31g,0
B3GNT32g,0
B3GNT33g,0
B3GNT39g,0
BILIRUBt2,3467.38102999604
BILIRUBtr,0
C180CPT1,0
C180CPT2,0
C180CRNt,0
CATm,5000
CDIPTr,0
CDS,0
CEPTC,0
CERT2gt,0
CERT2rt,0
CHLPCTD,0
CHOLATEt2,4000
CHOLtu,9921.14777311451
CITt4_2,0
CLS_hs,0
CO2tm,10000
COt,0
CRTSLt,10000
CRTSLtr,0
CSm,0
CSNATm,-10000
CSNATr,-10000
CYSGLUexR,-10000
CYSO,0
CYSTA,10000
CYTDK1,9126.88228251662
CYTDt,9126.88228251662
CYTK13,-10000
CYTK14,10000
CYTK3,-10000
CYTK4,-873.117717483379
CYTK5,873.117717483379
CYTK6,10000
CYTK7,-10000
CYTK9,10000
DADAe,0
DADNK,0
DADNt4,0
DAGK_hs,10000
DAGt,0
DASCBR,0
DESAT16_2,0
DESAT18_9,0
DHAAt1r,0
DHFtm,-2511.82837855413
D_LACtm,0
DLNLCGCRNt,-1235.84013924184
DMHPTCRNte,-10000
DNDPt10m,0
DNDPt22m,0
DNDPt27m,0
DNDPt43m,0
DOPABMO,0
DOPAMT,0
DOPAtu,-10000
DSAT,0
DURIt,0
EX_13_cis_retnglc[e],0
EX_1glyc_hs[e],0
EX_34dhoxpeg[e],10000
EX_4nph[e],-10000
EX_adp[e],0
EX_arachd[e],0
EX_atp[e],0
EX_bilglcur[e],3467.38102999604
EX_bilirub[e],-3467.38102999604
EX_chol[e],-9921.14777311451
EX_cholate[e],-4000
EX_chsterol[e],-10000
EX_co[e],0
EX_crtsl[e],-10000
EX_dag_hs[e],0
EX_dopa[e],10000
EX_galgalgalthcrm_hs[e],0
EX_gchola[e],0
EX_gluala[e],0
EX_gthox[e],0
EX_gthrd[e],0
EX_h2o2[e],0
EX_ha_pre1[e],0
EX_hco3[e],8767.02602641659
EX_hdca[e],0
EX_idp[e],-10000
EX_imp[e],-7868.09829743906
EX_inost[e],0
EX_leuktrA4[e],0
EX_leuktrD4[e],0
EX_leuktrF4[e],0
EX_lnlc[e],0
EX_lpchol_hs[e],-78.8522268854867
EX_mag_hs[e],0
