Reaction,Flux
10FTHFtm,10000
1MNCAMti,0
2AMACHYD,0
2DR1PP,0
2HBO,0
34DHPLACOX_NADP_,0
34DHXMANDACOX_NADP_,0
3MLDAt,0
3MOX4HOXPGALDOX_NADP_,0
3SALAASPm,-3533.60014609534
4HOXPACDOX_NADP_,0
4PYRDX,0
5HOXINDACTO2OX,0
AACTOOR,0
ACACT1rm,0
ACGALK,0
ACGAMK,0
ACHVESSEC,0
ACITL,0
ACNAM9PL,0
ACNAM9PL2,0
ACNAMPH,0
ACOAD10m,0
ACONTm,-5963.25472165543
ADA,0
ADCim,0
ADK1m,761.542561648024
ADK3,10000
ADKd,-10000
ADNt,5418.40974076754
ADPRIBt,0
ADRNCRNt,10000
ADRNt,0
ADSK,0
AGPAT1,0
AHANDROSTANGLCte,0
AIRCr,0
AKGDm,0
ALAGLYexR,-10000
ALAt4,10000
ALATA_L,-10000
AMCOXO,0
AMPDA,0
AMPTASECGe,5185.04430583895
ANDRSTRNGLCte,0
ARGLYSex,0
ARTCOAL1,0
R_group_phosphotase_1,10000
R_group_phosphotase_2,0
ARTFR11,0
ARTFR31,0
ARTFR41,0
ARTFR61,0
ARTPLM1,0
ARTPLM3,0
ASNS1,10000
ASPTAm,-3533.60014609534
ATP1ter,0
ATPtm,5815.90259232465
ATPtn,0
BALAVECSEC,0
BDHm,0
BHBtm,0
BILDGLCURte,0
BILGLCURte,0
BILIRUBtr,-10000
BTNDe,10000
BTNt3i,0
C160CPT1,-10000
C160CPT2,-10000
C160CRNt,-10000
C161CPT1,0
C161CPT12,0
C161CPT22,10000
C161CRN2t,10000
C180CPT1,10000
CAt7r,-10000
CATm,0
CDIPTr,0
CDSm,0
CEPTC,0
CERK,0
CERT2rt,0
CHLPCTD,0
CHOLK,0
CHOLt4,-10000
CHOLtr,10000
CHOLtu,0
CHSTEROLt2,0
CHSTEROLt3,0
CITt4_2,-2796.87599609431
CITtam,-10000
CITtbm,0
CLPNDt,0
CLS_hs,0
CO2tm,5963.25472165543
COAtr,0
COt,0
CREATt4_2_r,10000
CRVNCtr,0
CSm,6833.62127443888
CYSGLUexR,-10000
CYTD,0
CYTDK1,10000
CYTDt,0
CYTK13,-10000
CYTK14,10000
CYTK1m,0
CYTK3,-10000
CYTK5,10000
CYTK6,0
CYTK7,10000
CYTK8,10000
DADA,0
DADNK,0
DAGK_hs,0
DAGt,-10000
DCYTD,10000
DESAT18_8,0
DESAT18_9,0
DHCR242r,0
DHFtm,0
DLNLCGCRNt,-10000
DOLICHOL_Lter,0
DOPAMT,7703.40194501123
DRPA,0
DURIK1,10000
ESTRIOLGLCte,0
ESTRONEGLCt,0
ETHAK,0
EX_13_cis_retnglc[e],0
EX_2hb[e],0
EX_3mlda[e],0
EX_4pyrdx[e],0
EX_5mthf[e],0
EX_6dhf[e],-2962.99113883221
EX_9_cis_retfa[e],-8814.96569416105
EX_acetone[e],0
EX_ach[e],0
EX_adrn[e],0
EX_ahandrostanglc[e],0
EX_amp[e],10000
EX_andrstrnglc[e],0
EX_arachd[e],0
EX_ascb_L[e],0
EX_atp[e],5418.40974076753
EX_bhb[e],0
EX_bildglcur[e],0
EX_bilglcur[e],0
EX_biocyt[e],-10000
EX_camp[e],0
EX_chol[e],10000
EX_chsterol[e],0
EX_clpnd[e],0
EX_cmp[e],-10000
EX_co[e],0
EX_creat[e],-10000
EX_crvnc[e],0
EX_dag_hs[e],10000
EX_dhdascb[e],0
EX_dheas[e],0
EX_dhf[e],2962.99113883221
EX_estriolglc[e],0
EX_estroneglc[e],0
EX_estrones[e],0
EX_gsn[e],0
EX_gthrd[e],-5185.04430583895
EX_h2o2[e],0
EX_hco3[e],-5963.25472165543
EX_hdca[e],0
EX_hdcea[e],0
EX_hestratriol[e],0
EX_idp[e],10000
EX_imp[e],10000
EX_inost[e],-10000
EX_limnen[e],0
EX_lneldc[e],-759.291252715431
EX_lnlc[e],0
EX_lpchol_hs[e],-10000
EX_mag_hs[e],0
EX_mthgxl[e],10000
EX_ncam[e],0
EX_o2s[e],0
EX_ocdca[e],-10000
EX_ocdcea[e],0
EX_paf_hs[e],0
EX_pchol_hs[e],0
EX_pe_hs[e],0
EX_perillyl[e],0
EX_pglyc_hs[e],0
EX_ps_hs[e],0
EX_retinol_9_cis[e],8814.96569416105
EX_retn[e],0
EX_Rtotal2[e],8814.96569416105
EX_Rtotal3[e],0
EX_spc_hs[e],0
EX_sphs1p[e],3744.77077769739
EX_strdnc[e],0
EX_tag_hs[e],5000
EX_thf[e],0
EX_thmmp[e],0
EX_tststeroneglc[e],0
EX_ttdca[e],0
EX_utp[e],-10000
EX_vacc[e],0
EX_whtststerone[e],0
EX_xolest2_hs[e],0
FACOAL1822,759.291252715431
FACOAL1832,0
FACOAL184,0
FACOAL224,0
FACOAL2252,0
FACOAL226,0
FADH2tru,0
FADtru,0
FAS180COA,0
FBP26,0
FE3R2e,0
FORt2m,0
FPGS2,0
FPGS5,0
FPGS6,0
FPGS8,0
FPGS9,0
FTHFDH,0
FTHFLm,0
FUMm,0
G5SADrm,0
G5SDym,0
G6PDH1rer,0
G6PDH2rer,0
GABAVESSEC,0
GACMTRc,-10000
GALt1r,0
GARFT,0
GBA,0
GGH_5DHFe,2962.99113883221
GGH_6DHFe,2962.99113883221
GGNG,0
GGT6,0
GLBRAN,0
GLCt1r,10000
GLCtg,0
GLDBRAN,0
GLGNS1,0
GLPASE1,0
GLPASE2,0
GLU5Km,0
GLUCYS,0
GLUDxm,4036.74527834457
GLUDym,-4036.74527834457
GLUt2m,-10000
GLUVESSEC,0
GLYAMDTRc,-10000
GLYtm,0
GLYVESSEC,0
GPAM_hs,10000
GSNt,0
GUACYC,0
H2CO3Dm,0
H2O2t,0
H2O2tm,0
H2Oter,10000
H2Otg,0
H2Otly,0
H2Otn,0
HESTRATRIOLte,0
HEX10,0
HEX4,0
HIStiDF,10000
HKt,0
HMGCOASim,0
HMGLm,0
HPDCACRNt,0
Htg,0
Htr,-10000
ICDHy,10000
ICDHyrm,-5963.25472165543
IDHPOXOX3,0
ILEt4,0
ILEtec,-10000
INSt,10000
INSTt2r,10000
KDNH,0
LCTStg,0
LDH_Lm,10000
LEUt4,10000
LIMNENte,0
L_LACtm,10000
LNELDCCPT1,759.291252715431
LNELDCCPT2,759.291252715431
LNELDCt,759.291252715431
LPASE,10000
LPCHOLt,10000
LPS2,0
LPSe,0
LTD4DP,0
LYSt4,10000
MAGt,0
MANt1r,4406.24800781138
MCCCrm,0
MDHm,9888.92469993198
ME1m,0
ME2,0
ME2m,0
MEPIVESSte,0
METAT,0
MGCHrm,0
MGSA2,0
MI13456PK,0
MI1345PP,0
MI145PK,0
MI1PS,0
MMEm,-10000
MMMm,10000
MOGAT,0
MTHFCm,-10000
MTHFD2m,-10000
MTHFDm,0
MTHGXLt,10000
NACASPAH,0
NADHtru,0
NADtru,0
NaKt,0
NAt5,0
NBAHH_ir,0
NCAMUP,0
NCKt,0
NCNt,-10000
NDP10ex,0
NDP6,0
NDP7er,0
NDP7g,0
NDP8,0
NDPK1m,0
NDPK3m,0
NICRNS,10000
NMNATr,-2148.66004344689
NOS1,0
NOt,-10000
NP1,10000
NTD12,0
NTD7e,0
NTPP10,0
NTPP9,0
O2St,0
O2Stm,0
O2ter,0
O2tm,0
OCTAt,-10000
ORNt3m,0
ORNTArm,0
P4502C93,0
P5CRm,0
PA_HSter,-10000
PCHOL_HSter,10000
PCHOLP_hs,0
PCHOLPr_hs,10000
PCLYSOX,0
PCm,0
PDE4,0
PDHm,0
PEPCKm,0
PERILLYLte,0
PEt,0
PFK26,0
PGLYCt,0
PGPP_hs,0
PGPPT,0
PGS,0
PHYCBOXL,0
PHYQt,0
PI345P3P,0
PI345P5P,0
PI34P5K,0
PI3P4K,0
PI3P5K,0
PI45P3K,0
PI45P4P,0
PI45P5P,0
PI4P3K,0
PI4P5K,0
PI5P4K,0
PIK3,0
PIPLC,10000
PItg,0
PLA2_2,0
PNTOt5,0
PPA2,0
PPAm,3669.49385781035
PPAP,0
PPAt,0
PPItr,10000
PRAGSr,0
PRDX,0
PROSTGH2t,0
PROtm,10000
PSFLIP,0
PSSA1_hs,-10000
PSt3,0
PTHPS,0
PVD3,0
PYNP2r,0
PYRt2m,-10000
PYRt2p,-10000
RADH2,0
RADH4,0
RAHY,0
RAI3,-10000
RBK_D,0
RETH1e,8814.96569416105
RETNGLCt2,0
RIBFLVt3,0
RNMK,0
RTOT1,0
RTOT3,0
RTOT4,0
RTOT6,0
RTOTAL2t,0
SADT,0
SERDGLNexR,10000
SERDGLYexR,-10000
SERt4,10000
SLCBK1,0
SMPD4,0
SMS,0
SPC_HSt,0
SPHK21c,3744.7707776974
SPODMe,0
SPODMm,0
STRDNCt,0
SUCCt4_2,-10000
SUCD1m,0
SUCOASm,-10000
TCHOLAt,-10000
TCHOLAte,10000
THRGLNexR,-10000
THRGLYexR,-10000
THYMDt1,0
TRDR,0
TRIOK,0
TSTSTERONEGLCte,0
TXA2tr,0
UDPGALtg,0
UDPGD,0
UGALGTg,0
UMPK2,-10000
UMPK3,10000
UMPK4,-10000
UMPK5,0
UMPK6,10000
UMPtr,0
UNK2,10000
URATEt,10000
URIK1,0
URIt,-10000
