Reaction,Flux
2DR1PP,0
34DHOXPEGOX,-10000
34DHOXPEGt,-10000
34DHXMANDACOX_NADP_,10000
3MOBt2im,0
3MOX4HOXPGALDOX,10000
3MOX4HOXPGALDOX_NADP_,-10000
7DHCHSTEROLtr,0
ACACT10m,0.0100000000002183
ACOAD1fm,0
ACOAD9m,0
ACONTm,-10000
ACt2m,-0.0100000000002183
ADAe,0
ADK1m,10000
ADK3m,-10000
ADRNt,0
AGPAT1,0
AKGDm,0
AKGMALtm,-7558.7446830093
ALATA_L,-1648.70764675495
ALDD2y,0
AMPTASECGe,6183.06243354936
ARGSS,4999.995
ARGt4,1241.02549004414
R_group_phosphotase_1,0
R_group_phosphotase_2,0
ARTFR11,0
ARTFR12,10000
ARTFR41,0
ARTFR44,0
ARTPLM1,0
ARTPLM1m,0
ARTPLM2,10000
ASNS1,0
ATPtm,0
BILGLCURt,0
BILIRED,0
BTNDe,10000
C160CPT1,0
C161CPT1,-10000
C161CPT22,0
C161CRN2t,0
C180CPT1,10000
CATp,1000
CDIPTr,0
CDS,0
CEPTC,0
CERT1rt,0
CERT2rt,0
CHLPCTD,0
CHOLK,0
CHOLtu,0
CHSTEROLt1,10000
CHSTEROLt2,0
CHSTEROLt3,-10000
CLHCO3tex2,0
CLOHtex2,0
CLPNDt,0
CLS_hs,0
CO2tm,7558.7546830093
COAtm,-10000
COt,0
CRNCAR3tp,1666.66666666667
CRNCARtp,333.333333333333
CRNt,-10000
CRNtim,-10000
CSm,0
CSNAT2m,-0.0100000000002183
CSNAT3x,1666.66666666667
CYSGLUexR,6183.06243354936
CYStec,10000
CYTD,0
CYTDK1,9583.34333333333
CYTDt,10000
CYTK10,10000
CYTK11,-1783.7988804358
CYTK13,10000
CYTK14,-8216.2011195642
CYTK6,0
CYTK7,10000
DADNK,0
DADNt4,0
DAGK_hs,-10000
DAGt,-10000
DASCBR,0
DCSPTN1t,0
DESAT16_2,0
DESAT18_10,0
DESAT18_4,0
DESAT18_5,0
DESAT18_7,0
DHCR72r,0
DLNLCGt,0
DOPABMO,0
DOPAMT,0
