Reaction,Flux
2HBO,0
34DHOXPEGOX,-1209.94944957046
34DHOXPEGt,-1209.94944957046
34DHPHAMT,10000
34DHXMANDACOX_NADP_,1209.94944957046
3MOX4HOXPGALDOX,0
3SALAASPm,-10000
5HOMEPRAZOLEte,0
5MTHFt,0
A4GALTg,0
AACTOOR,0
AATAi,2972.07653174389
ACALDtm,-8833.33333333333
ACGAM6PSi,0
ACGAMPM,0
ACITL,0
ACNACNGAL14ACGLCGALGLUSIDEte,0
ACNAMtn,0
ACOAD8m,3630.66076202743
ACONTm,-10000
ACSm,8833.33333333333
ACt2m,-10000
ADAe,0
ADK1m,5500
ADNt,-3333.33333333333
ADNtm,-3333.33333333333
AKGMALtm,-9000
ALATA_L,-10000
ALCD21_L,0
ALCD2yf,8833.33333333333
ALDD2xm,8833.33333333333
ALDD2y,0
ALR2,0
ALR3,0
AMPDA,0
APNNOXte,0
APPNNte,0
R_group_phosphotase_1,0
R_group_phosphotase_3,0
ARTFR11,0
ARTPLM1,0
ARTPLM3,0
ASNNm,0
ASNt4,0
ASNtm,0
ASPTAm,-10000
ATPH1e,0
ATPtm,0
B3GNT31g,0
B3GNT32g,0
B3GNT33g,0
BTNDe,10000
C160CPT1,0
C160CPT2,0
C160CRNt,0
CATm,5000
CEPTC,0
CGLYt3_2_,0
CHLPCTD,0
CHOLtu,0
CLHCO3tex2,0
CMPACNAtn,0
CMPSASn,0
COAtm,0
COt,0
CSm,0
CTPtn,0
CYSGLUexR,4635.4835560719
CYTD,0
CYTDt,0
CYTK10,0
CYTK13,10000
CYTK14,-10000
CYTK5,-10000
CYTK6,10000
CYTK7,-10000
CYTK8,-10000
DADNK,0
DADNt4,0
DAGK_hs,-10000
DAGt,-10000
DALAt2r,10000
DESAT18_5,0
DESAT18_8,0
DESAT18_9,0
DGAT,0
ELAIDCPT1,10000
ELAIDCPT2,0
ELAIDCRNt,0
EX_13_cis_retnglc[e],0
EX_2hb[e],0
EX_34dhoxpeg[e],-1209.94944957046
EX_5homeprazole[e],0
EX_5mthf[e],0
EX_acnacngal14acglcgalgluside_hs[e],0
EX_amp[e],10000
EX_apnnox[e],0
EX_appnn[e],0
EX_arachd[e],-1875.005
EX_atp[e],-3333.33333333333
EX_biocyt[e],-10000
EX_chol[e],0
EX_chsterol[e],0
EX_cmp[e],-10000
EX_co[e],0
EX_dag_hs[e],10000
EX_dopa[e],0
EX_galgalgalthcrm_hs[e],0
EX_gd1c_hs[e],0
EX_gthox[e],5000
EX_gthrd[e],-10000
EX_hco3[e],0
EX_hdca[e],0
EX_imp[e],0
EX_lneldc[e],0
EX_lnlc[e],0
EX_lpchol_hs[e],0
EX_mag_hs[e],0
EX_no[e],0
EX_nrpphr[e],0
EX_o2s[e],-10000
EX_oagd3_hs[e],0
EX_ocdca[e],0
EX_ocdcea[e],0
EX_omeprazole[e],0
EX_ps_hs[e],-10000
EX_retn[e],-10000
EX_Rtotal3[e],0
EX_spc_hs[e],0
EX_strdnc[e],0
EX_tag_hs[e],0
EX_tststerone[e],0
EX_utp[e],0
EX_whtststerone[e],0
EX_xylt[e],-1831.7222170962
FACOAL1813,10000
FACOAL1822,0
FACOAL204,-1875.005
FORt2m,0
FTHFLm,0
FUMm,6121.3805704472
FUMSO3tm,-10000
FUMSO4tm,0
FUMTSULtm,10000
G5SADrm,-1855.97638144307
G5SDym,0
GALGALGALTHCRMte,0
GALGALGALTHCRMtg,0
GAO1,0
GCHOLAt,0
GCHOLAte,0
GDPtg,0
GGNG,0
GLCt1r,10000
GLCt2_2,-10000
GLDBRAN,0
GLPASE2,0
GLU5Km,0
GLUt2m,2000
GLUTCOADHm,0
GLYAMDTRc,-1000
GLYtm,8833.33333333334
GPAM_hs,0
GTHPe,5000
GUACYC,0
H2O2tm,10000
H2O2tp,-5000
H2Otg,0
HEX4,0
HISt4,10000
HPDCACRNt,0
ICDHy,0
ICDHyrm,0
ILEt4,0
KCC2t,0
LEUt4,0
LNELDCt,0
LPASE,0
LPCHOLt,0
LPS2,0
LPSe,0
LYStiDF,0
MAGt,0
MALSO3tm,10000
MALSO4tm,10000
MALtm,-1000
MALTSULtm,-10000
MANt1r,0
MAOLNOR,0
MAOX,0
MDHm,-4927.98819072153
METLEUex,0
METS,10000
METt4,10000
METtec,0
MI1PS,0
MMEm,-10000
MMMm,10000
MTHFCm,0
MTHFD2m,10000
MTHFDm,-10000
NDP6,0
NDP7g,0
NICRNS,1648.94757935973
NOS1,0
NOS2,0
NP1,1648.94757935973
NRPPHRtu,0
NTD7e,0
NTPP9,0
O2Stm,0
O2Stx,5000
O2tm,-5000
OAGD3te,0
OMEPRAZOLEte,0
ORNt3m,1000
ORNTArm,-1000
ORNtiDF,10000
P45027A12m,0
P45027A13m,0
P4502C19,0
P4502C94,0
PCHOLP_hs,10000
PCm,0
PDE4,0
PGS,1875.005
PI4P3K,0
PI4PP,0
PIK3,0
PIK4,0
PIPLC,0
PItg,0
PPAm,0
PPAP,0
PPAt,10000
PRDX,0
PRO1xm,5238.67847594513
PROD2m,247.958667525367
PROSTGD2t,-10000
PROtm,0
PSSA1_hs,-10000
PSt3,10000
PYRt2m,0
RAI3,0
RETNGLCt2,0
RETNt,-10000
RIBt,0
RTOT1,0
RTOTAL3t,0
SALMCOM,0
SMPD4,0
SMS,0
SO4CLtex2,0
SPC_HSt,0
SPODMe,5000
SPODMm,0
SPODMx,2500
STRDNCt,0
SUCCt2m,-10000
SUCCt4_2,-3878.6194295528
SUCD1m,6121.3805704472
SUCOASm,-10000
THYMDt1,0
TRDR,0
TRDR3,0
TRIOK,0
TRPt4,0
TSTSTERONEt,0
TSULt4_3,10000
TYRDOPO,0
UDPGALtg,0
UDPGNP,0
UDPGP,0
UMPK2,-10000
UMPK3,10000
UMPK4,10000
UMPK5,-10000
UNK2,4862.062359708
WHTSTSTERONEte,0
XOLEST2te,0
XYLTt,1831.7222170962
XYLUR,-1831.7222170962
EX_ctp[e],10000
EX_dha[e],10000
EX_dhap[e],0
EX_dtmp[e],-10000
EX_HC00229[e],500
EX_itp[e],0
EX_prpp[e],-10000
r0028,0
r0047,3333.33333333333
r0051,-10000
r0062,0
r0074,855.976381443068
r0083,0
r0122,10000
r0139,-10000
r0149,-10000
r0165,0
r0179,0
r0186,0
r0226,0
r0242,10000
r0245,0
r0276,10000
r0377,0
r0390,-500
r0391,1648.94757935973
r0423,0
r0425,0
r0474,0
r0475,0
r0480,-3333.33333333333
r0494,-10000
r0509,0
r0514,0
