Reaction,Flux
10FTHFtm,-8877.21346691566
13DAMPPOX,0
2DR1PP,0
34DHOXPEGOX,0
34DHOXPEGt,0
34DHXMANDACOX_NADP_,0
3AIBTm,0
3AIBtmi,0
3HBCDm,0
3MOX4HOXPGALDOX,10000
3MOX4HOXPGALDOX_NADP_,-5000
3SALAASPm,-10000
3SALATAi,0
3SPYRSP,0
5ADTSTSTERONEte,0
5ADTSTSTERONEtr,0
A4GALTc,0
ACACT1rm,0
ACCOALm,0
ACGAMtly,0
ACITL,0
ACNMLr,0
ACOAD1fm,0
ACONTm,-10000
ACSm,0
ADEt,0
ADK1m,10000
ADK3m,-9999.99777493606
ADMDC,0
ADNt,0
ADNtm,0
ADRNt,-10000
ADSL1,0
AGPAT1,0
AKGMALtm,10000
AKR1C42,0
ALAt4,10000
ALATA_L,-4036.09193395912
ALDD2y,0
AMPDA,10000
ARGSS,0
R_group_phosphotase_1,0
R_group_phosphotase_2,0
ARTFR11,0
ARTPLM1,0
ARTPLM1m,0
ARTPLM3,0
ASCBt4,0
ASNS1,0
ASNt4,5963.90806604088
ASPCTr,10000
ASPTAm,-10000
ATPtm,0
BALAVECSEC,0
BILIRED,0
BILIRUBt2,-6122.78653308434
C180CPT1,-10000
CATm,0
CDPDAGtm,0
CDS,0
CDSm,0
CEPTC,0
CERT1rt,0
CERT2rt,0
CHLPCTD,0
CHOLtu,0
CHSTEROLt3,0
CITtam,10000
CKc,1309.89571838685
CLOHtex2,0
CLPNDt,0
CLS_hs,0
COAtm,-10000
COAtr,0
COt,0
CRVNCtr,-10000
CSm,0
CSNAT2m,0
CYSALANaEx,0
CYSGLUexR,-10000
CYSO,0
CYTD,0
CYTDK1,10000
CYTDt,0
CYTK10,10000
CYTK11,-10000
CYTK12,10000
CYTK14,10000
CYTK5,-10000
CYTK7,-2101.69420502476
CYTK9,2101.69420502476
DADAe,0
DADNK,0
DADNt4,0
DAGK_hs,10000
DAGt,10000
DASCBR,0
DCSPTN1t,0
DESAT18_6,106.404778798562
DESAT18_9,0
DHAAt1r,0
DHCR242r,0
DHCR72r,0
DINt,0
DRIBt,0
DURIK1,0
ELAIDCPT1,10000
ESTRADIOLtr,0
ESTRONEtr,0
EX_34dhoxpeg[e],0
EX_34dhphe[e],0
EX_3aib[e],0
EX_4nph[e],-8690.10428161315
EX_5adtststerone[e],0
EX_5mthf[e],10000
EX_5thf[e],-51.7633289459864
EX_adrn[e],0
EX_ala_B[e],0
EX_amp[e],10000
EX_arachd[e],0
EX_atp[e],-10000
