Reaction,Flux
2MCITt,0
34DHPHAMT,10000
34DHPLACOX,0
3MOBt2im,0
42A12BOOX,0
4MOPt2im,0
5AOPtm,833.333333333334
A4GALTc,0
AACTOOR,0
AACTtm,0
ACACT1x,5000
ACACt2m,10000
ACACT7p,2500
ACACtx,-5000
ACGALK2,0
ACITL,2934.63445878435
ACOAO7p,2500
ACONTm,-10000
ACRNtm,4004.52944305672
ADEt,0
ADK1m,10000
ADK3,-1666.66666666667
ADK3m,-10000
ADNt,-1666.67333333333
ADNtm,0
AGPAT1,0
AHCYStr,0
AKGt4_3,-10000
ALATA_L,0
ALCD21_L,3550.65056272551
ALOX5,0
ALR2,3550.65056272551
ALR3,3550.65056272551
AMETr,0
AMPDA,0
AOBUTDsm,0
ARACHDt2,10000
ARGSS,0
R_group_phosphotase_1,0
ARTFR206,2997.73527847164
ARTFR61,0
ARTPLM1,2500
ARTPLM2,0
ASCBt,10000
ASCBt4,-10000
ASNS1,0
ATP2ter,10000
ATPtm,10000
C161CPT12,0
C204CPT1,0
CATm,2833.84398510501
CATp,6250
CEPTC,0
CERT1rt,0
CERT2rt,0
CHLPCTD,0
CHOLt4,0
CHSTEROLt1,0
CITtam,-10000
CMPSAS,0
CO2tm,0
COAtm,-10000
COAtr,10000
COt,0
CREATt4_2_r,10000
CSm,0
CSNATm,-5995.47055694328
CSNATr,-2248.30145885373
CYSGLUexR,-10000
CYTD,0
CYTDK1,10000
CYTDt,0
CYTK10,0
CYTK11,0
CYTK12,0
CYTK14,6267.96445878435
CYTK3,-10000
CYTK5,-10000
CYTK7,-10000
CYTK8,10000
DADNK,0
DADNt4,0
DAGK_hs,-10000
DAGt,-10000
DESAT18_9,0
DHCR241r,5935.14511055602
DHCRD1,0
DHFtm,10000
DHPR2,10000
DNDPt23m,0
DNDPt37m,0
DOPAMT,0
DSAT,0
DUTPDPm,0
ESTRADIOLt,2967.57255527801
ESTRONEtr,-2967.57255527801
EX_2mcit[e],0
EX_amp[e],10000
EX_arachd[e],-10000
EX_atp[e],8333.32666666667
EX_bilirub[e],0
EX_chol[e],0
EX_cholate[e],0
EX_chsterol[e],-719.386320311776
EX_co[e],0
EX_creat[e],-10000
EX_crn[e],0
EX_dag_hs[e],10000
EX_dopa[e],0
EX_estradiol[e],-2967.57255527801
EX_fuc_L[e],3469.95250069387
EX_gbside_hs[e],0
EX_gtp[e],-5000
EX_h2o2[e],998.978696456656
EX_hdca[e],0
EX_hdcea[e],0
EX_hestratriol[e],2967.57255527801
EX_imp[e],7500
EX_inost[e],10000
EX_lnlc[e],0
EX_lpchol_hs[e],0
EX_mag_hs[e],0
EX_meoh[e],-833.333333333334
EX_mthgxl[e],6449.34943727449
EX_ncam[e],0
EX_no[e],0
EX_nrpphr[e],0
EX_o2s[e],0
