Reaction,Flux
2MCITt,0.0123636363641708
3MOX4HOXPGALDOX,0.0141818181818182
3SALAASPm,0
ACACT1rm,0.00472727272727273
ADAe,0
ALATA_L,-0.00290909090836067
ARGSS,0
R_group_phosphotase_1,0
R_group_phosphotase_2,0
ARTFR31,0.0620606060606061
ARTPLM1,0.0349090909090909
ARTPLM2,0
ASNNm,0
ASNtm,0
ATP1ter,0
ATPtm,0.0141818181818182
BILDGLCURtr,0
BILIRED,0
BILIRUBtr,0
CATm,0.00709090909090909
CDIPTr,0
CEPTC,0
CHLPCTD,0
CHOLt4,0.0290909090908826
CITtbm,0.00472727272790507
CLS_hs,0
COt,0
CYSGLUexR,-10000
CYSt4,6999.93345454545
CYTDK1,0
CYTDt,0
CYTK9,0
DADNK,0
DADNt4,0
DAGK_hs,-0.00581818181854032
DAGt,-0.00581818181854032
DASCBR,0.00290909090909091
DESAT18_5,0
DESAT18_9,0
DINt,0.034909090909423
DLNLCGCRNt,-0.000848484847665532
DOPABMO,0.00290909090909091
DRPA,0.0349090909090909
ECOAH1m,0.00472727272790507
EX_2mcit[e],0.0123636363641708
EX_arachd[e],0
EX_atp[e],0
EX_bildglcur[e],0
EX_bilglcur[e],0
EX_chol[e],-0.0290909090908826
EX_cmp[e],999.994181818181
EX_co[e],0
EX_crn[e],0
EX_crvnc[e],0
EX_inost[e],0
EX_lnlc[e],0
EX_no[e],0
EX_ocdca[e],-0.0620606060601858
EX_ocdcea[e],0
EX_octa[e],-0.00860606060632563
EX_pchol_hs[e],0.0328484848487278
EX_pglyc_hs[e],0
EX_ps_hs[e],-0.00375757575784519
EX_retn[e],0.0123636363641708
EX_Rtotal[e],0.00581818181854032
EX_utp[e],0
FACOAL1832,0
FACOAL226,0
FACOAL80i,0.00860606060606061
FUMm,0
G6Pter,0
GLCt1r,0.0100000000002183
GLDBRAN,0
GLNtm,0.00945454545454545
GLUDxm,0.00945454545399116
GLUNm,0.00945454545454545
GLUTCOADHm,0.0141818181818182
GPAM_hs,0.0349090909090909
GUACYC,0
H2O2tm,0.0141818181818182
H2Oter,0
HACD1m,0.00472727272790507
HOXG,0
Htr,0
INSTt2r,0
KCC2t,-10000
LDH_Lm,0.00472727272790507
L_LACtm,0.00472727272727273
LPS2,0
MAOLNOR,0.0141818181818182
MCITS,0.0123636363636364
NCKt,1500.01277272727
NDP6,0
NOS1,0
NOS2,0
NTD7e,0
O2tm,-0.00709090909003862
OCCOAtm,0.00860606060606061
OCTAt,0.00860606060632563
PCm,0.00472727272727273
PDE4,0
PEPCKm,0.00472727272727273
PGLYCt,0
PI345P3P,0
PI45P3K,0
PLA2_2,0
