Reaction,Flux
10FTHFtm,-1000
3M4HDXPAC,0
3MOX4HOXPGALDOX,3499.99
3MOX4HOXPGALDOX_NADP_,-3499.99
3MOXTYROX,0
ACITL,0
ADEt,0
ADK1m,0
ADNt,10000
ADRNt,0
AGPAT1,0
AKGMALtm,-1000
ALATA_L,0
ALCD21_D,0
AMPDA,8000
R_group_phosphotase_1,0
R_group_phosphotase_2,0
ARTPLM1,0
ARTPLM2,0
ASNS1,4500
ATPtm,0
C180CPT1,0
CDIPTr,0
CERT2rt,0
CHLPCTD,0
CHOLK,699.996
CHOLtu,699.996000000001
CLOHtex2,0
CLPNDt,0
CLS_hs,0
COAtm,-10000
COAtr,0
COt,0
CRNt,-9699.996
CRVNCtr,0
CYSGLUexR,-10000
CYSt4,0
CYStec,-10000
CYTK7,1000
DADNK,0
DADNt4,0
DAGK_hs,0
DAGt,0
DASCBR,0
DCSPTN1t,0
DESAT18_3,0
DESAT18_9,0
DHFtm,0
D_LACt2,0
DOPABMO,0
DOPAMT,0
EX_10fthf[e],0
EX_10fthf5glu[e],0
EX_adrn[e],0
EX_amp[e],10000
EX_arachd[e],0
EX_ascb_L[e],0
EX_atp[e],0
EX_bilirub[e],0
EX_chol[e],-699.996000000001
EX_chsterol[e],0
EX_clpnd[e],0
EX_cmp[e],-10000
EX_co[e],0
EX_crn[e],9699.996
EX_crvnc[e],0
EX_dag_hs[e],0
EX_dcsptn1[e],0
EX_dhdascb[e],0
EX_gsn[e],0
EX_h2o2[e],-10000
EX_idp[e],-10000
EX_imp[e],6999.99
EX_inost[e],-10000
EX_lac_D[e],0
EX_lnlc[e],0
EX_lpchol_hs[e],0
EX_mag_hs[e],0
EX_no[e],7500.01
EX_nrpphr[e],0
EX_ocdca[e],0
EX_ocdcea[e],0
EX_pchol_hs[e],0
EX_pglyc_hs[e],0
EX_prostge2[e],-10000
EX_ps_hs[e],-10000
EX_retn[e],0
EX_Rtotal2[e],0
EX_strdnc[e],0
EX_tag_hs[e],0
EX_ttdca[e],0
EX_txa2[e],5000
EX_ump[e],0
EX_utp[e],0
EX_vacc[e],0
EX_xolest2_hs[e],0
FACOAL1832,0
FACOAL184,0
FACOAL224,0
FACOAL2251,0
FACOAL2252,0
FACOAL226,0
FE3R2e,0
FTHFDH,1000
FUMm,0
FUMSO3tm,-10000
FUMSO4tm,0
FUMtm,0
G5SDym,0
G6PDH2rer,0
GBA,9000
GGH_10FTHF5GLUe,0
GGNG,0
GHMT2rm,0
GLCt1r,1000
GLDBRAN,0
GLNtm,1000
GLPASE2,0
GLU5Km,0
GLUDxm,-1000
GLUt2m,-2000
GLYt4,10000
GLYtm,0
GPAM_hs,0
GSNt,0
GUACYC,0
H2O2t,10000
H2Oter,-5000
H2Otn,0
HOXG,0
Htr,10000
Htx,0
ICDHyrm,-1000
ILEtec,-10000
INSt,10000
INSTt4,10000
LCADi_D,0
LPASE,0
LPCHOLt,0
LPS2,0
LPS3,0
LYStiDF,0
MAGt,0
MALSO4tm,0
MAOLNOR,0
METAT,2000
METt4,3000
MI1PS,10000
MI34PP,0
MOGAT,0
MTHFCm,1000
MTHFD2m,10000
MTHFDm,-9000
NADtpu,0
NDP6,0
NDP7er,0
NKCC2t,-10000
NORANMT,0
NOS1,0
NOS2,7500.01
NOt,-7500.01
NRPPHRtu,0
NTD7e,0
O2ter,0
ORNt4m,0
PCm,1000
PDE4,0
PGDI,10000
PGESr,-10000
PGLer,0
PGLYCt,0
PGS,0
PI34P5K,0
PI3P4K,0
PI4P3K,0
PIK3,0
PIPLC,0
PItn,0
PLA2_2e,0
PPAm,0
PPAn,0
PPAP,0
PROSTGE2t2,10000
PSSA1_hs,0
PSt3,10000
PYRt2m,1000
RAI3,0
RDH1,-10000
RDH1a,10000
RTOTALt,0
SALMCOM,0
SALMCOM2,0
SMS,0
STRDNCt,0
SUCCt2m,-10000
SUCD1m,3500
SUCOAS1m,-10000
TRDR,0
TXA2te,-5000
TXA2tr,-5000
TXASr,5000
TYRDOPO3,0
UDPGP,0
UMPK2,-10000
UMPK3,-10000
UMPK4,10000
UNK2,0
VACCt,0
XOLEST2te,0
EX_dhap[e],10000
EX_HC01609[e],-2500
EX_HC01610[e],2500
EX_itp[e],10000
EX_prpp[e],-10000
r0002,0
r0016,-2500
r0051,-10000
r0074,0
r0081,1000
r0083,1000
r0086,1000
r0122,0
r0139,-10000
r0153,0
r0157,1000
r0165,1000
r0166,0
r0181,-10000
r0226,0
r0276,0
r0301,0
r0423,10000
r0425,-9000
r0615,10000
r0617,-10000
r0774,2500
r0801,-10000
r0809,-10000
r0821,6500
r0830,10000
r0892,0
r0941,1000
r0947,0
r1050,0
r1090,0
r1097,0
r1101,0
r1112,0
r1116,-10000
r1143,0
r1169,0
r1181,0
r1185,0
r1187,0
r1188,0
r1189,0
r1190,0
r1290,10000
r1348,0
r1359,0
r1384,0
r1393,0
r1403,0
r1418,-1000
r1423,0
r1435,0
r1459,0
r1544,10000
r1546,-4500
r1547,-10000
r1548,-10000
r1549,3500
r1551,-10000
r1554,10000
r1559,0
r1560,-10000
r1564,-10000
r1570,10000
r1573,-4500
r1575,-10000
r1579,10000
r1580,10000
r1581,0
r1585,-10000
r1589,1000
r1599,-10000
r1602,-10000
r1603,-10000
r1604,-10000
r1605,10000
r1608,0
r1609,10000
r1610,-10000
r1611,-10000
r1615,-10000
r1617,10000
r1618,0
r1619,-10000
r1622,-10000
r1623,-10000
r1629,-6500
r1630,-10000
r1632,10000
r1634,10000
r1636,-10000
r1639,-9000
r1641,10000
r1642,10000
r1645,-10000
r1646,10000
r1647,-10000
r1649,-10000
r1651,3500
r1653,-10000
r1655,-4500
r1656,-10000
r1657,-10000
r1658,-10000
r1659,-10000
r1660,-9000
r1661,-10000
r1662,10000
r1668,-10000
r1671,7500.01
r2080,10000
r2084,-10000
r2090,10000
r2098,-10000
r2112,-10000
r2115,-10000
r2127,-10000
r2130,-10000
r2133,-10000
r2193,0
r2315,-5000
r2333,5000
r2473,0
r2513,0
r2535,-10000
r2537,0
RE0124C,0
RE0937E,-10000
RE1573M,-6500
RE2445E,10000
RE2642C,10000
RE3103C,0
RE3104C,0
RE3198C,0
RE3239C,-6800.004
RE3268C,0
RE3273C,-10000
RE3301C,10000
RE3347C,-10000
RE3422C,0
RE3520E,-10000
