Reaction,Flux
3MOX4HOXPGALDOX_NADP_,0
3SALATAi,0
3SPYRSP,0
5AOPtm,0
7DHCHSTEROLtr,-326.695157890746
AACTtm,0
ACONTm,0
ADK1m,93.4335264184574
ADNt,917.913947388253
ALASm,0
ALATA_L,-5084.01047370608
ALCD21_L,0
ALR2,0
ALR3,0
AMPDA,0
AMPtp,-10000
AOBUTDsm,0
ARACHDt2,-9804.91757895891
R_group_phosphotase_1,10000
ARTPLM1,0
ARTPLM1m,10000
ASNt4,0
ATPtm,0
ATPtx,10000
C160CPT2,-9953.32926315846
C160CRNt,-9953.32926315846
C180CPT1,0
CATm,630.054947360726
CDS,0
CEPTC,0
CEPTE,0
CERT1gt,0
CERT2rt,4542.62363156163
CHLPCTD,0
CHOLK,0
CHOLt4,-10000
CHOLtu,10000
CHSTEROLt1,-10000
CHSTEROLt3,10000
CLS_hs,0
CO2tm,326.695157890746
COt,0
CRNtHa,0
CRNtim,46.6707368415355
CSm,373.365894732282
CYSO,0
CYTD,0
CYTK12,4542.62363156163
CYTK13,5457.37636843837
CYTK14,-10000
CYTK5,0
CYTK6,10000
CYTK7,-4542.62363156163
CYTK8,-5457.37636843837
DADNK,0
DADNt4,0
DAGK_hs,0
DAGt,0
DHCR242r,326.695157890747
DHCR72r,326.695157890747
DHCRD2,0
DHPR2,0
DMHPTCRNte,-10000
DNDPt26m,0
DNDPt41m,0
DOPAMT,0
DOPAtu,0
DSAT,0
ELAIDCPT1,-10000
ELAIDt,-10000
EX_5mthf[e],10000
EX_arachd[e],-195.08242104109
EX_atp[e],917.91394738825
EX_chol[e],0
EX_chsterol[e],-9626.63410526772
EX_co[e],0
EX_crn[e],10000
EX_dopa[e],0
EX_elaid[e],10000
EX_gthox[e],3771.31181578082
EX_gthrd[e],-7542.62363156163
EX_h2o2[e],-3771.31181578082
EX_hco3[e],4757.31531581534
EX_hdca[e],0
EX_inost[e],5457.37636843837
EX_lnlc[e],0
EX_lnlncg[e],0
EX_lpchol_hs[e],0
EX_mag_hs[e],0
EX_mthgxl[e],7712.35500002031
EX_ocdca[e],0
EX_ocdcea[e],0
EX_pe_hs[e],0
EX_pglyc_hs[e],0
EX_ps_hs[e],5457.37636843837
EX_retn[e],5242.68468418466
EX_Rtotal[e],-10000
EX_strch2[e],0
EX_utp[e],0
EX_vacc[e],0
EX_vitd3[e],-326.695157890746
FACOAL1813,-10000
FACOAL1831,0
FACOAL204,-10000
FADH2tru,326.695157890747
FADtru,326.695157890747
FAOXC160,46.6707368415353
FTHFDH,0
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte,-10000
FUCGALFUCGALACGLCGALGLUSIDEte,-10000
FUMm,373.365894732282
FUMtm,373.365894732282
G5SDym,0
GBA,0
GHMT2rm,0
GLCt1r,0
GLDBRAN,0
GLU5Km,0
GLYATm,0
GLYt4,10000
GLYt7_211_r,10000
GTHPe,3771.31181578082
GTHRDt,0
GUACYC,0
H2Oter,4542.62363156163
HDCEAtr,-10000
HISt4,0
HOXG,0
Htr,-9085.24726312327
ICDHyrm,-326.695157890746
ILEtec,-10000
INSTt4,-5457.37636843837
LEUtec,-10000
LNLNCGt,0
LPCHOLt,0
LPS2,0
LYSt4,0
LYStiDF,10000
MAGt,0
MALTt1r,0
MAOX,0
ME2,5084.01047370608
MELATNOX,0
METAT,0
MGSA2,0
MTHFD2m,-326.695157890746
MTHFDm,326.695157890746
MTHGXLt,7712.35500002031
NAHCO3_HCLt,-10000
NDP6,0
NDP7er,4542.62363156163
NDPK6m,0
NKCC2t,-10000
NTD7e,0
O16G2e,0
O2Stm,2520.2197894429
O2tm,-1890.16484208218
OCTAt,-10000
PCHOL_HStg,0
PDE4,0
PEt,0
PETHCT,0
PGLYCt,0
PGS,195.082421041089
PI4P3K,0
PIter,4542.62363156163
PPAm,280.116473784599
PPAP,0
PSSA1_hs,0
PSt3,-5457.37636843837
PVD3,-326.695157890746
RADH2,5242.68468418466
RTOTALCRNCPT1,10000
RTOTALCRNCPT2,10000
RTOTALCRNt,10000
RTOTALt,10000
SFGTH,0
SMS,0
SPHMYLNtg,0
SPODMm,1260.10989472145
SUCD1m,0
SUCOASm,0
THBPT4ACAMDASE,0
THD1m,0
UDPGP,0
UMPK2,-10000
UMPK3,10000
UMPK4,4542.62363156163
UNK2,0
VACCt,0
VALtec,10000
VD3,-326.695157890746
XOLEST2te,0
EX_dgmp[e],10000
EX_dgtp[e],-10000
EX_HC01444[e],10000
EX_prpp[e],0
r0016,2500
r0028,0
r0051,0
r0055,-7712.35500002031
r0074,0
r0083,0
r0122,0
r0139,0
r0186,5084.01047370608
r0276,0
r0301,0
r0407,-7250
r0408,-7250
r0410,10000
r0423,0
r0425,0
r0434,-9953.32926315846
r0474,0
r0480,0
r0531,0
r0627,-10000
r0783,326.695157890746
r0788,0
r0789,0
r0812,-10000
r0838,0
r0885,0
r0892,0
r0944,-10000
r0998,-9953.32926315846
r1050,9626.63410526772
r1051,10000
r1078,0
r1097,1.07394857952251
r1101,0
r1116,917.91394738825
r1147,326.695157890746
r1164,9953.32926315846
r1185,0
r1187,0
r1188,0
r1189,0
r1190,0
r1290,326.695157890747
r1348,0
r1359,1.07394857952251
r1377,0
r1378,0
r1393,0
r1403,0
r1423,10000
r1435,0
r1544,10000
r1547,0
r1548,-10000
r1551,-10000
r1553,-10000
r1559,-10000
r1560,-10000
r1563,10000
r1564,-5084.01047370608
r1570,10000
r1573,10000
r1574,-4915.98952629392
r1578,-10000
r1579,-5084.01047370608
r1581,10000
r1584,10000
r1585,0
r1587,-10000
r1593,10000
r1597,-10000
r1600,-10000
r1604,10000
r1607,10000
r1608,-10000
r1613,-10000
r1614,0
r1615,5084.01047370608
r1619,-10000
r1620,-10000
r1623,-10000
r1625,0
r1627,10000
r1628,10000
r1629,-10000
r1632,0
r1634,0
r1635,-10000
r1636,-10000
r1640,4915.98952629392
r1646,-10000
r1648,373.365894732282
r1650,-10000
r1652,-10000
r1654,-10000
r1656,-10000
r1658,10000
r1660,-4915.98952629392
r1661,-10000
r1662,10000
r1665,-10000
r2083,10000
r2085,-10000
r2091,-10000
r2105,326.695157890746
r2110,10000
r2112,-10000
r2115,-5084.01047370608
r2118,10000
r2127,-9673.30484210925
r2130,5242.68468418466
r2131,5084.01047370608
r2324,-195.08242104109
r2329,195.08242104109
r2375,0
r2387,0
r2532,373.365894732282
RE0124C,-2707.37636843837
RE0583C,0
RE0830C,0
RE0830N,10000
RE0915E,-1000
RE1573M,0
RE1709N,-10000
RE2069C,195.08242104109
RE2426C,0
RE2660N,-10000
RE2851C,-1260.10989472145
RE2954C,-6830.26863154133
RE3103C,0
RE3104C,0
RE3238C,5644.05931580451
RE3239C,-10000
RE3267E,0
RE3273C,5457.37636843837
RE3301C,-5457.37636843837
RE3567C,-195.08242104109
EX_cdp[e],0
EX_HC02207[e],195.08242104109
EX_crm_hs[e],0
EX_cdpea[e],0
EX_12dgr120[e],0
HISCAT1,0
HISSNAT5tc,-10000
ILELAT1tc,10000
LINOFATPtc,0
MTHFTe,10000
OLEICFATPtc,0
PALFATPtc,0
ADNK3,917.913947388253
ASPPROASCT1,5457.37636843837
CHOLESACATc,0
CHSTEROLtrc,373.365894732282
EX_sfcys[e],0
FE3MTP1,0
G6PDH2c,902.458789479456
OCDCAFATPc,0
PGLc,902.458789479456
PPItm,186.68294736614
RTOTALFATPc,0
SFCYSc,0
SFCYSe,0
SPMTDe,-10000
AHCYSte,0
EX_ahcys[e],0
MAL_Lte,10000
PEPtr,6830.26863154133
GUDACtr,0
GUDACtr2,0
THYMDtr2,0
CHOLPtr,0
DCMPtr,0
ETHAMPtr,5084.01047370608
FUMtr,-10000
ICITtr,-700.061052623028
XMPtr,0
EX_cholp[e],0
EX_dcmp[e],0
EX_ethamp[e],-5084.01047370608
EX_icit[e],700.061052623028
EX_pep[e],6830.26863154133
EX_xmp[e],0
