Reaction,Flux
3MOX4HOXPGALDOX,0
3SALAASPm,-2166.66757575757
ACITL,0
ADNt,0
ALAt4,10000
AMPDA,3750
AMPTASECGe,0
ASNNm,2166.66757575757
ASNt4,0
ASNtm,2166.66757575757
ATP2ter,0
ATPtm,0.01
C226COAtx,0
C226CPT1,0
C226CPT2,0
C226CRNt,0
CEPTE,0
CHLPCTD,0
CHOLtu,0
CRNtim,0
CYSGLUexR,-2500
CYSTA,0
CYTK13,0
CYTK5,0
CYTK9,0
DAGK_hs,10000
DAGt,10000
DCYTt,0
DESAT18_3,500
DHFtm,0
DOPAMT,0
DURIK1,0
DURIt,0
EX_arachd[e],0
EX_atp[e],-3750
EX_chol[e],0
EX_chsterol[e],0
EX_crvnc[e],0
EX_dag_hs[e],-10000
EX_dopa[e],0
EX_gchola[e],0
EX_gsn[e],3750
EX_hco3[e],3500
EX_hdca[e],0
EX_lneldc[e],500
EX_lnlc[e],0
EX_lpchol_hs[e],0
EX_mag_hs[e],0
EX_mthgxl[e],0
EX_ocdca[e],-500
EX_ocdcea[e],0
EX_pchol_hs[e],0
EX_ps_hs[e],10000
EX_sphs1p[e],0
EX_tag_hs[e],0
EX_thf[e],-5000
EX_tsul[e],0
EX_utp[e],0
EX_vacc[e],0
EX_vitd3[e],10000
EX_xolest2_hs[e],0
FACOAL160i,0
FACOAL1822,-500
FACOAL1831,0
FACOAL184,0
FACOAL226,0
FAOXC2051843m,0
FAOXC226205m,0
FAOXC226205x,0
FRUt1r,0
FUMm,-2166.66257575757
FUMSO4tm,7833.33742424243
G5SDym,0
G6PDH1rer,0
G6PDH2rer,0
G6PPer,0
G6Pter,0
GGNG,0.000454545454555376
GLBRAN,0.000454545454555376
GLCMter,0
GLDBRAN,0.000454545454555376
GLGNS1,0.000454545454555376
GLNtN1,7500
GLPASE1,0.000454545454555376
GLPASE2,0.000454545454555376
GLU5Km,0
GLUt2m,-2166.66757575757
GLYC3Ptm,0
GLYt7_211_r,-10000
GSNt,-3750
GUACYC,0
H2Otp,0
HDCAter,0
Htx,0
ICDHy,0
ILEtec,-10000
LNELDCt,-500
LPCHOLt,0
LYStiDF,0
MAGt,0
MALSO4tm,-7833.33742424243
MAOLNOR,0
MGSA,0
MMMm,0
MMTSADm,0
MTHGXLt,0
NADHtru,0
NADtpu,0
NADtru,0
NDP6,0
PDE4,0
PEPCK,0
PETHCT,0
PI345P3P,0
PI45P3K,0
PI4P3K,0
PI4PP,0
PIK4,0
PPAer,0
PPAm,0.00500000000010914
PPAP,0
PROSTGI2t,-10000
PROt4,0
PSSA1_hs,0
PSSA2_hs,0
PSt3,-10000
RBK_D,0
RNMK,0
SGPL12r,0
SMS,0
SO4CLtex2,0
SPHS1Pte,0
SPHS1Ptr,0
STRDNCCPT1,0
STRDNCCPT2,0
SUCD1m,0
SUCOASm,0
THFt2,5000
THFtm,0
THYMDt1,10000
TMNDNCCOAtx,0
TRDR,0
TSULt4_3,0
UDPGP,0
UMPK4,0
UMPK5,0
UMPK6,0
VACCt,0
VITD3t,10000
XOLEST2te,0
r0074,0
r0226,0
r0249,0
r0276,3750
r0280,0
r0301,0
r0358,0
r0407,-10000
r0409,-10000
r0423,0
r0425,0
r0426,0
r0438,0
r0472,0
r0474,0
r0512,0
r0527,0
r0644,0
r0822,-10000
r0834,0
r0835,0
r0838,-2166.66757575757
r0840,0
r0841,0
r0892,0
r1002,0
r1050,0
r1078,0
r1095,0
r1101,0
r1112,0
r1116,-3750
r1185,0
r1187,0
r1188,0
r1189,0
