Reaction,Flux
3MOX4HOXPGALDOX,0
5MTHFt2,0
ACGSm,555.543541666667
ACt2m,0
ADAe,0
ADEt,0
ADK1m,10000
ADK3m,-10000
ADNt,0
ADNtm,0
ADPRIBt,0
ADRNt,0
AKGDm,0
ALATA_L,0
ALCD21_L,0
ALR2,0
ALR3,0
AMPDA,0
ARACHDCOAtx,0
R_group_phosphotase_1,0
ARTFR61,0
ARTPLM1,0
ARTPLM2,0
ASAH1,0
ATPtm,0
BAAT2x,0
C161CPT12,0
CATm,0
CDS,0
CEPTC,0
CERT1gt,0
CERT1rt,0
CERT2rt,0
CHLPCTD,0
CHOLATEt2,10000
CHOLtu,0
CHSTEROLt2,0
CHSTEROLt3,0
CLPNDt,0
CLS_hs,0
COAtr,0
COt,1666.67
CREATt4_2_r,-1574.07440972222
CRVNCtr,0
CSNATm,555.537916666666
CYStec,-10000
CYTD,0
CYTDK1,0
CYTDt,6790.12245370371
CYTK5,0
CYTK7,10000
CYTK9,-3209.8775462963
DADNK,0
DADNt4,0
DAGK_hs,-10000
DAGt,-10000
DALAt2r,-10000
DCSPTN1t,0
DESAT16_2,0
DESAT18_9,0
DGAT,0
DHCRD2,0
DOPAMT,0
DSAT,0
DURIK1,0
ELAIDCPT1,555.538541666667
EX_11_cis_retfa[e],0
EX_4nph[e],4989.72760802469
EX_5dhf[e],0
EX_5mthf[e],0
EX_5thf[e],0
EX_7dhf[e],0
EX_adrn[e],0
EX_adrnl[e],0
EX_ala_D[e],10000
EX_amp[e],10000
EX_arachd[e],0
EX_atp[e],0
EX_chol[e],0
EX_cholate[e],-10000
EX_clpnd[e],0
EX_cmp[e],-10000
EX_co[e],1666.67
EX_crvnc[e],0
EX_dag_hs[e],629.637638888889
EX_dcsptn1[e],0
EX_dopa[e],0
EX_gthox[e],5000
EX_gthrd[e],-10000
EX_hco3[e],0
EX_imp[e],0
EX_inost[e],10000
EX_lnlc[e],0
EX_mag_hs[e],0
EX_ocdca[e],-555.538541666667
EX_ocdcea[e],0
EX_pe_hs[e],0
EX_pglyc_hs[e],0
EX_ps_hs[e],0
EX_retinol_cis_11[e],0
EX_Rtotal[e],9370.36236111111
EX_Rtotal2[e],0
EX_strdnc[e],0
EX_thf[e],0
EX_tmndnc[e],0
EX_ttdca[e],0
EX_utp[e],-3209.8775462963
EX_vacc[e],0
EX_xolest2_hs[e],0
FACOAL1832,0
FACOAL184,0
FACOAL204,0
FACOAL224,0
FACOAL2251,0
FACOAL2252,0
FACOAL226,0
FOLt2,0
FUMm,0
G5SDym,0
G6PPer,0
G6Pter,-10000
GALC,0
GALSIDEtl,0
GALt1r,0
GALtly,0
GBA,0
GGH_5THFe,0
GGH_6DHFe,0
GGH_7DHFe,0
GGNG,0
GLBRAN,360.079969135802
GLCMter,0
GLCt1r,-360.079969135802
GLDBRAN,360.079969135802
GLGNS1,360.079969135802
GLPASE1,360.079969135802
GLPASE2,0
GLU5Km,0
GLUt2m,555.543541666666
GLYt4,10000
GPAM_hs,0
GTHPe,5000
GUACYC,0
H2Oter,0
H2Otly,0
H2Otp,0
Htr,0
ICDHyrm,0
INSt,0
INSTt4,-10000
LDH_Lm,1111.12208333333
L_LACtcm,1111.12208333333
LPASE,0
LPS2,0
LPS3,0
LPSe,0
LYSt4,9814.81881944444
MAGt,0
MAOX,0
MDHm,-1111.12708333333
ME2m,0
MELATNOX,0
METAT,0
METS,0
METt4,0
METtec,9629.63763888889
NADHtru,0
NADPHtru,0
NADPtru,0
NADtpu,0
NADtru,0
NAHCO3_HCLt,-10000
NDP6,0
NDP7er,0
NDPK1m,-9999.99
NICRNS,0
NKCC2t,-5000
NP1,0
O2Stm,0
O2ter,0
ORNtiDF,10000
P45027A12m,0
P45027A13m,0
PCHOL_HStg,0
PCHOLP_hs,10000
PDE4,0
PDHm,0
PEFLIP,0
PEt,0
PGLYCt,0
PGPP_hs,0
PGPPT,0
PI345P3P,10000
PI45P3K,10000
PI5P3K,1769.55766975309
PIK3,0
PIter,-10000
PLA2_2,0
PPAm,0.005
PPAP,0
PROtm,0
PSFLIP,0
PSSA1_hs,-10000
PSt3,0
PYNP2r,6790.12245370371
PYRt2m,-1111.12208333333
PYRt2p,0
RETH2e,0
RTOT6,0
RTOTAL2t,0
RTOTALt,0
Rtotaltl,0
SALMCOM2,0
SMS,0
SPHINGStl,0
SPHK21c,0
SPHMYLNtg,0
SPODMm,0
STRDNCt,0
SUCD1m,0
SUCOASm,0
TCHOLAtx,0
THRt4,0
THYMDt1,10000
THYMDtm,0
TMDK1m,0
TMNDNCt,0
TRIOK,0
UMPK2,10000
UMPK4,-3209.8775462963
UMPK6,-6790.1224537037
VACCt,0
XOLEST2te,0
EX_4abutn[e],-5000
EX_dtmp[e],-10000
EX_HC01104[e],-4989.72760802469
EX_HC01700[e],0
EX_prpp[e],-10000
r0002,0
r0047,0
r0051,-10000
r0055,0
r0062,0
r0074,0
r0083,0
r0139,-10000
r0165,0
r0173,0
r0178,0
r0179,0
r0245,0
r0276,0
r0281,-5000
r0301,0
r0308,0
r0377,0
r0391,0
r0423,0
r0425,0
r0475,10000
r0494,-10000
r0531,-3209.8775462963
r0537,0
r0587,4989.72760802469
r0630,0
r0649,0
r0652,0
r0752,0
r0753,0
r0786,0
r0787,0
r0801,-0.0100000000002183
r0821,0
r0853,0
r0892,-3209.8775462963
r0911,0
r0934,0
r0942,-1574.07440972222
r0990,0
r1033,0
r1050,0
r1097,0
r1101,0
r1112,0
r1116,0
r1117,0
r1156,-6790.1224537037
r1169,0
r1181,0
r1185,0
r1187,0
r1188,0
r1189,0
r1190,0
r1252,0
r1290,0.00437500000043656
r1348,0
r1359,0
r1393,360.079969135802
r1403,0
r1423,4588.51307098766
r1457,0
r1544,10000
r1546,-370.362361111111
r1547,-10000
r1548,-10000
r1549,-10000
r1552,370.362361111111
r1554,10000
r1561,-10000
r1564,-10000
r1565,-10000
r1566,-10000
r1568,10000
r1570,10000
r1571,10000
r1576,-10000
r1581,10000
r1583,10000
r1586,10000
r1592,-10000
r1593,-10000
r1596,10000
r1597,10000
r1598,-10000
r1608,10000
