Reaction,Flux
2HBO,0
34DHPHAMT,0
34DHPLACOX,0
34DHXMANDACOX,0
3DSPHR,0
3MOPt2im,10000
3SALAASPm,0
41R1H2MAE12BOOX,0
41R2A1H12BOOX,0
42A12BOOX,0
ACACt2m,-10000
ACALDtm,0
ACGAMtly,0
ACNMLr,0
ACOAD10m,0
ACOAD8m,0
ACOAO7p,0
ACONTm,-10000
ACP1_FMN_,0
ACS2,0
ACt2m,-10000
ADEt,10000
ADHAPtx,0
ADK1m,-10000
ADK3m,10000
ADNt,10000
ADNtm,0
AKGDm,0
ALAt4,10000
ALATA_L,-6000
ALCD21_L,0
ALDD2xm,0
ALR2,0
ALR3,0
AMPDA,0
ARACHCOAtx,0
R_group_phosphotase_1,0
R_group_phosphotase_2,0
R_group_phosphotase_3,0
ARTFR11,10000
ARTFR61,9620.53571428571
ARTPLM1,9620.53571428571
ARTPLM2,0
ARTPLM3,10000
ASNS1,0
ASPTAm,0
ATPtm,10000
BILIRUBt2,0
C161CPT1,10000
C161CPT12,-9620.53571428571
C161CPT2,10000
C161CRNt,0
C180CPT1,-379.464285714286
C181CRNt,0
C204CPT1,0
C204CPT2,0
CATm,0
CATp,148.809523809524
CDIPTr,0
CDS,0
CERT1gt,0
CERT1rt,0
CERT2gt,10000
CERT2rt,0
CHAT,0
CHLPCTD,0
CHOLK,0
CHOLtu,10000
CHSTEROLtg,0
CITRtm,0
CITtam,-10000
CITtbm,0
CLS_hs,0
CO2tm,-10000
COAtp,-1982.14285714286
COt,0
CRNt,-10000
CRNtHa,0
CSm,0
CSNATm,0
CSNATr,0
CYSGLUexR,10000
CYTK10,-4000
CYTK13n,-10000
CYTK14,-10000
CYTK4n,10000
CYTK5n,-10000
CYTK6,10000
CYTK7,-6000
CYTK9,10000
CYTK9n,10000
DADNK,6000
DADNt4,-4000
DAGK_hs,0
DAGt,-10000
DCYTt,0
DGAT,0
DHAPA,0
DHCRD2,0
DINt,10000
DMHPTCRNte,-10000
DNDPt10m,6000
DNDPt26m,0
DNDPt31m,6000
DNDPt41m,0
DOPAMT,0
DSAT,0
DURAD2,0
ELAIDCPT2,0
ELAIDt,-1620.53571428571
EX_13_cis_retnglc[e],10000
EX_2hb[e],0
EX_4nph[e],6142.85714285714
EX_5mthf[e],-10000
EX_ach[e],0
EX_adrnl[e],0
EX_ala_B[e],0
EX_amp[e],4428.57142857143
EX_arachd[e],0
EX_atp[e],10000
EX_bilirub[e],0
EX_chol[e],-10000
EX_chsterol[e],0
EX_chtn[e],0
EX_co[e],0
EX_creat[e],0
EX_crn[e],10000
EX_dag_hs[e],10000
EX_dopa[e],0
EX_elaid[e],1620.53571428571
EX_gluala[e],0
EX_h2o2[e],3035.71428571429
EX_hco3[e],6500
EX_hdca[e],-379.464285714286
EX_idp[e],0
