Reaction,Flux
10FTHFtm,0
2DR1PP,0
3MOX4HOXPGALDOX,10000
3MOX4HOXPGALDOX_NADP_,-10000
3SALAASPm,0
A4GALTc,0
A4GALTg,0
ACACT1rm,0
ACGALK2,0
ACGAM6PSi,0
ACGAMPM,0
ACNAM9PL,0
ACNAMPH,0
ACOAD10m,0
ACOAD8m,10000
ACt2m,0
ADAe,0
ADK1m,0
ADK3,-6432.43243243243
ADKd,-10000
ADRNCRNt,4939.05129619415
AGPAT1,0
AKGDm,8000
AKGMALtm,2000
ALATA_L,-7945.94594594594
AMPDA,0
ARGLYSex,677.606177606178
ARGSS,0
R_group_phosphotase_1,10000
R_group_phosphotase_2,0
ARTFR61,0
ARTPLM1,4939.05129619415
ARTPLM2,0
ASNS1,0
ASPTAm,1000
ATP1ter,0
ATPtm,1000
B3GALT42g,0
B3GNT31g,0
B3GNT32g,0
B3GNT33g,0
C161CPT12,0
C180CPT1,0
C180CPT2,0
C180CRNt,0
C181CPT1,0
CATm,0
CDIPTr,0
CDS,0
CEPTC,0
CERT2rt,0
CHLPCTD,0
CHOLtu,0
CITtam,2000
CMPACNAtg,0
CMPSAS,0
COt,0
CRNt,-10000
CRNtHa,0
CSm,0
CSNAT2m,-5060.94870380585
CYSGLUexR,-10000
CYTDt,0
CYTK12,10000
CYTK13,0
CYTK14,-10000
CYTK3,10000
CYTK4,-10000
CYTK5,10000
CYTK7,0
CYTK8,10000
CYTK9,-10000
D_3AIBt,0
DADNK,0
DADNt4,0
DAGK_hs,10000
DAGt,10000
DALAt2r,1501.9305019305
DCK1m,0
DDPGAm,1000
DESAT16_2,0
DESAT18_9,0
DHCR242r,0
DNDPt10m,0
DNDPt26m,0
DNDPt40m,0
DRPA,0
DSAT,0
DURIt,0
DUTPDPm,0
EHGLAT2m,1000
EX_3aib_D[e],0
EX_5dhf[e],0
EX_5thf[e],0
EX_6dhf[e],0
EX_6thf[e],0
EX_adrnl[e],0
EX_ala_D[e],-1501.9305019305
EX_amp[e],10000
EX_arachd[e],10000
EX_atp[e],10000
EX_bilglcur[e],0
EX_chol[e],0
EX_chsterol[e],-5060.94870380585
EX_co[e],0
EX_crn[e],10000
EX_dag_hs[e],-10000
EX_galgalgalthcrm_hs[e],0
EX_gbside_hs[e],0
EX_gchola[e],0
EX_gsn[e],9435.46607832322
EX_gthox[e],0
EX_gthrd[e],0
EX_h2o2[e],0
EX_ha[e],0
EX_hco3[e],-10000
EX_hdca[e],0
EX_hdcea[e],0
EX_imp[e],0
EX_lneldc[e],10000
EX_lnlc[e],0
EX_lpchol_hs[e],0
EX_mag_hs[e],0
EX_no[e],0
EX_nrpphr[e],0
EX_o2s[e],-4418.02261445118
EX_ocdca[e],0
EX_ocdcea[e],0
EX_pchol_hs[e],0
EX_ps_hs[e],10000
EX_Rtotal[e],-10000
EX_Rtotal3[e],0
EX_tag_hs[e],0
EX_utp[e],-6783.78378378378
EX_vacc[e],0
EX_xolest2_hs[e],5060.94870380585
FACOAL1821,0
FACOAL1822,-10000
FADH2tru,0
FADtru,0
FAOXC16080m,0
FAOXC180,0
FAOXC182806m,0
FATP2t,0
FOLt2,2000
FTHFDH,0
FUMm,1000
FUMSO3tm,10000
G5SDym,0
G6PPer,0
G6Pter,-10000
GALGALGALTHCRMte,0
GALGALGALTHCRMtg,0
GALOR,-10000
GALt1r,0
GBA,7366.38168781026
GBSIDEte,0
GGH_6DHFe,0
GGH_6THFe,0
GGNG,0
GLBRAN,0
GLCt1r,10000
GLCter,0
GLDBRAN,25.0965250965251
GLGNS1,0
GLPASE1,0
GLPASE2,0
GLU5Km,0
GLUt2m,7000
GLXtm,0
GLYCK2,0
GLYCLTDym,1000
GLYt4,10000
GPAM_hs,0
GSNt,-9435.46607832322
GTHDH,0
GTHPe,0
GUACYC,0
H2O2t,0
H2O2tm,0
H2O2tn,0
H2Otg,0
HAS1,0
HAS2,0
HDCEAtr,0
HISt4,0
HMGCOASim,0
HOXG,0
Htg,0
ICDHy,0
ICDHyrm,-8000
LDH_Lm,8000
LEUt4,0
L_LACtcm,8000
LNELDCCPT1,-10000
LNELDCt,-10000
LNLCCPT1,0
LNLCCPT2,0
LPCHOLt,0
LPS2,0
LPS3,0
LYSt4,0
LYStiDF,0
MAGt,0
MALtm,-10000
MAOLNOR,0
MAOX,0
MCCCrm,0
ME2,0
MELATNOX,0
MGCHrm,0
MI34PP,0
MMMm,2000
MMSAD1m,0
MMTSADm,2000
MTHFCm,0
MTHFD2m,10000
MTHFDm,-10000
NADPHtru,0
NADPtru,0
NCKt,0
NDP6,0
NDP7er,0
NDP7g,0
NDPK1m,-10000
NDPK5m,10000
NORANMT,0
NOS1,0
NOS2,0
NOt,0
NRPPHRt4_2_r,0
NTD1m,10000
NTD7e,0
O2St,-4418.02261445118
O2Stm,0
O2Stn,0
O2ter,0
O2tm,1000
O2tn,0
OCOAT1m,0
PCm,0
PDE4,0
PDHm,0
PGS,0
PI45P3K,0
PI4P5K,0
PIK3,0
PIK4,0
PIPLC,0
PIter,-10000
PItg,0
PPAm,0
PPAP,0
PPCOACm,0
PROSTGH2t,-10000
PROt4,0
PROtm,2000
PSFLIP,0
PSSA1_hs,0
PSt3,-10000
PTDCACRNt,-10000
PYRt2m,-9000
RETNt,-10000
RTOT6,0
RTOTALt,10000
SALMCOM,0
SALMCOM2,0
SBTD_D2,0
SMS,0
SPHGNtr,0
SPODMm,0
SPODMn,0
ST3GAL22g,0
SUCCt2m,0
SUCD1m,0
SUCOAS1m,-10000
SUCOASm,0
TAURt4_2_r,0
TETTET6CPT1,5060.94870380585
TETTET6CPT2,5060.94870380585
TETTET6CRNt,5060.94870380585
THRt4,0
TYRTAm,-10000
UAG2EMAi,0
UAGALDP,0
UDPGALtg,0
UDPGD,0
UDPGLCter,-10000
UDPGP,0
UMPK2,-10000
UMPK3,6783.78378378378
UMPK4,-3567.56756756757
UMPK6,-10000
UMPtr,-10000
UNK2,6939.05129619415
URAt,0
URIDK2m,0
URIt,-6783.78378378378
VACCt,0
XOLEST2te,-5060.94870380585
EX_ctp[e],10000
EX_dha[e],391.488212906785
EX_dhap[e],9608.51178709322
EX_dtmp[e],-10000
EX_fald[e],-10000
EX_HC01444[e],0
EX_prpp[e],-10000
r0021,0
r0028,0
r0051,-10000
r0068,0
r0074,0
r0083,0
r0097,0
r0149,-10000
r0153,10000
r0178,-10000
r0224,0
r0242,391.488212906785
r0245,0
r0276,0
r0301,0
r0317,-8000
r0377,0
r0423,10000
r0425,-10000
r0426,8000
r0474,0
r0483,0
r0494,-10000
r0571,0
r0603,0
r0627,0
r0638,0
r0642,-2000
r0643,0
r0655,-10000
r0686,1000
r0730,0
r0731,0
r0732,0
r0783,0
r0801,0
r0822,-9000
r0830,-10000
r0842,10000
r0885,9000
r0892,-6783.78378378378
r0911,-2000
r0915,-10000
r0960,0
r1050,5060.94870380585
r1097,0
r1105,0
r1109,0
r1112,0
r1116,0
r1154,0
r1185,0
r1187,0
r1188,0
r1189,0
r1190,0
r1290,0
r1291,5060.94870380585
r1356,0
r1359,0
r1384,-9435.46607832322
r1393,25.0965250965251
r1403,25.0965250965251
r1421,10000
r1423,10000
r1454,0
r1464,0
r1544,-10000
r1546,-10000
r1548,10000
r1549,7101.48924434639
r1551,-10000
r1552,-7553.22669608384
r1554,10000
r1559,-10000
r1560,-10000
r1561,-10000
r1562,-9498.0694980695
r1563,-10000
r1564,10000
r1565,-10000
r1567,10000
r1568,10000
r1569,10000
r1571,10000
r1573,-10000
r1574,6085.7694429123
r1576,-10000
r1578,-10000
r1579,10000
r1580,501.930501930501
r1586,-10000
r1587,-10000
r1589,-10000
r1590,-777.992277992278
r1592,-10000
r1593,10000
r1594,10000
r1595,10000
r1597,-10000
r1598,-10000
r1600,-10000
r1602,-10000
r1603,9799.2277992278
r1609,-4089.90623276338
r1610,-10000
r1611,-10000
r1613,-10000
r1614,-10000
r1616,10000
r1617,10000
r1618,-10000
r1620,10000
r1621,-10000
r1623,-10000
r1624,-10000
r1627,-10000
r1631,-10000
r1632,-10000
r1633,-7314.67181467181
r1634,10000
r1636,-853.281853281853
r1638,-9297.2972972973
r1641,-10000
r1642,-10000
r1644,-10000
r1645,627.413127413127
r1646,-10000
r1647,10000
r1648,-10000
r1650,-10000
r1651,10000
r1652,-10000
r1653,-10000
r1654,-10000
r1655,10000
r1657,-10000
r1658,-10000
r1659,-10000
r1660,-10000
r1661,-10000
r1662,2685.32818532818
r1665,225.868725868726
r1671,0
r1687,0
r1852,0
r2086,10000
r2090,-10000
r2093,-10000
r2094,10000
r2096,-5060.94870380585
r2099,10000
r2100,4006.89464975179
r2108,-4006.89464975179
r2313,-10000
r2321,0
r2326,10000
r2333,0
r2356,0
r2361,-10000
r2368,10000
r2369,10000
r2437,-5060.94870380585
r2473,10000
r2506,0
r2519,0
r2520,-9000
RE0944E,608.511787093215
RE1233C,-7308.60452289024
RE1342C,-8000
RE1530M,10000
RE1573M,0
RE2426C,0
RE2445E,10000
RE2563C,10000
RE2591C,0
RE2605C,0
RE2626M,8000
RE2649C,-5060.94870380585
RE2854C,2209.01130722559
RE2898C,0
RE2954C,-10000
RE3239C,10000
RE3245C,0
RE3268C,0
RE3270C,0
RE3273C,0
RE3301C,-10000
RE3346M,8000
EX_prostgh2[e],0
EX_prostgi2[e],-10000
EX_cdp[e],-10000
EX_dtdp[e],10000
EX_citr_L[e],0
EX_HC02217[e],0
EX_malthp[e],-608.511787093215
EX_CE5867[e],-10000
EX_CE5868[e],10000
EX_CE5869[e],10000
EX_crm_hs[e],7366.38168781026
C4DCe,0
C50CPT1,0
C60CPT1,0
EX_3ivcrn[e],0
EX_c4dc[e],0
EX_c6crn[e],0
EX_ivcrn[e],0
FAOXC4C4DCc,0
FAOXC5C5OHm,0
FAOXC5OHc,0
FAOXC8C6m,0
HEXCOAACBP,0
HIVCACBP,0
IVCOAACBP,0
IVCRNe,0
SUCCACT,0
BGLUTDECHOe,0
FOLTle,10000
GUMGCHLe,0
HISyLATtc,0
ILELAT1tc,2384.16988416988
LEUPHELAT2tc,-10000
LINOFATPtc,0
OLEICFATPtc,0
PALFATPtc,0
TAUPAT1c,0
XOLEST2HSTDle,0
3AIB_Dtm,0
ASPPROASCT1,8782.95642581357
BIDGLCURr,0
CHOLESACATc,5060.94870380585
CHOLESTle,0
EX_4hpro[e],-1000
EX_bglc[e],0
EX_gltdechol[e],0
EX_gum[e],0
EX_gumgchol[e],0
EX_tdechola[e],0
EX_dpcoa[e],-10000
EX_pan4p[e],10000
FADH2ETC,10000
FE3MTP1,0
GLUPROASCT1,0
GLYCTDle,-10000
MTHFR3,10000
OCDCAFATPc,0
PPItm,0
PTCRTD,0
PTPATe,-10000
RTOTAL2FATPc,0
RTOTALFATPc,0
SBT_Dtde,8000
4HPRO_LTte,1000
MAL_Lte,-8456.70159955874
PEPtr,0
LKYNRtr,-7308.60452289024
KYNATEtr,7308.60452289024
THYMDtr2,0
CHOLPtr,0
DCMPtr,0
DHAPtr,-10000
FUMtr,-10000
G3PCtr,0
ICITtr,-8000
XTSNtr,9435.46607832322
UDPGLCURtr,0
IMPtr,0
GLYC3tr,10000
EX_cholp[e],0
EX_dcmp[e],0
EX_g3pc[e],0
EX_icit[e],8000
EX_kynate[e],-7308.60452289024
EX_Lkynr[e],7308.60452289024
EX_pep[e],0
EX_xtsn[e],-9435.46607832322
EX_udpglcur[e],0
EX_glyc3p[e],-10000
ARACHDFATPtc,0
FOLOAT1tc,-10000
FOLOAT2tc,-2000
H2OGLYAQPt,10000
PSHSABCtc,0
GLCt4,-10000
PHEMEt,0
r1492,0
ARGSUCte,978.764478764479
EX_argsuc[e],978.764478764479
EX_pcrn[e],5060.94870380585
EX_lneldccrn[e],-10000
EX_stcrn[e],0
EX_pmtcrn[e],4939.05129619415
LPS7e,0
PEDH17_HSPLA2,0
15KPROSTGF2t,10000
BILIVERDt,0
C06439t,-2000
C06439td,2000
C14826td,0
EX_15kprostgf2[e],10000
EX_biliverd[e],0
EX_C14826[e],0
EX_HC00900[e],-2000
EX_lnlccrn[e],0
EX_magarachi_hs[e],0
EX_pe17_hs[e],0
EX_ttdcrn[e],-10000
GALTt,-10000
GLYCLTtd,1000
HC00900t2,-2000
LNLCCRNtd,0
OAAt,-10000
PROSTGI2c,10000
EX_glyclt[e],1000
EX_oaa[e],-10000
EX_ttdcea[e],10000
TTDCEAt,10000
NORMETEt,0
EX_normete_L[e],0
GLYCLTtm,1000
3IVCRNtr,0
C6CRNtr,0
LNELDCCRNtr,10000
PCRNtr,-5060.94870380585
PMTCRNtr,-4939.05129619415
STCRNtr,0
TTDCRNtr,10000
FldAct,10000
MLTHFtm,0
2MOPtm,2000
PSDm_hsc,0
ADRNLtu,0
AGPAT2,0
C160CPT2rbc,-4939.05129619415
CA2t,0
UNK3r,-6939.05129619415
ACGALtr,0
ACNAMtr,0
EX_acgal[e],0
EX_acnam[e],0
DXTRNt,-25.0965250965255
EX_dxtrn[e],-25.0965250965255
ACACt2,0
ACONT,8000
ACS,0
ADK1,6432.43243243243
ALAR,-1501.9305019305
ASPTA,0
CO2t,-10000
CPPPGO,0
CTPS1,0
DURIPP,0
ENO,0
EX_acac[e],0
EX_akg[e],-8684.50082735797
EX_asn_L[e],301.158301158301
EX_asp_L[e],-8782.95642581357
EX_co2[e],10000
EX_cytd[e],0
EX_dad_2[e],0
EX_duri[e],0
EX_fe3[e],0
EX_fum[e],10000
EX_gal[e],10000
EX_h[e],-1000
EX_h2o[e],1000
EX_ile_L[e],301.158301158301
EX_ins[e],0
EX_lac_L[e],2000
EX_leu_L[e],978.764478764479
EX_lys_L[e],451.737451737452
EX_mal_L[e],8456.70159955874
EX_met_L[e],200.7722007722
EX_o2[e],-1000
EX_pi[e],-9608.51178709322
EX_ppi[e],0
EX_pro_L[e],376.447876447877
EX_ser_L[e],777.992277992278
EX_thymd[e],0
EX_uri[e],6783.78378378378
EX_val_L[e],702.702702702703
FBA,0
FBP,0
FCLTc,0
FUM,-2543.29840044126
G3PD1,10000
GALU,0
GALt2_2,-10000
GAPD,0
GF6PTA,0
GHMT2r,-10000
GK1,0
GLNS,0
GMPS2,0
H2CO3D,-10000
HEX1,0
IMPD,0
MTHFD,10000
NDPK1,-10000
NDPK2,-10000
NDPK3,-10000
NDPK4,10000
NDPK7,-10000
NDPK9,0
NTD1,0
O2t,1000
PGI,10000
PGM,0
PGMT,175.675675675675
RNDR1,0
SPODM,0
TMDK1,0
TPI,0
UAGDP,0
UDPG4E,0
UMPK,10000
UPPDC1,0
URIDK3,0
r0010,0
r0082,0
r0345,10000
r0422,0
EX_gly[e],451.737451737452
EX_cys_L[e],150.579150579149
EX_ala_L[e],10000
ALAt2r,-501.930501930501
EX_his_L[e],225.868725868726
EX_thr_L[e],-9372.58687258687
EX_gln_L[e],-6587.6999448428
EX_phe_L[e],501.930501930501
EX_tyr_L[e],326.254826254826
NTD2,6783.78378378378
NTD5,0
NTD10,0
EX_arg_L[e],-677.606177606178
NH4tb,0
EX_ac[e],10000
ACYP,0
ALDD2x,10000
AMANK,0
ARGSL,-978.764478764479
CYTK1,-10000
DRBK,0
EX_galt[e],-10000
EX_glyc[e],10000
EX_malthx[e],608.511787093215
EX_trp_L[e],175.675675675675
EX_ura[e],0
FACOAL161,0
G6PDA,0
GALK,0
GALT,0
GLYCt,10000
GLYK,0
GPDDA1,0
HEX7,0
LDH_L,-10000
MDH,-10000
MI1PP,0
MI3PP,0
NTD3,0
OAADC,0
PFK,175.675675675676
PYK,0
TMDS,0
TYRTA,10000
r0392,0
r0792,10000
EX_ppa[e],-5060.94870380585
EX_pyr[e],-8945.94594594594
PYRt2r,-10000
EX_ade[e],-10000
EX_pheme[e],0
MTHFD2,-10000
OBDHc,0
3MOX4HOXMte,0
EX_3mox4hoxm[e],0
PE17_HSABCt,0
DIGALSGALSIDEATPte,0
DIGALSGALSIDEt1e,0
PAIL_hs_t1e,0
SPHMYLN18114_hs_ATPt,0
SPHMYLN18114_hs_t1,0
PTRCARGte,0
34DHOXMANDte,0
SUCSALtm,10000
SUCSALte,10000
EX_sucsal[e],10000
LDL_HSSYN,0
LDL_HSDEG,0
EX_34dhoxmand[e],0
HDD2CRNte,0
EX_hdd2crn[e],0
C13856te,-10000
FDPte,175.675675675675
EX_fdp[e],175.675675675675
EX_ldl_hs[e],0
EX_HC00005[e],0
HC00009te,0
EX_HC00009[e],0
ACER12r,0
CRMte,-7366.38168781026
EX_gluside_hs[e],-7366.38168781026
GALGLUSIDEtg2,0
GM2tg,0
NEU21,0
NEU25,0
NEU37e,0
UDPGALt2r,0
TETTET6COAtm,-5060.94870380585
EX_gd2_hs[e],0
DHCRMter,0
Rtotalter,0
GD1Atg,0
EX_pail_hs[e],0
EX_galgluside_hs[e],0
HMR_0011,0
HMR_0019,0
HMR_0020,0
HMR_0200,-10000
HMR_0255,0
HMR_0257,0
HMR_0259,0
HMR_0319,10000
HMR_0468,0
HMR_0482,0
HMR_0553,0
HMR_0561,0
HMR_0594,0
HMR_0602,0
HMR_0765,0
HMR_0770,-7366.38168781026
HMR_0803,0
HMR_0805,0
HMR_0807,0
HMR_0821,0
HMR_0830,0
HMR_1095,0
HMR_1306,0
HMR_1307,0
HMR_1311,0
HMR_1404,6627.03392167678
HMR_1897,0
HMR_2287,0
HMR_2293,0
HMR_2359,0
HMR_2457,0
HMR_2611,-10000
